Bias Voltage (V)	Probe Current (A)
-21.000271	-0.000425
-9.823713	-0.000335
-9.655709	-0.000333
-9.490781	-0.000333
-9.319412	-0.000331
-9.154472	-0.000331
-8.986475	-0.000326
-8.821271	-0.000326
-8.650251	-0.000325
-8.485154	-0.000324
-8.320231	-0.000323
-8.151802	-0.000321
-7.987002	-0.000320
-7.815240	-0.000319
-7.650903	-0.000316
-7.482863	-0.000314
-7.317940	-0.000313
-7.146638	-0.000313
-6.984950	-0.000311
-6.819945	-0.000310
-6.648206	-0.000309
-6.483892	-0.000307
-6.315542	-0.000304
-6.150136	-0.000304
-5.978887	-0.000302
-5.813928	-0.000300
-5.646139	-0.000299
-5.480891	-0.000299
-5.316028	-0.000295
-5.144433	-0.000294
-4.980117	-0.000295
-4.811929	-0.000292
-4.646935	-0.000291
-4.474988	-0.000289
-4.310383	-0.000287
-4.142603	-0.000286
-3.977962	-0.000284
-3.812407	-0.000284
-3.644103	-0.000280
-3.478868	-0.000279
-3.308226	-0.000279
-3.143118	-0.000276
-2.975017	-0.000275
-2.809559	-0.000274
-2.638260	-0.000271
-2.473858	-0.000270
-2.308644	-0.000268
-2.140490	-0.000266
-1.975480	-0.000266
-1.804704	-0.000265
-1.639360	-0.000263
-1.470945	-0.000261
-1.305889	-0.000260
-1.134414	-0.000258
-0.969686	-0.000256
-0.805094	-0.000255
-0.636963	-0.000253
-0.472207	-0.000251
-0.303602	-0.000250
-0.139454	-0.000247
0.037365	-0.000247
0.202614	-0.000243
0.370588	-0.000242
0.534974	-0.000240
0.699920	-0.000237
0.871560	-0.000238
1.036436	-0.000233
1.204195	-0.000232
1.369068	-0.000231
1.540618	-0.000229
1.705828	-0.000228
1.874268	-0.000226
2.038930	-0.000223
2.203368	-0.000221
2.374889	-0.000219
2.539904	-0.000216
2.707489	-0.000214
2.872578	-0.000212
3.040838	-0.000210
3.205867	-0.000207
3.377137	-0.000205
3.542257	-0.000202
3.706846	-0.000200
3.875179	-0.000197
4.040149	-0.000194
4.211636	-0.000192
4.376131	-0.000189
4.544148	-0.000185
4.708735	-0.000182
4.880646	-0.000180
5.045863	-0.000175
5.210498	-0.000171
5.378685	-0.000169
5.543543	-0.000166
5.715199	-0.000162
5.879924	-0.000158
6.047887	-0.000154
6.212890	-0.000151
6.381114	-0.000145
6.545868	-0.000141
6.710879	-0.000136
6.882572	-0.000132
7.047137	-0.000127
7.215440	-0.000122
7.380455	-0.000116
7.552135	-0.000110
7.716593	-0.000104
7.882907	-9.844782E-5
8.047954	-9.181599E-5
8.212908	-8.486530E-5
8.385093	-7.709065E-5
8.549206	-7.022176E-5
8.717947	-6.245689E-5
8.882877	-5.404704E-5
9.054371	-4.475359E-5
9.220322	-3.676986E-5
9.388549	-2.680561E-5
9.552831	-1.726425E-5
9.718503	-1.003336E-5
9.889808	1.261024E-6
10.014956	9.476698E-6
10.223264	2.353094E-5
10.386919	3.724864E-5
10.556250	4.881335E-5
10.721145	6.380283E-5
10.893969	7.709150E-5
11.047694	8.999922E-5
11.221120	0.000104
11.390078	0.000120
11.554729	0.000138
11.726558	0.000156
11.891361	0.000174
12.059474	0.000196
12.224550	0.000214
12.396343	0.000240
12.560876	0.000259
12.722291	0.000279
12.893587	0.000307
13.059069	0.000330
13.228106	0.000356
13.393333	0.000385
13.564323	0.000410
13.730284	0.000440
13.900426	0.000464
14.064548	0.000495
14.230672	0.000523
14.400846	0.000554
14.567559	0.000574
14.737638	0.000607
14.902278	0.000646
15.076668	0.000669
15.239186	0.000700
15.408452	0.000732
15.563617	0.000752
15.719996	0.000778
15.871215	0.000810
16.014940	0.000820
16.159824	0.000843
16.298580	0.000861
16.402447	0.000882
16.487635	0.000889
16.584326	0.000903
17.081306	0.000961
17.250681	0.000937
17.413935	0.000925
17.370573	0.000887
17.752996	0.000961
17.619457	0.000892
18.085880	0.000976
18.251421	0.001018
18.425323	0.001052
18.590279	0.001083
18.757410	0.001108
18.924057	0.001146
19.088270	0.001168
19.261295	0.001196
19.425205	0.001224
19.595360	0.001244
19.759609	0.001275
19.929039	0.001291
20.095715	0.001322
20.265434	0.001346
20.432392	0.001359
20.597473	0.001391
20.766478	0.001406
20.932701	0.001420
21.102844	0.001451
21.270702	0.001470
21.435625	0.001471
21.600807	0.001504
21.775349	0.001527
21.940384	0.001532
22.105474	0.001554
22.275467	0.001581
22.438623	0.001599
22.611088	0.001621
22.772243	0.001629
22.944975	0.001643
23.111565	0.001647
23.276838	0.001661
23.442982	0.001683
23.609760	0.001680
23.781384	0.001700
23.948473	0.001718
24.117493	0.001731
24.282450	0.001736
24.451595	0.001763
24.617516	0.001760
24.787678	0.001780
24.951920	0.001803
25.118580	0.001817
25.290085	0.001824
25.454954	0.001832
25.624043	0.001843
25.789152	0.001855
25.962700	0.001865
26.123735	0.001873
26.295113	0.001899
26.460184	0.001917
26.626162	0.001917
26.794731	0.001922
26.958334	0.001950
27.130354	0.001948
27.293827	0.001955
27.463442	0.001971
27.628777	0.001982
27.798956	0.001995
27.963419	0.002010
28.129362	0.002006
28.298025	0.002013
28.461819	0.002032
28.634052	0.002048
28.799253	0.002051
28.967295	0.002049
29.130960	0.002076
29.300972	0.002094
29.461628	0.002102
29.629606	0.002102
29.800407	0.002114
29.964220	0.002130
30.133966	0.002129
30.299192	0.002153
30.470337	0.002145
30.634279	0.002161
30.800642	0.002170
30.965532	0.002184
31.132261	0.002173
31.304502	0.002198
31.468559	0.002225
31.636890	0.002215
31.801174	0.002226
31.973207	0.002230
32.138134	0.002241
32.305771	0.002270
32.470253	0.002269
32.635544	0.002275
32.804783	0.002287
32.969299	0.002298
33.140366	0.002320
33.304932	0.002312
33.472069	0.002321
33.638424	0.002340
33.810051	0.002345
33.975853	0.002347
34.139565	0.002370
