Filename,Te_eV,Te_uncertainty_eV,Vp_V,Vp_uncertainty_V
Kr_15sccm_10A.csv,1.6943,0.0460,15.2004,0.4811
Kr_15sccm_10A2.csv,1.7394,0.1289,17.2056,1.1768
Kr_15sccm_11A.csv,1.1474,0.0444,16.2761,0.2477
Kr_15sccm_12A.csv,1.3178,0.0066,14.9884,0.0860
Kr_15sccm_12p5A.csv,1.3793,0.0169,14.8700,0.2480
Kr_15sccm_13A.csv,1.3634,0.0075,15.4083,0.1188
Kr_15sccm_14A.csv,4.8141,0.0187,34.1864,0.0280
Kr_15sccm_16A.csv,1.3970,0.0200,15.5286,0.2802
Kr_15sccm_17p5A.csv,1.2218,0.0157,14.8077,0.2812
Kr_15sccm_18A.csv,1.5294,0.0841,16.0020,0.9855
Kr_15sccm_19A.csv,1.5283,0.0147,15.6578,0.1863
Kr_15sccm_20A.csv,1.4848,0.0110,15.6290,0.1558
Kr_15sccm_21A.csv,1.5721,0.0120,15.9721,0.1867
Kr_15sccm_22A.csv,1.6870,0.1155,17.0518,1.2944
Kr_15sccm_22p5A.csv,1.6279,0.1215,17.2005,1.4287
Kr_15sccm_23A.csv,1.7163,0.1103,17.2795,1.3681
Kr_15sccm_24A.csv,1.5595,0.0379,17.2752,0.4855
Kr_15sccm_25A.csv,1.7262,0.1613,17.8434,1.5211
Kr_15sccm_27p5A.csv,1.6402,0.0066,16.7931,0.0778
Kr_15sccm_27p5A2.csv,1.6135,0.0581,17.2278,0.3071
Kr_15sccm_30A.csv,1.6216,0.0379,17.5003,0.1863
