Bias Voltage (V)	Probe Current (A)
-20.999603	-0.000596
-9.824414	-0.000472
-9.654933	-0.000481
-9.490502	-0.000465
-9.318692	-0.000468
-9.154216	-0.000464
-8.987930	-0.000465
-8.822032	-0.000469
-8.650489	-0.000459
-8.485585	-0.000466
-8.320689	-0.000454
-8.152710	-0.000448
-7.987838	-0.000467
-7.817072	-0.000446
-7.651528	-0.000470
-7.483392	-0.000447
-7.318791	-0.000459
-7.147186	-0.000453
-6.986206	-0.000444
-6.820506	-0.000444
-6.650019	-0.000451
-6.484441	-0.000447
-6.316205	-0.000425
-6.151196	-0.000430
-5.979965	-0.000422
-5.815334	-0.000427
-5.647082	-0.000436
-5.482159	-0.000411
-5.316741	-0.000427
-5.144897	-0.000423
-4.981813	-0.000418
-4.813266	-0.000408
-4.648513	-0.000416
-4.477238	-0.000411
-4.312010	-0.000411
-4.143848	-0.000398
-3.979500	-0.000398
-3.813910	-0.000408
-3.644874	-0.000395
-3.480457	-0.000394
-3.308380	-0.000390
-3.144398	-0.000389
-2.976425	-0.000390
-2.811138	-0.000381
-2.639104	-0.000372
-2.474616	-0.000389
-2.310354	-0.000365
-2.141946	-0.000372
-1.976799	-0.000379
-1.806617	-0.000364
-1.641086	-0.000351
-1.473773	-0.000362
-1.307816	-0.000368
-1.136976	-0.000349
-0.971415	-0.000349
-0.808154	-0.000337
-0.638612	-0.000341
-0.473638	-0.000336
-0.305615	-0.000322
-0.140814	-0.000326
0.038067	-0.000326
0.201335	-0.000314
0.370073	-0.000325
0.535054	-0.000320
0.700600	-0.000309
0.871446	-0.000305
1.035717	-0.000290
1.204456	-0.000295
1.367996	-0.000286
1.540412	-0.000284
1.705535	-0.000279
1.873817	-0.000276
2.039001	-0.000277
2.202125	-0.000260
2.374653	-0.000247
2.540402	-0.000252
2.707367	-0.000247
2.872420	-0.000230
3.040541	-0.000222
3.205793	-0.000224
3.377147	-0.000216
3.541912	-0.000207
3.706568	-0.000200
3.875276	-0.000188
4.039129	-0.000179
4.211241	-0.000170
4.376464	-0.000164
4.543479	-0.000147
4.708146	-0.000145
4.880428	-0.000140
5.044048	-0.000109
5.210310	-0.000111
5.378392	-0.000100
5.544706	-7.734627E-5
5.733228	-6.594678E-5
5.887966	-6.479976E-5
6.051486	-4.363062E-5
6.212117	-1.864265E-5
6.384922	-1.697440E-5
6.524200	1.545790E-5
6.657755	2.126484E-5
6.833436	3.269413E-5
6.984445	5.277893E-5
7.060571	5.963376E-5
7.199517	7.562588E-5
7.328921	9.087226E-5
7.716279	0.000137
7.883808	0.000170
8.051223	0.000179
8.212689	0.000198
8.384583	0.000228
8.550447	0.000250
8.718330	0.000284
8.883367	0.000289
9.054912	0.000328
9.220663	0.000338
9.388403	0.000360
9.552941	0.000405
9.717072	0.000445
9.888110	0.000452
10.051983	0.000495
10.221943	0.000520
10.386739	0.000546
10.557308	0.000574
10.718960	0.000576
10.887332	0.000631
11.055602	0.000655
11.216614	0.000608
11.377375	0.000673
11.515797	0.000689
11.695176	0.000739
11.859520	0.000777
11.972253	0.000801
12.137486	0.000820
12.290431	0.000796
12.393905	0.000856
12.582744	0.000900
12.892017	0.000882
12.901214	0.000865
13.079028	0.000892
13.391535	0.000931
13.311442	0.000879
13.433860	0.000912
13.643402	0.000950
14.063408	0.001121
14.228413	0.001063
14.400591	0.001144
14.565465	0.001178
14.735229	0.001163
14.899687	0.001259
15.072201	0.001293
15.237207	0.001327
15.406054	0.001287
15.572056	0.001321
15.736691	0.001295
15.908754	0.001405
16.071020	0.001438
16.242878	0.001429
16.407574	0.001564
16.576405	0.001455
16.742758	0.001457
16.914040	0.001545
17.079811	0.001516
17.248798	0.001634
17.414072	0.001507
17.579411	0.001522
17.752104	0.001593
17.916348	0.001569
18.084713	0.001637
18.251205	0.001612
18.423458	0.001666
18.588095	0.001632
18.756165	0.001733
18.922020	0.001808
19.088104	0.001728
19.259577	0.001770
19.421097	0.001798
19.593246	0.001803
19.758682	0.001782
19.928833	0.001937
20.093424	0.001802
20.263943	0.001874
20.430563	0.001852
20.595819	0.001893
20.764393	0.001847
20.930256	0.001980
21.102182	0.001903
21.266251	0.002000
21.435200	0.002022
21.601349	0.002010
21.773437	0.002019
21.939028	0.002098
22.105350	0.001983
22.272379	0.002041
22.438202	0.002106
22.610052	0.002131
22.772518	0.002175
22.943949	0.002215
23.109442	0.002185
23.277994	0.002170
23.444138	0.002279
23.608238	0.002207
23.781422	0.002184
23.946947	0.002222
24.114624	0.002215
24.280964	0.002074
24.452801	0.002268
24.617811	0.002315
24.785191	0.002293
24.952595	0.002235
25.116861	0.002389
25.289080	0.002442
25.454391	0.002454
25.622541	0.002308
25.788452	0.002392
25.960920	0.002480
26.122509	0.002441
26.294691	0.002500
26.459797	0.002451
26.623709	0.002620
26.793137	0.002506
26.957546	0.002586
