trace_id,trace_path,file_format,delimiter,voltage_selector,current_selector,gas,probe_geometry,probe_radius_m,probe_area_m2,flow_sccm,discharge_current_a,current_std_a,notes
kr_15sccm_10a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_10A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,10.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_10a2,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_10A2.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,10.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_11a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_11A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,11.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_12a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_12A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,12.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_12p5a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_12p5A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,12.5,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_13a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_13A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,13.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_14a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_14A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,14.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_15a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_15A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,15.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_16a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_16A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,16.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_17a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_17A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,17.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_17p5a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_17p5A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,17.5,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_18a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_18A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,18.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
