energy_ev,eedf_m3_ev_median,eedf_m3_ev_q16,eedf_m3_ev_q84,eedf_m3_ev_q2.25,eedf_m3_ev_q97.75,eedf_m3_ev_valid_fraction
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.10083529769484259,5908999505181432.0,5049426832968011.0,1.0572507147648006e+16,4255828054887363.0,1.300641119181758e+16,1.0
0.20167059538968518,8345959260196848.0,7108226094068140.0,1.4724210347105188e+16,6017076730612881.0,1.7794778803548632e+16,1.0
0.3025058930845278,1.0201299507795952e+16,8651642740393867.0,1.7720887658482412e+16,7365709395490183.0,2.106335613021481e+16,1.0
0.40334119077937036,1.1747902876234236e+16,9914146919257302.0,2.007644266497693e+16,8498680963674566.0,2.34908806316156e+16,1.0
0.5041764884742129,1.3090706061229136e+16,1.0994201331286276e+16,2.1995393772942884e+16,9491794373451894.0,2.535359464402707e+16,1.0
0.6050117861690556,1.4283063704342656e+16,1.1937121223591798e+16,2.3586032668150644e+16,1.0383568067452898e+16,2.6978724100388884e+16,1.0
0.7058470838638982,1.5356368911273514e+16,1.2766236162082288e+16,2.491507902779798e+16,1.1196604409357496e+16,2.836918484306868e+16,1.0
0.8066823815587407,1.6330874094970268e+16,1.3499452189271322e+16,2.602779535100841e+16,1.1945404659714024e+16,2.950677536851007e+16,1.0
0.9075176792535833,1.7220512164512944e+16,1.416094000519745e+16,2.6914747621390184e+16,1.2639855660036502e+16,3.0548129660328228e+16,1.0
1.0083529769484258,1.8035341235601652e+16,1.4759719017708168e+16,2.7592851400062756e+16,1.3287000814767942e+16,3.141320878476335e+16,1.0
1.1091882746432684,1.8782903739493484e+16,1.5294229428377208e+16,2.813302808890452e+16,1.389202670939727e+16,3.2120685645302384e+16,1.0
1.2100235723381112,1.9469036067216004e+16,1.5769956978800188e+16,2.8552474533650356e+16,1.4458852407373014e+16,3.2688898722784268e+16,1.0
1.3108588700329538,2.009837760099273e+16,1.6176893210355784e+16,2.886546782813628e+16,1.499050118897431e+16,3.3133153102468984e+16,1.0
1.4116941677277963,2.0674704876690188e+16,1.6514124089256714e+16,2.908407858556897e+16,1.526714122504152e+16,3.3466468128124468e+16,1.0
1.5125294654226389,2.1186603320637516e+16,1.6802309116880802e+16,2.9159051964627628e+16,1.546943675461334e+16,3.370009232137045e+16,1.0
1.6133647631174814,2.166497066415106e+16,1.7044604698155248e+16,2.8965747488011456e+16,1.5629209693930946e+16,3.3843869176011024e+16,1.0
1.714200060812324,2.2114742565328424e+16,1.7243846384566392e+16,2.87144400273169e+16,1.5749690241940932e+16,3.3906504032559616e+16,1.0
1.8150353585071666,2.25061983189694e+16,1.7534275052305988e+16,2.8413189817006964e+16,1.5833800463960394e+16,3.389576336386739e+16,1.0
1.9158706562020091,2.282004366745113e+16,1.7857237565905376e+16,2.812960173777952e+16,1.5884207791498864e+16,3.3818626680437908e+16,1.0
2.0167059538968517,2.2976320102091696e+16,1.80290658421524e+16,2.787830600747637e+16,1.5903365709032124e+16,3.368140446848004e+16,1.0
2.1175412515916943,2.3092197106366776e+16,1.8124170114889864e+16,2.759167435367334e+16,1.5893545165801992e+16,3.348983128917958e+16,1.0
2.218376549286537,2.3330621892300264e+16,1.8309857587773544e+16,2.7274063877653496e+16,1.5988490961816224e+16,3.312295314703133e+16,1.0
2.3192118469813794,2.346535825943295e+16,1.8494790953985428e+16,2.6929363616409484e+16,1.6105272684318666e+16,3.2669024985850004e+16,1.0
2.4200471446762224,2.3404190447434256e+16,1.863322608182096e+16,2.6600204953249444e+16,1.6197558371805216e+16,3.2185697776292732e+16,1.0
2.520882442371065,2.341687234926203e+16,1.870955367297865e+16,2.6657856225456172e+16,1.6266141253765296e+16,3.167708518663985e+16,1.0
2.6217177400659075,2.332604573659088e+16,1.87591795945415e+16,2.667967017960467e+16,1.631179331154192e+16,3.1146897269315176e+16,1.0
2.72255303776075,2.3208653975389376e+16,1.8783016850149624e+16,2.666731994872768e+16,1.6335271544753636e+16,3.0598484599859668e+16,1.0
2.8233883354555926,2.2971773264587988e+16,1.8781968391026884e+16,2.6622428508552336e+16,1.6337322922066856e+16,3.0034876224325544e+16,1.0
2.924223633150435,2.271427993500507e+16,1.8667545534973348e+16,2.654657422614069e+16,1.6318688258293182e+16,2.9458812516599812e+16,1.0
3.0250589308452778,2.2438035369650292e+16,1.851199020755408e+16,2.644129515003767e+16,1.628010520719241e+16,2.8872773813625852e+16,1.0
3.1258942285401203,2.214479134655257e+16,1.833623610668856e+16,2.6308092293182548e+16,1.6222310519990064e+16,2.8279005519268916e+16,1.0
3.226729526234963,2.1866981247290976e+16,1.8141610890498576e+16,2.6148432107854144e+16,1.61048886195866e+16,2.767954023163087e+16,1.0
3.3275648239298055,2.153947607773075e+16,1.7894220812638112e+16,2.5963748311986996e+16,1.589815718414259e+16,2.7133993611781028e+16,1.0
3.428400121624648,2.120284258332001e+16,1.7590149884374494e+16,2.5755443195218868e+16,1.5667855219396718e+16,2.660752065957855e+16,1.0
3.5292354193194906,2.0946586305063436e+16,1.7275836494416862e+16,2.5524888508778276e+16,1.5416843149725226e+16,2.6282094037566932e+16,1.0
3.630070717014333,2.0771878043993468e+16,1.6912312890992076e+16,2.52321735002381e+16,1.5155079017147314e+16,2.6090168702761892e+16,1.0
3.7309060147091757,2.0603673220730236e+16,1.6462571312826426e+16,2.490589141024278e+16,1.4883664599475092e+16,2.5877495200205316e+16,1.0
3.8317413124040183,2.047939521694785e+16,1.6017369873721324e+16,2.462759620412816e+16,1.4603658530846562e+16,2.5645128364249092e+16,1.0
3.932576610098861,2.020903797432397e+16,1.5652758514319726e+16,2.4355918776437612e+16,1.4316076746455802e+16,2.53941080830799e+16,1.0
4.033411907793703,1.991263333474102e+16,1.5441441267281994e+16,2.406792448833743e+16,1.4021892904892638e+16,2.516723972289662e+16,1.0
4.134247205488546,1.9662464629972292e+16,1.5218154177493658e+16,2.3747381992436396e+16,1.3722038806285622e+16,2.4922042752340044e+16,1.0
4.2350825031833885,1.936039189574177e+16,1.4983707905737422e+16,2.3396986502005116e+16,1.3417404820494364e+16,2.4659035926153624e+16,1.0
4.3359178008782315,1.903666394874645e+16,1.472050942360804e+16,2.303424079211872e+16,1.3108840336344086e+16,2.437919085175937e+16,1.0
4.436753098573074,1.8704956821122e+16,1.439592382225531e+16,2.263798931410031e+16,1.27971542402061e+16,2.4083473489979692e+16,1.0
4.537588396267917,1.836615490209585e+16,1.4066844008488642e+16,2.226490544443674e+16,1.248311542999898e+16,2.377284299898235e+16,1.0
