bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-20.792906,,,,,,0.0
-9.821749,-0.0004007485804511324,-0.0004057885199191533,-0.00039486486542843625,-0.0004111689731827132,-0.0003856816661237327,1.0
-9.653394,-0.0003987904441045348,-0.00040373647179164793,-0.00039288086952368425,-0.0004089122082343724,-0.0003838027081153875,1.0
-9.48856,-0.00039676401717938874,-0.0004017486461607218,-0.00039093836703510166,-0.0004067026415800675,-0.0003819630220443208,1.0
-9.317886,-0.00039463563053490565,-0.00039984861003847,-0.00038892704230212986,-0.0004044147908944125,-0.00038005812844098497,1.0
-9.150979,-0.00039255422013979255,-0.00039801050750556055,-0.00038696010992992676,-0.00040217743608088184,-0.00037819524832203373,1.0
-8.986415,-0.0003905020280255173,-0.0003960070342750536,-0.0003850207886160456,-0.00039997148870502523,-0.0003763584864425088,1.0
-8.821676,-0.0003884476535117341,-0.0003939204999355029,-0.0003830794046852705,-0.0003977631954801726,-0.00037451973691792156,1.0
-8.649858,-0.000386305000371487,-0.00039174430512255095,-0.00038105459712418953,-0.0003954600096695644,-0.0003726019352869896,1.0
-8.484933,-0.00038424830615503287,-0.0003896554149613291,-0.00037911102038436256,-0.00039324922312735684,-0.0003707610308611776,1.0
-8.319833,-0.0003821894294716723,-0.0003875643083016291,-0.00037716538078773755,-0.0003910360907263818,-0.0003689181293042084,1.0
-8.155403,-0.00038015078648480794,-0.00038548168765730227,-0.0003752276362284644,-0.000388831939520588,-0.0003670826596189028,1.0
-7.98472,-0.0003781001002277452,-0.00038331986840340216,-0.0003732162016318032,-0.0003865439680744523,-0.00036517733575922446,1.0
-7.816826,-0.0003760829219521078,-0.00038119337377607026,-0.0003712376333615957,-0.00038441174093100213,-0.0003633030854155834,1.0
-7.653071,-0.00037411547130644304,-0.00037911930246620364,-0.0003693078405506123,-0.0003825980885643883,-0.0003614749780725629,1.0
-7.482649,-0.00037206791824500386,-0.00037696078894322257,-0.00036729947813346947,-0.0003807101657714022,-0.0003595723734972027,1.0
-7.319844,-0.0003701118793399636,-0.00037491467107967844,-0.0003653808776936223,-0.00037890618444727227,-0.0003577547338411349,1.0
-7.143939,-0.00036792977201557795,-0.0003727262120973605,-0.0003633078961995676,-0.00037695653873487357,-0.00035579075259896056,1.0
-6.984543,-0.0003659498995934945,-0.00037074314390612783,-0.0003614294654518007,-0.0003751893683330262,-0.0003540110108783699,1.0
-6.816223,-0.00036385918039616265,-0.0003686590849470464,-0.00035944586545232456,-0.0003733227132214438,-0.00035213153254277344,1.0
-6.644069,-0.0003617208376481541,-0.0003665153193091735,-0.00035741707939795664,-0.00037141290958292417,-0.0003502091311020522,1.0
-6.48195,-0.0003597071393391199,-0.0003644383809686271,-0.0003555065491442506,-0.00036961380486153346,-0.00034839867614589777,1.0
-6.312897,-0.00035769954656093616,-0.0003623301089128339,-0.00035352991975245995,-0.0003677370538757179,-0.00034651066160870935,1.0
-6.148097,-0.00035591521294870245,-0.0003603718633351412,-0.00035158613580392906,-0.0003658514954275657,-0.0003446700096042673,1.0
-5.978817,-0.00035408198665031116,-0.00035824597943202413,-0.0003495895008062615,-0.00036360179182920845,-0.0003427791701005522,1.0
-5.814216,-0.000352298994269791,-0.0003561288854360215,-0.00034764804213326074,-0.0003614141508991225,-0.00034094043552462903,1.0
-5.64643,-0.00035048104331085743,-0.0003541020321437321,-0.00034566900244844016,-0.00035918404388634613,-0.0003390659446804698,1.0
-5.485286,-0.00034868469807839336,-0.00035214347555571527,-0.00034376828990506625,-0.0003570420816428944,-0.00033745184049699834,1.0
-5.316048,-0.000346586324335547,-0.00035002486451336367,-0.0003417720886984264,-0.00035479237880042976,-0.0003358664547347412,1.0
-5.144486,-0.000344459104817265,-0.0003478412180520191,-0.000339748452148022,-0.0003525116083383929,-0.00033425806685254567,1.0
-4.976011,-0.0003423701285681559,-0.0003455999670405177,-0.00033776120098988875,-0.0003502716921659538,-0.00033267731631369667,1.0
-4.811562,-0.00034033103711214786,-0.0003434182665217864,-0.0003358214081083076,-0.0003480851114834387,-0.00033113300522974334,1.0
-4.646389,-0.0003382805435010246,-0.0003412525153708153,-0.0003338743227218605,-0.00034588869992831976,-0.0003295804678942857,1.0
-4.474642,-0.00033610506941927,-0.0003390026270989809,-0.0003318501536538783,-0.00034381357786777733,-0.000327964487626129,1.0
-4.308224,-0.00033408957722293046,-0.0003369674295546581,-0.000329888755269005,-0.0003420085089349105,-0.0003263968874656546,1.0
-4.142449,-0.00033203381628401637,-0.0003349400775738432,-0.0003279348944402051,-0.0003402088068167595,-0.00032483351019992355,1.0
-3.978741,-0.0003300036141613922,-0.0003329388587966343,-0.00032601305689447643,-0.00033842985257969354,-0.0003232782122677329,1.0
-3.81266,-0.00032794388942711033,-0.00033098496656649024,-0.0003240730234819692,-0.00033662311966156514,-0.00032142753007166164,1.0
-3.644215,-0.0003258547354549961,-0.0003290029724456787,-0.00032210526552124864,-0.00033478857559899065,-0.000319550347463893,1.0
-3.482712,-0.00032385156789338027,-0.00032710235563010296,-0.000320218484119006,-0.0003330275102228914,-0.0003177503585721347,1.0
