bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000275,,,,,,0.0
-9.823362,-0.0003466456508662628,-0.00034926433059485765,-0.0003418267399465795,-0.0003511857814913158,-0.00033989872282617813,1.0
-9.655199,-0.0003449291407104859,-0.00034741155559589855,-0.00034007529698234856,-0.00034937768579840927,-0.00033826398498920906,1.0
-9.490155,-0.0003432444674934873,-0.0003455931449054653,-0.00033835633887272274,-0.0003476031257253121,-0.0003366595674207061,1.0
-9.318759,-0.0003414792661113506,-0.0003437047495762897,-0.0003365712237267117,-0.00034576026867914417,-0.00033499340110395345,1.0
-9.15375,-0.00033977407368877106,-0.0003418867245063586,-0.00033485263014734404,-0.00034398608492697546,-0.0003333893237755658,1.0
-8.985824,-0.00033803873717490215,-0.0003400365607097437,-0.0003331036555737723,-0.0003421805374668672,-0.0003317568898509474,1.0
-8.820849,-0.00033633389610526136,-0.0003382189102424167,-0.00033138541610949757,-0.00034040671928312153,-0.00033015314304136816,1.0
-8.64929,-0.00033456101640111396,-0.0003363466211055256,-0.0003295986032938883,-0.00033856210965184396,-0.0003284853921763828,1.0
-8.484152,-0.000332854490898079,-0.00033455202887686504,-0.0003278786661600158,-0.0003367865388832944,-0.0003268800608186403,1.0
-8.319338,-0.0003311513135889122,-0.0003327609576299082,-0.00032627588070438204,-0.0003350144517751649,-0.00032527787911318823,1.0
-8.151202,-0.00032941380694286406,-0.00033093378545287055,-0.0003246525872257978,-0.000333206646380486,-0.00032364340374494257,1.0
-7.986269,-0.00032770939989079217,-0.00032914142100569843,-0.0003230602175204469,-0.0003314332797748987,-0.00032204006522094654,1.0
-7.814619,-0.0003259355797871411,-0.0003272760613907235,-0.000321402997475803,-0.0003295876916974719,-0.0003203714297271929,1.0
-7.650161,-0.00032423608134596587,-0.0003254888588763785,-0.00031981521355729244,-0.0003278194323046814,-0.00031869569565196775,1.0
-7.481748,-0.0003224957121815713,-0.0003236586764766335,-0.000318189245394684,-0.00032600864857803104,-0.00031695843826969657,1.0
-7.317094,-0.00032079418827277823,-0.0003218693439850284,-0.00031659814109428103,-0.000324238281772071,-0.0003152599566947814,1.0
-7.145595,-0.0003190219285584728,-0.000320005625319995,-0.00031493803691337254,-0.00032239431722503226,-0.00031349086579969716,1.0
-6.983769,-0.00031734962899276843,-0.00031824702534658905,-0.00031337156678942996,-0.0003206543571726315,-0.0003118215563342507,1.0
-6.818837,-0.0003156197492978577,-0.00031645467176313007,-0.00031177503039034256,-0.000318881001260465,-0.0003101202070459286,1.0
-6.647267,-0.0003138073405759133,-0.0003145901815210042,-0.0003101115630139476,-0.00031703627326635755,-0.00030840792902044566,1.0
