energy_ev,eedf_m3_ev_median,eedf_m3_ev_q16,eedf_m3_ev_q84,eedf_m3_ev_q2.25,eedf_m3_ev_q97.75,eedf_m3_ev_valid_fraction
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.29571111781312925,537553353982839.4,517296428871549.25,585889784223565.5,487978828417794.2,615034990741248.1,1.0
0.5914222356262585,760196541745342.6,731516395829593.6,828486142019903.9,690090293054575.1,869745563905189.2,1.0
0.8871333534393877,930987110512416.0,895777175485060.1,1014467259549008.0,845133009964901.6,1065085438898181.4,1.0
1.182844471252517,1074880738505242.0,1034066139552098.9,1171000600172728.8,975762057478925.6,1229586050831560.5,1.0
1.4785555890656463,1201517531719110.5,1155633761086094.8,1308564751801610.2,1090729272287421.8,1374256355152708.0,1.0
1.7742667068787754,1315817894340354.5,1265190255161743.2,1432497358134076.8,1194501929748455.5,1504706092546368.0,1.0
2.0699778246919047,1420683172253076.0,1365504446079011.5,1545938164687277.2,1289714322923971.0,1624235753764726.0,1.0
2.365688942505034,1517983802896402.5,1458354671828340.8,1650905748370245.2,1378064781245773.0,1734967200093049.2,1.0
2.6614000603181633,1609000435195769.8,1544953280639549.8,1748778123661331.5,1460716109010665.5,1838348403327380.2,1.0
2.9571111781312927,1694648140864166.5,1626162401575747.5,1839913944476450.5,1538499119810068.8,1935410013344835.0,1.0
3.252822295944422,1775601425542290.2,1702614260785703.8,1924741006730742.8,1612026119760860.0,2026908429114839.5,1.0
3.548533413757551,1852368970380785.0,1774783128554422.5,2004422965277198.2,1681758757551713.8,2113411356648226.5,1.0
3.84424453157068,1925340837782937.8,1843030772604706.2,2079368308816953.5,1748050878445018.5,2195351864114669.0,1.0
4.139955649383809,1994819640858840.5,1907636482385348.2,2149894195175119.8,1811176821283660.5,2273064090729262.0,1.0
4.435666767196939,2061041898890734.8,1970150615903114.0,2216249738557958.5,1871350806998565.5,2346807728010686.0,1.0
4.731377885010068,2124193135485590.2,2029623509027857.5,2280088321056645.5,1928740647327333.2,2416785342123281.0,1.0
5.027089002823197,2184418847279453.2,2086156239032658.8,2340549602468254.5,1983477705413841.5,2483154971232120.0,1.0
5.322800120636327,2241832666271200.8,2139850972418707.5,2397491807394742.0,2035664309390741.2,2546039510999969.0,1.0
5.6185112384494555,2296522566077461.0,2190785800079509.2,2451009765319818.0,2085379390859784.0,2605533860417406.0,1.0
5.914222356262585,2348555674408886.5,2239019393811865.8,2501178488398052.5,2132682858748695.5,2660460028379220.5,1.0
6.209933474075714,2397982073019712.0,2284593574105311.5,2548057294493388.0,2177619054666722.8,2708484949391089.5,1.0
6.505644591888844,2444837849362579.5,2326877309041931.5,2591693108862346.0,2220219529647008.8,2752905412477771.5,1.0
