bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000257,,,,,,0.0
-9.823216,-0.0002103751914336273,-0.0002159955822178954,-0.0002076715483546797,-0.0002206745745923078,-0.00020372378177444675,1.0
-9.654957,-0.0002093182009022104,-0.00021483852460377586,-0.00020663123792733035,-0.00021940359233883804,-0.0002027596704977018,1.0
-9.490068,-0.00020830436227995113,-0.00021370464128737346,-0.00020559112826659256,-0.0002181580661393933,-0.0002018148690647253,1.0
-9.318667,-0.00020725048389089022,-0.000212525977250872,-0.00020449751204676053,-0.00021686335008125096,-0.00020083275436687638,1.0
-9.15376,-0.00020620818880276302,-0.00021137030576266096,-0.00020344533049610543,-0.0002156176879147521,-0.0001998878497952685,1.0
-8.985711,-0.0002051326515863337,-0.0002101921456789347,-0.00020237908018345968,-0.00021434829194358067,-0.00019892494180255658,1.0
-8.820847,-0.00020414442609546172,-0.00020903631503404275,-0.0002013666636590555,-0.00021310295458726666,-0.0001979811334966898,1.0
-8.649212,-0.00020306616399107458,-0.000207833014175541,-0.00020028575636497632,-0.0002118064709574205,-0.0001970248326972142,1.0
-8.484263,-0.0002019965845972304,-0.00020667658761155925,-0.00019923442782120501,-0.00021056049153446197,-0.000196105784364574,1.0
-8.318914,-0.00020093399036171634,-0.00020551735672244922,-0.00019818054981416016,-0.00020931149062141145,-0.00019518450734710966,1.0
-8.151507,-0.00019985807562844678,-0.00020434369758055393,-0.00019715092218299562,-0.00020804694414183766,-0.00019425176374622517,1.0
-7.98625,-0.00019879597881603195,-0.00020318511168622335,-0.00019614722518650066,-0.00020679863817150827,-0.00019333099932627038,1.0
-7.81479,-0.00019768032638840273,-0.0002019830377199653,-0.00019510585394643803,-0.0002055034764435774,-0.00019237567357640535,1.0
-7.650071,-0.0001965863106095351,-0.00020084987688127824,-0.0001941054245209634,-0.00020425923437742175,-0.000191457906737539,1.0
-7.481821,-0.00019551066332687913,-0.0001997028165954431,-0.0001930567299632765,-0.00020298832010747907,-0.00019052046618338764,1.0
-7.317235,-0.00019448210503677892,-0.0001985807359761001,-0.00019200658130514488,-0.000201745082686779,-0.00018960344038222534,1.0
-7.145501,-0.00019345029016098173,-0.0001974099231907948,-0.00019091082449924657,-0.0002004478512381351,-0.00018864658798325575,1.0
-6.983958,-0.00019245935637256202,-0.00019630858851171806,-0.00018988009184470393,-0.00019922759980330987,-0.00018774651690189303,1.0
-6.818782,-0.00019144613710935643,-0.00019518248551158074,-0.00018882660705859362,-0.00019797990568472409,-0.00018682620379061512,1.0
-6.647266,-0.000190394027146965,-0.000194013158961891,-0.0001877570663376192,-0.00019668432094818036,-0.00018587056602487468,1.0
-6.482533,-0.00018938352532535868,-0.0001928900761561467,-0.00018672982309740673,-0.00019543997312987147,-0.00018495272118203943,1.0
-6.314323,-0.00018835169496099697,-0.00019174328857409425,-0.00018568089795529107,-0.000194169361008938,-0.00018401550349637038,1.0
-6.149323,-0.0001873395553134155,-0.0001906489550092433,-0.00018465198975453555,-0.0001929229963459927,-0.00018309617100641484,1.0
-5.977878,-0.0001862985056166207,-0.00018951604053194467,-0.00018358951361216976,-0.0001916293248015426,-0.00018214092883223025,1.0
-5.813182,-0.00018529589061454406,-0.0001884199971224288,-0.00018256904958516938,-0.00019040546509431602,-0.00018122329014274053,1.0
-5.644994,-0.0001842401124548593,-0.00018726342775018996,-0.00018154543965669958,-0.00018926188837002986,-0.00018028619503473537,1.0
-5.480009,-0.0001831879487657898,-0.0001861288842757517,-0.00018055911215926566,-0.00018815278343712192,-0.0001793669461204583,1.0
-5.315009,-0.00018214660999917883,-0.00018499423765162035,-0.0001795726949875434,-0.0001870140869722389,-0.00017844761363049823,1.0
-5.143352,-0.0001810632579466931,-0.0001838138131936899,-0.00017854648036665655,-0.00018587990154735648,-0.0001774911902533484,1.0
-4.97881,-0.00018002480968405243,-0.0001826823160735213,-0.0001775628012498715,-0.00018479715591376044,-0.00017651213478628248,1.0
-4.810366,-0.00017893753965961018,-0.00018153284156445848,-0.00017655579486154657,-0.00018368873371453202,-0.0001754706738848359,1.0
-4.645634,-0.00017790033402857947,-0.00018049684275059448,-0.000175500733627858,-0.00018260473781249155,-0.0001744521636546278,1.0
-4.474119,-0.00017683018996166708,-0.0001793443721003452,-0.0001744325729089208,-0.000181476107326985,-0.0001733917152770551,1.0
-4.309437,-0.00017579498523946944,-0.0001782473106449587,-0.00017340711801510636,-0.00018039244044295617,-0.00017237351418842903,1.0
-4.141273,-0.0001746883527737573,-0.00017717342477850011,-0.0001723098678660893,-0.0001792858607445931,-0.00017133378447984994,1.0
-3.976474,-0.0001736040244560412,-0.00017606793210440909,-0.00017129051561673027,-0.00017820142395841678,-0.0001703334689417768,1.0
-3.811294,-0.0001725171892718435,-0.00017498194865436326,-0.00017027646243680924,-0.00017711448005499104,-0.00016939681391251168,1.0
-3.643198,-0.00017141116767647248,-0.00017388567582487648,-0.00016928969960778887,-0.00017600834782112286,-0.0001683344617157245,1.0
-3.478209,-0.000170325589215357,-0.00017275842715161916,-0.00016827915473274768,-0.00017492266076650002,-0.00016728234360683162,1.0
-3.306846,-0.0001691980717333788,-0.00017153825897701054,-0.00016725159528012284,-0.0001737950304957439,-0.00016618957914680998,1.0
-3.141873,-0.0001681286356592928,-0.00017048548983957554,-0.00016626235276162972,-0.00017270944872687703,-0.00016513756306828822,1.0
-2.973641,-0.00016710064605379759,-0.00016941192351338247,-0.0001652535680054174,-0.00017160242156399755,-0.00016406476467750218,1.0
-2.80846,-0.0001660840419089192,-0.000168354449014428,-0.00016426307823448,-0.00017051547108017217,-0.0001630114222040676,1.0
-2.637141,-0.00016498607635591852,-0.00016724469084885212,-0.00016322230782959062,-0.00016936811377904408,-0.0001618876406480112,1.0
-2.472443,-0.00016397441623900157,-0.00016620381061319605,-0.0001621885824316983,-0.00016826226553328242,-0.00016079118374485944,1.0
-2.307642,-0.00016297060670747782,-0.00016522561174380136,-0.0001611272458263349,-0.00016712200754770033,-0.00015969404113168852,1.0
-2.139258,-0.00016197978692162956,-0.00016419352046204963,-0.00016004091513744935,-0.00016593899619496248,-0.00015857304513170904,1.0
-1.974358,-0.00016087783518923258,-0.00016317697599853135,-0.00015896187960850176,-0.0001647804622957164,-0.00015746132172426785,1.0
-1.802876,-0.0001597798037650753,-0.00016208091427465682,-0.00015783977426806528,-0.00016357568539966154,-0.00015630275155162633,1.0
-1.638098,-0.0001587615888618394,-0.00016100752464497594,-0.00015676153705422745,-0.00016250613142477385,-0.00015518947507951617,1.0
-1.469754,-0.00015757481792313344,-0.00015996714609702994,-0.00015565996545037345,-0.00016147088509333848,-0.00015405210592481743,1.0
-1.304843,-0.000156510908350572,-0.00015893070045862459,-0.00015458085793742745,-0.00016045675028960484,-0.00015293793087273378,1.0
-1.133007,-0.00015543088445831553,-0.00015781944989727868,-0.00015346927142518812,-0.00015940002956747471,-0.00015177696899151542,1.0
-0.968573,-0.00015435992708916365,-0.00015680627687831355,-0.00015241767212839706,-0.00015835775780717875,-0.00015066601664771276,1.0
-0.803907,-0.0001533896592252957,-0.0001557875198670257,-0.00015136458884339993,-0.00015729340824924805,-0.00014955349685113532,1.0
-0.635633,-0.00015239813090589405,-0.0001547464407462821,-0.0001502884309838624,-0.00015629188907616157,-0.00014841660059301977,1.0
-0.470623,-0.0001514258339192471,-0.0001537255552117158,-0.00014923314664456045,-0.0001553124085625876,-0.00014730175660675817,1.0
-0.302269,-0.0001503997210640509,-0.00015264702411028932,-0.0001481294844947848,-0.0001542758173723634,-0.00014616431976343094,1.0
-0.137704,-0.00014937665407322974,-0.00015158545318708408,-0.00014698492375042878,-0.00015322371208986965,-0.0001450524821515606,1.0
0.03792,-0.00014818403544465228,-0.00015045240767742424,-0.00014572083099661772,-0.00015210090119693602,-0.0001438659273163482,1.0
0.202694,-0.00014710253678678354,-0.00014944138619073826,-0.00014455113323301138,-0.00015104522598698424,-0.00014275267723088748,1.0
0.371145,-0.00014599955014241698,-0.00014840780159590096,-0.00014338861926011618,-0.0001500528305724177,-0.0001416145840492425,1.0
0.535645,-0.00014494827893419862,-0.00014739845707598977,-0.00014225337005285845,-0.0001491009954012484,-0.00014050318399942805,1.0
0.700602,-0.00014393156974594598,-0.00014638630475141253,-0.00014113776841902391,-0.00014814649484235108,-0.00013938869521906933,1.0
0.872274,-0.00014287346780641864,-0.00014533294373438052,-0.0001399387250016544,-0.00014715310623771997,-0.00013822883636871246,1.0
1.036846,-0.00014185911906570154,-0.00014430308923175098,-0.00013886526338785282,-0.00014620075613651536,-0.00013711694387853846,1.0
1.205003,-0.00014079155767972968,-0.00014324845596589043,-0.00013776840864535394,-0.0001452276002714237,-0.0001359808253186222,1.0
1.369646,-0.0001397042463239629,-0.00014221908654877394,-0.0001366798984246337,-0.0001442746989058067,-0.00013486844114843921,1.0
1.541257,-0.0001386027121861567,-0.00014118699322665054,-0.0001355400652809717,-0.0001432813426657771,-0.0001337089670245366,1.0
1.706182,-0.0001375973707423724,-0.0001401848362577719,-0.00013444461812079668,-0.0001422997696349882,-0.00013259464928142318,1.0
1.874554,-0.00013659049648301216,-0.00013916152882522087,-0.00013332624205574653,-0.00014129662999232758,-0.00013145701451913248,1.0
2.039408,-0.00013555954831519936,-0.0001381593388716039,-0.000132231180943665,-0.0001403142923356686,-0.0001303201166672308,1.0
2.204182,-0.00013453950081244466,-0.0001371572904967172,-0.00013113657809061847,-0.00013933222857072014,-0.00012909660698573705,1.0
2.37562,-0.0001334156594980038,-0.00013611422204995696,-0.00013001594677441785,-0.00013831015206517653,-0.00012782331184680565,1.0
2.540618,-0.00013233353385706348,-0.00013510970399852832,-0.00012896369091352038,-0.00013732605527414974,-0.0001266320691760223,1.0
2.70852,-0.00013120405858944368,-0.00013408667759942173,-0.000127892626978889,-0.0001363240888109458,-0.00012556971572371398,1.0
2.87355,-0.00013017461719620164,-0.00013303585856344784,-0.00012683950213511768,-0.00013533855252763287,-0.00012452518533232737,1.0
