bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000278,,,,,,0.0
-9.824039,-0.00039798105790666286,-0.00040160272818521545,-0.0003942718056209933,-0.00040303024135017945,-0.00039161048191908556,1.0
-9.655797,-0.0003960372615918301,-0.00039958933594883304,-0.00039234392336643504,-0.00040099633496006997,-0.00038981376400400034,1.0
-9.490778,-0.0003941306996108358,-0.00039761451311013117,-0.0003904585555165228,-0.0003990013912174289,-0.0003880514557751016,1.0
-9.319492,-0.0003921517273945659,-0.00039556469027458613,-0.0003885015855054951,-0.00039693068361868036,-0.00038622220711840633,1.0
-9.15456,-0.0003902340829341265,-0.0003935909059824692,-0.0003866172101165022,-0.00039493678960499914,-0.0003844608022439439,1.0
-8.986567,-0.00038826546816191635,-0.00039158048816643554,-0.000384697861262701,-0.00039290588927511116,-0.00038266669221378416,1.0
-8.821673,-0.00038633316709929956,-0.0003896071551077714,-0.0003828139179017174,-0.00039091245185628306,-0.00038090566074428,1.0
-8.65005,-0.000384322010760656,-0.00038755329167091074,-0.00038085309300853355,-0.00038883766434357034,-0.0003790628765889967,1.0
-8.48498,-0.0003823876430907214,-0.00038557784746687934,-0.00037896713575743445,-0.00038684209532090127,-0.000377249542470429,1.0
-8.320065,-0.00038045508913436236,-0.00038360425485729554,-0.0003770829475018041,-0.0003848483978092699,-0.0003754379002497984,1.0
-8.152116,-0.0003784869783840287,-0.000381594350065836,-0.0003751640927242698,-0.0003828180184779691,-0.00037359291432729894,1.0
-7.987185,-0.0003765542301428476,-0.0003796205580748062,-0.00037328614381800044,-0.00038082412143352614,-0.0003717810672255759,1.0
-7.815563,-0.00037454306890755736,-0.00037756668768354284,-0.0003713473679127888,-0.0003787493305529435,-0.00036989569874169284,1.0
-7.650959,-0.0003726141437196418,-0.0003755974749881731,-0.00036948786616855295,-0.00037675937820691414,-0.0003680874071754476,1.0
-7.482746,-0.00037064291965341757,-0.0003736083646838556,-0.00036758776496914435,-0.0003747257895023102,-0.0003662394454391583,1.0
-7.31808,-0.0003687132551662797,-0.0003716756935888209,-0.00036573000992126095,-0.00037273507602725,-0.0003644304249841672,1.0
-7.146553,-0.0003667031806132091,-0.00036964469281544615,-0.0003638163034137495,-0.0003706614089753248,-0.0003625460005685859,1.0
-6.984807,-0.00036484844469119985,-0.00036770011591383115,-0.0003620145745091954,-0.00036869494448737755,-0.00036076899908536725,1.0
-6.819736,-0.0003629694952438768,-0.00036571458329831823,-0.00036017578507022466,-0.00036667342951111936,-0.0003589554308006071,1.0
-6.648178,-0.0003609712312327523,-0.00036367752390989547,-0.0003582652857807366,-0.0003645724652231496,-0.0003570712849953614,1.0
-6.483621,-0.0003590684946892873,-0.0003617235408483737,-0.00035640092893475647,-0.00036255722842152313,-0.00035527256072655455,1.0
-6.315331,-0.0003571173653320138,-0.00035971985415305215,-0.00035443529139632754,-0.0003604962656031775,-0.00035337730751707543,1.0
-6.150158,-0.0003552057253171518,-0.00035773787412381045,-0.0003525521248230968,-0.0003584734628348029,-0.00035153268707479007,1.0
-5.978772,-0.00035322213913186536,-0.0003556813187570862,-0.00035065713598677,-0.00035637455719170327,-0.00034961584363965163,1.0
-5.814145,-0.00035131673203752447,-0.0003537058408067962,-0.0003488208153792681,-0.0003543584104878232,-0.0003477083315833344,1.0
-5.646026,-0.000349358798122265,-0.000351688429606934,-0.00034690105194479584,-0.00035236144895847064,-0.00034576033938397993,1.0
-5.480978,-0.0003473859552620834,-0.0003497078338223819,-0.00034498655472468614,-0.00035041207529724796,-0.0003438479059349069,1.0
-5.316,-0.00034544812563962527,-0.0003477280379152729,-0.0003430688538274153,-0.0003484634740755215,-0.00034193625683357143,1.0
-5.144306,-0.0003434685645773146,-0.0003456675968223173,-0.00034106534950239874,-0.00034643548144375577,-0.0003399467563490788,1.0
-4.979871,-0.0003416174065412221,-0.0003436942146312783,-0.000339174974245182,-0.00034449315401882896,-0.0003380413296714087,1.0
-4.811474,-0.0003397215480288256,-0.00034167321818030235,-0.0003372401144338426,-0.00034250394480788636,-0.00033608994792285585,1.0
-4.646525,-0.0003378644112616732,-0.00033968942695111824,-0.000335306326886987,-0.00034055536313605013,-0.000334178474002531,1.0
-4.474968,-0.0003359327552708154,-0.000337624981296593,-0.0003333164952711881,-0.00033852407260845423,-0.00033219035984185293,1.0
-4.310328,-0.0003340384883721008,-0.00033564366427985334,-0.0003314135105911934,-0.0003365535063048814,-0.0003302823341585111,1.0
-4.142416,-0.0003320425199486854,-0.0003336228400178737,-0.00032948178722730446,-0.00033454365878844,-0.00032833631256799957,1.0
-3.977567,-0.00033010636036343564,-0.0003316387312606657,-0.00032759416556948635,-0.00033261082406403647,-0.00032642569328438935,1.0
-3.812457,-0.0003282053676633588,-0.0003296519056384541,-0.00032571674010301325,-0.00033067484416762896,-0.00032451193868423726,1.0
-3.644195,-0.0003262677153699858,-0.00032763686309641125,-0.0003238249475950539,-0.00032870160958576656,-0.0003225615298238634,1.0
-3.479109,-0.00032429926842256245,-0.0003256596564520776,-0.000321970941358473,-0.00032676533517785993,-0.0003206477887829577,1.0
-3.30782,-0.000322264929648069,-0.00032360789772220246,-0.0003200449847810476,-0.000324755927205177,-0.0003186619547923648,1.0
-3.142942,-0.00032041168465912756,-0.0003216326768678261,-0.00031812117205236615,-0.0003228213383074801,-0.0003167502628413606,1.0
-2.97469,-0.0003184851110070114,-0.00031961669928294356,-0.00031614325418067625,-0.00032084672116435497,-0.00031477768347783235,1.0
-2.809612,-0.00031651440788916087,-0.0003176368329729568,-0.0003141794949165918,-0.0003189088215873753,-0.0003128847095713685,1.0
-2.638192,-0.0003144367327193613,-0.0003155711025332192,-0.0003121398981981443,-0.00031689593184605467,-0.0003108963525254872,1.0
-2.47374,-0.00031245493516963134,-0.0003136090157849489,-0.000310182831565047,-0.00031496414996145616,-0.00030898847295888083,1.0
-2.308862,-0.00031047272203634944,-0.0003116347939870807,-0.00030822025220896617,-0.00031305428805769245,-0.0003070752352667271,1.0
-2.14038,-0.0003085512452903693,-0.00030961852106363403,-0.0003062248786741875,-0.0003110936805138462,-0.0003051197385660937,1.0
-1.975583,-0.00030664463564889096,-0.00030775563050608647,-0.00030433304352943586,-0.0003091739613704143,-0.0003032087951366638,1.0
-1.804043,-0.00030460145950484937,-0.00030580628213636906,-0.000302363052426907,-0.000307139758620857,-0.00030122188160916285,1.0
-1.639328,-0.0003026684873908383,-0.00030392021692179845,-0.00030047956045014775,-0.00030518554148927256,-0.0002993133946742206,1.0
-1.470946,-0.0003007306468640541,-0.0003019778774408149,-0.00029855429681307984,-0.0003031868327183763,-0.00029736162104377647,1.0
-1.306019,-0.0002987647608276065,-0.0003000727390380156,-0.0002966676574705469,-0.0003012278911033575,-0.00029544899551137144,1.0
-1.134354,-0.00029668673701943355,-0.00029808774718728524,-0.00029473688613498785,-0.00029919313938381754,-0.00029345725343488273,1.0
-0.969651,-0.0002947206597861331,-0.0002961809643416891,-0.000292774000373159,-0.00029724518731688137,-0.00029154509393145543,1.0
-0.805138,-0.0002928146689280577,-0.0002942427330000465,-0.00029087075243618984,-0.00029529766571829817,-0.0002896338301834312,1.0
-0.636889,-0.00029086339616929044,-0.00029224121393062744,-0.0002889154195061442,-0.0002933318727998174,-0.00028767775198601704,1.0
-0.471881,-0.00028894724676919266,-0.0002903082402870064,-0.0002869903981418432,-0.0002914105065772403,-0.0002857576113525133,1.0
-0.30361,-0.00028694615940910836,-0.00028830886967667706,-0.0002850161128139536,-0.00028944789638066254,-0.00028376200688615957,1.0
-0.138896,-0.0002849832820170789,-0.00028634709073610125,-0.0002830449428236544,-0.00028752302762972303,-0.00028180204535856217,1.0
0.037638,-0.0002828850713331147,-0.0002842556989697924,-0.00028092912831907934,-0.00028545547692519915,-0.0002797156308048634,1.0
0.202349,-0.00028099396733797133,-0.0002823327364646348,-0.0002789531574918896,-0.0002835512598546935,-0.0002777723462838933,1.0
0.370676,-0.00027900806911903994,-0.00028036207217052003,-0.0002769309194488839,-0.0002816313398438776,-0.00027578311136196217,1.0
0.535215,-0.0002770197626848981,-0.00027842703498254126,-0.00027495374137555506,-0.00027974803169996933,-0.000273834981393439,1.0
0.70026,-0.00027502122732099663,-0.0002764405324701142,-0.0002730260865224357,-0.0002778511752469258,-0.00027187637084571904,1.0
0.871747,-0.0002729388143248426,-0.0002743551481616122,-0.00027097779021300423,-0.0002758723955047411,-0.0002698362955859601,1.0
1.036285,-0.00027093553730958233,-0.00027237790214498027,-0.000268944234324517,-0.00027396373419339397,-0.0002678736309528705,1.0
1.204623,-0.0002688796465562786,-0.000270385983531336,-0.0002668528418320549,-0.00027200173201224803,-0.00026585920899604895,1.0
1.369304,-0.000266845546977653,-0.0002684253123629123,-0.00026480190161863934,-0.0002700707373158495,-0.00026388154721294346,1.0
1.540913,-0.0002647091850206724,-0.00026637069267370847,-0.000262659009210083,-0.00026804627588995387,-0.00026181319942070495,1.0
1.705866,-0.0002626466598621471,-0.0002643523694758524,-0.0002605920014077621,-0.0002660868980608833,-0.0002597811992475443,1.0
1.874011,-0.0002605351750766809,-0.0002622843681818708,-0.0002584780226879417,-0.00026407438921868706,-0.00025769493352212797,1.0
2.038923,-0.0002584524179639863,-0.00026024542032148626,-0.0002563963173094542,-0.00026208564429925876,-0.0002556314788585629,1.0
2.203594,-0.00025636186846298965,-0.0002581957035321539,-0.00025431317610232694,-0.00026008080918194545,-0.0002535527838995732,1.0
2.375204,-0.0002541684740439447,-0.00025605578937671665,-0.00025214361497400366,-0.0002579652642047301,-0.0002513735575519917,1.0
2.540126,-0.00025210074526332843,-0.00025399421682597477,-0.0002500333566018433,-0.00025590555322635807,-0.00024926646962438766,1.0
2.707996,-0.00025003200656833937,-0.00025187467536128217,-0.00024789880986714045,-0.00025380042562651536,-0.0002471054191675213,1.0
2.872921,-0.0002479272911407051,-0.00024977166824685084,-0.00024577752168472117,-0.0002517060227828557,-0.0002449660688402417,1.0
3.041005,-0.00024573384000444934,-0.00024760182382367244,-0.00024358345028842332,-0.0002495396138607215,-0.00024276704415509274,1.0
3.205948,-0.0002435519785410862,-0.00024544808412240744,-0.00024141022542155076,-0.00024739489840848667,-0.00024058738048449702,1.0
3.377476,-0.00024125735626479448,-0.00024317512508093803,-0.00023909702530795345,-0.0002451553183209042,-0.00023829839746747364,1.0
3.542471,-0.000239009283959253,-0.00024096687204956769,-0.00023684155791852082,-0.00024296756472728953,-0.00023606802101092418,1.0
3.707112,-0.00023672882494306326,-0.00023875395550574153,-0.00023460024691747446,-0.00024075188398931297,-0.00023381599543198913,1.0
3.875472,-0.00023436452518133476,-0.00023645634098204147,-0.00023227574663437677,-0.00023844236557287642,-0.00023148054950133427,1.0
4.040321,-0.00023200447246423452,-0.00023415907152736428,-0.00022993386938198438,-0.00023614022211079544,-0.00022915779606203128,1.0
4.211778,-0.0002295185072565973,-0.0002317001955230232,-0.00022749483096812955,-0.00023369606225442618,-0.00022670423019580091,1.0
4.376338,-0.00022710939855235407,-0.00022929636633003232,-0.00022510670944988044,-0.00023129765009765606,-0.00022430262620914493,1.0
4.54431,-0.00022458904231633043,-0.0002268053613404746,-0.0002226085967341181,-0.00022879432520907751,-0.00022179895900100352,1.0
4.709202,-0.0002220770130566418,-0.00022430027276331918,-0.00022012317779388817,-0.0002262714348767604,-0.00021927071777858416,1.0
4.880742,-0.0002193969562476214,-0.00022161931331480704,-0.00021748104411746183,-0.00022357975003970128,-0.00021651932728389677,1.0
5.045805,-0.0002167203178399519,-0.0002189260837858627,-0.00021487802671817937,-0.00022091161469602714,-0.00021389697367916815,1.0
5.210595,-0.00021397852572070024,-0.00021616192100066514,-0.00021221033346149066,-0.00021817011245874114,-0.00021114868845578967,1.0
5.378618,-0.00021110151818318573,-0.00021325083349218923,-0.0002093073806925455,-0.00021528825302134422,-0.00020828126531593472,1.0
5.543647,-0.00020817888033879315,-0.00021034858120010084,-0.00020630738532976574,-0.0002123550843749561,-0.00020537534465426584,1.0
5.715161,-0.00020504544353911272,-0.00020716176141343415,-0.00020315950423585545,-0.00020923539663468243,-0.0002022516615358617,1.0
5.880146,-0.00020191552718743495,-0.00020401777609075074,-0.0002000335490476536,-0.00020612176709898684,-0.00019914534216558877,1.0
6.04814,-0.0001986146381588379,-0.00020065961874570867,-0.00019672995393871581,-0.0002028308036097832,-0.00019574195617384264,1.0
6.212779,-0.00019525663346402528,-0.00019716391188960482,-0.00019340337707404143,-0.00019947919755338066,-0.00019226413464860185,1.0
6.381065,-0.00019170269036122294,-0.0001935415359746603,-0.00018991639052653422,-0.00019589554371893077,-0.0001886567255381911,1.0
6.546261,-0.00018804386412431433,-0.00018988452280908354,-0.00018628665492732396,-0.00019223457497398477,-0.0001849623113368372,1.0
6.711116,-0.00018420898887041946,-0.00018602236607560352,-0.00018252574839727067,-0.00018836983971686817,-0.00018111649634379996,1.0
6.882581,-0.00018002384647318082,-0.00018175748332042502,-0.00017848179626502348,-0.0001840666920300391,-0.00017693688875486033,1.0
7.047352,-0.00017582923771524897,-0.00017753200758825082,-0.0001743986195665158,-0.00017973171239481773,-0.00017272223842980204,1.0
7.215621,-0.000171342387480236,-0.00017308351603768078,-0.00016980559073460303,-0.00017530361691700197,-0.0001682113655981809,1.0
7.380693,-0.00016676510769461812,-0.00016854204588466056,-0.00016498870019286216,-0.00017079189905517975,-0.0001635141876472197,1.0
7.552203,-0.00016168134746072775,-0.0001635539603964507,-0.00015971251307427263,-0.0001657359606795446,-0.00015837089962343276,1.0
7.716825,-0.00015658788355679036,-0.00015846954246817046,-0.00015444855399776526,-0.00016056529371571786,-0.00015305084719985598,1.0
7.884599,-0.0001510530901908244,-0.00015289378078446267,-0.00014887273343245296,-0.00015500354649739356,-0.0001473724246169765,1.0
8.049626,-0.0001452426406851731,-0.00014706699390906386,-0.00014313881030033246,-0.00014920432111068188,-0.00014147885598968303,1.0
8.214618,-0.00013912682991893053,-0.00014101314083003795,-0.00013714818689698232,-0.0001430990554155953,-0.00013525464330488862,1.0
8.386124,-0.00013251703307925284,-0.0001342740280186505,-0.00013050336577844737,-0.00013634059818209512,-0.0001284377364926951,1.0
8.550826,-0.0001257457207368036,-0.00012751503812282667,-0.0001236954715986142,-0.00012947778581469337,-0.00012148444496524632,1.0
8.719151,-0.00011842100978767163,-0.00012030860059043933,-0.00011618717709381054,-0.0001220387565438071,-0.00011397825881261541,1.0
8.882364,-0.00011089611791104362,-0.00011279654406372626,-0.00010855072364085672,-0.00011436705557228237,-0.00010618203392160236,1.0
9.054309,-0.00010239811698993889,-0.00010433062903457741,-0.00010012794631525188,-0.00010584731159413768,-9.747272502082753e-05,1.0
9.219297,-9.386152773203444e-05,-9.573715727426678e-05,-9.152019513030492e-05,-9.711750919952811e-05,-8.859752273807127e-05,1.0
9.387365,-8.454227921275726e-05,-8.646221856396647e-05,-8.213525154433508e-05,-8.770727980754471e-05,-7.904467083196833e-05,1.0
9.552256,-7.481465532507576e-05,-7.674941909018142e-05,-7.224449023700867e-05,-7.809584945907562e-05,-6.904947290890793e-05,1.0
9.717323,-6.43206634015659e-05,-6.637074824768411e-05,-6.163425688552174e-05,-6.791766806612559e-05,-5.8484963754288876e-05,1.0
9.886015,-5.293070733695883e-05,-5.5121577083307806e-05,-5.016485891905067e-05,-5.680216300843811e-05,-4.6993942176525473e-05,1.0
10.050981,-4.1164520006421536e-05,-4.3579275111710645e-05,-3.840552290202738e-05,-4.517329883937265e-05,-3.507143759164624e-05,1.0
10.22292,-2.8104708552958318e-05,-3.0723127006122576e-05,-2.5263278640463626e-05,-3.225553336406655e-05,-2.189388587761389e-05,1.0
10.387729,-1.4812256861491244e-05,-1.7326279175752628e-05,-1.1826657787817411e-05,-1.902936815498935e-05,-8.449287859064008e-06,1.0
10.555865,-3.2037129299463773e-07,-2.7298053961921013e-06,2.752412777261202e-06,-4.6717656640967395e-06,5.845712267035053e-06,1.0
10.721293,1.4748236213330785e-05,1.22763104087687e-05,1.7954348678762683e-05,1.0414481265596576e-05,2.08816252267927e-05,1.0
10.893177,3.146315798831681e-05,2.8813219178425314e-05,3.479296128565505e-05,2.7144432676419473e-05,3.7394525553544946e-05,1.0
11.058006,4.842993230537718e-05,4.573641122000647e-05,5.1958488743026125e-05,4.4131530824345676e-05,5.4370800905772735e-05,1.0
11.22298,6.664365744217612e-05,6.383480734855144e-05,7.001238076615269e-05,6.217810585931372e-05,7.258480757522427e-05,1.0
11.391581,8.63685688880553e-05,8.35354708582394e-05,8.970072403411313e-05,8.179329036876558e-05,9.236746656399201e-05,1.0
11.556823,0.00010685599499238435,0.00010406969375103307,0.00011025540833081964,0.00010223663954464556,0.0001128633807291437,1.0
11.72646,0.0001292374801483741,0.00012639599976102276,0.00013269871611703505,0.00012449739278963962,0.00013516788509887996,1.0
11.891541,0.00015254150912057837,0.0001495325358053415,0.00015583391676473446,0.00014748758052296875,0.00015826810280015336,1.0
12.059713,0.00017757162889386844,0.0001744240661752263,0.00018093570838283223,0.00017212108467484072,0.000183468303018459,1.0
12.224794,0.00020364120258331274,0.00020046206216068458,0.00020679960144491416,0.00019776601376860484,0.00020962055928602154,1.0
12.396223,0.0002321021870600637,0.00022916638567804077,0.0002354269439691664,0.00022604511904502763,0.00023849195729884828,1.0
12.560846,0.00026110796909787693,0.0002583394974821095,0.00026451327169685487,0.0002548908768634315,0.0002678033477178678,1.0
12.722432,0.00029111989517122876,0.0002884584320154631,0.00029475711213772606,0.0002847654939473648,0.0002981499241213609,1.0
12.894373,0.0003250934788478372,0.0003224845823624621,0.00032904810910453907,0.0003185684943927851,0.0003323036570480091,1.0
13.059955,0.0003597703917464209,0.0003573444870662959,0.00036385896560114337,0.0003529038162206589,0.00036703386029302855,1.0
13.228545,0.0003973678991382475,0.00039482072611033033,0.0004013796710568378,0.00039013416077958327,0.00040449335267347475,1.0
13.394113,0.00043619776704434735,0.000433503876396553,0.00044054698190367175,0.00042894074581439906,0.00044336137281118175,1.0
13.566203,0.0004789938133600766,0.0004760969492373673,0.00048340803185385685,0.00047157386773844813,0.0004860729292052227,1.0
13.731774,0.000522373977045643,0.0005195570209082853,0.000526946042764692,0.0005149823652892579,0.0005293596417232959,1.0
13.900657,0.0005692663458993152,0.0005662435501140256,0.0005738103719374849,0.0005617849297579597,0.0005759350132937493,1.0
14.066082,0.0006175733023054341,0.0006145945247290042,0.0006218655824060405,0.000609830140587477,0.0006240225692805048,1.0
14.231317,0.0006680626725657894,0.0006652731673714594,0.000672438689086879,0.0006598457021842502,0.0006746607668824059,1.0
14.403514,0.0007238994201840853,0.0007205872743932536,0.0007280088586388626,0.0007151420849002451,0.0007303917941045935,1.0
14.568911,0.0007802576358982652,0.0007762775798625974,0.0007841990127836107,0.0007716338869347729,0.0007864146566495574,1.0
14.737701,0.0008406924333837304,0.0008363991636238153,0.0008445518735691609,0.0008314854108315066,0.0008465104593286818,1.0
14.902843,0.0009027678339531891,0.0008982435925536792,0.0009066036897208453,0.0008929679846881365,0.0009080896411824776,1.0
15.07503,0.0009705308867233475,0.0009663862740257552,0.0009741323671546256,0.0009604336177276241,0.0009756936146367067,1.0
15.238966,0.0010381511275249077,0.001034692552194186,0.0010418539906562525,0.001027693449832013,0.0010428616978057558,1.0
15.407782,0.00111110427301199,0.0011082127919451827,0.0011149350103011716,0.0011007028054299762,0.001116033576608543,1.0
15.573269,0.0011862904130861434,0.0011834721716440294,0.0011900001277618025,0.0011756406792096383,0.0011912389014939676,1.0
15.738318,0.0012646405205728154,0.0012622455017178083,0.0012681361229375239,0.0012539350030346444,0.0012703728011413205,1.0
15.910357,0.0013499734670540007,0.0013472998198717219,0.0013537445855317798,0.0013395796948750794,0.0013568318123858192,1.0
16.072412,0.0014338835663172884,0.0014309287829868292,0.0014378370785035556,0.0014246314380668946,0.0014418060145343992,1.0
16.244249,0.0015269974925983965,0.0015233354831104672,0.00153093694089541,0.0015171393943715194,0.0015359018285288264,1.0
16.409765,0.0016204401679538218,0.0016160419587185918,0.0016258372598710752,0.0016109868649809573,0.001631043272504252,1.0
16.578249,0.0017204238992528196,0.0017139148801859861,0.001726261871727144,0.0017088748627550692,0.001732251999695855,1.0
16.743828,0.0018231847104544572,0.001814073980264987,0.0018299953621983955,0.0018081204998804416,0.0018361974113689067,1.0
16.915979,0.0019337826755460074,0.0019222939978932436,0.0019415756608086026,0.0019161507604220631,0.0019495091639751118,1.0
17.081247,0.0020434352173025506,0.0020301796851222974,0.00205332960224464,0.0020241096704863536,0.002063408118658418,1.0
17.250137,0.002159616937892673,0.0021450039173211825,0.0021726790243393433,0.002138607457573902,0.002184258006609422,1.0
17.415123,0.002278048407437852,0.0022610592540063617,0.0022932630709126844,0.0022534018928841806,0.002308087442090739,1.0
17.580709,0.0024017173212118144,0.0023821034444118723,0.0024191215735986597,0.0023721915224765885,0.0024376963532879675,1.0
17.752821,0.0025355099465030582,0.0025131485048903754,0.0025555768358313763,0.00250020330110083,0.002578330780940706,1.0
17.917734,0.0026675567797032856,0.002642621104460504,0.0026920561867328553,0.002626852198657273,0.0027188062600379953,1.0
18.086555,0.0028084986989897016,0.002778872672532931,0.002836300040340733,0.002760869963162961,0.0028677057903206495,1.0
18.251841,0.0029504443760437777,0.0029165011494467446,0.0029822415032012464,0.0028963182010901104,0.0030204676323701894,1.0
18.423885,0.003101952916203605,0.003064572919751973,0.0031397134837969137,0.003041557653785443,0.003186878711133756,1.0
18.589249,0.003253971283613802,0.003212051081653415,0.003295864582891428,0.003185129317024859,0.0033515582121940593,0.975
18.758047,0.0034053677573525273,0.0033658980252313972,0.0034622354903981216,0.0033330555507107107,0.0035259653638142346,0.8375
18.923132,0.0035655647979987307,0.0035213571766854607,0.0036299486610421837,0.003483589615466757,0.003701878000651104,0.775
19.088625,0.0037375029677684897,0.0036884362275111564,0.0038111575509082005,0.003651985723891803,0.003884778786283048,0.675
19.260719,0.003948063891378879,0.0038609990387840232,0.004006363264672529,0.00383829841519142,0.004084904318841806,0.475
19.423079,0.004140941033191587,0.004072166258262902,0.004201915384263624,0.004016043506683609,0.004285207798531625,0.325
19.594746,0.004282716339069061,0.004234088926479123,0.004401538172316196,0.0041975392436634455,0.0044778104958512754,0.225
19.759985,0.004514585680819964,0.004419205980004823,0.004609254396868781,0.004379490591030361,0.0047043869931079904,0.15
19.928885,0.004744961762701064,0.004631395069719506,0.004825395073700704,0.004583243296248847,0.004937864572887207,0.1125
20.094126,0.005023606718607379,0.0048168435436811655,0.005047717376240112,0.004771196662662867,0.005172605594487493,0.0875
20.266346,0.0052653910307108994,0.005169446120688335,0.005332753791620215,0.005047729839398674,0.00542729997108533,0.0625
20.431837,0.005592986989002069,0.005526585874301119,0.005659388103703018,0.005500101293177539,0.005685872684826598,0.025
20.596916,0.005836009899903567,0.005761934855040579,0.005910084944766555,0.005732389469488812,0.005939630330318323,0.025
20.765747,0.006213497642122226,0.006213497642122226,0.006213497642122226,0.006213497642122226,0.006213497642122226,0.0125
20.931101,0.006484478727969147,0.006484478727969147,0.006484478727969147,0.006484478727969147,0.006484478727969147,0.0125
21.103144,,,,,,0.0
21.268089,,,,,,0.0
21.436531,,,,,,0.0
21.602211,,,,,,0.0
21.774487,,,,,,0.0
21.939766,,,,,,0.0
22.104984,,,,,,0.0
22.273512,,,,,,0.0
22.439009,,,,,,0.0
22.61117,,,,,,0.0
22.773279,,,,,,0.0
22.944981,,,,,,0.0
23.110085,,,,,,0.0
23.278877,,,,,,0.0
23.444435,,,,,,0.0
23.609884,,,,,,0.0
23.781599,,,,,,0.0
23.947123,,,,,,0.0
24.115873,,,,,,0.0
24.281239,,,,,,0.0
24.453358,,,,,,0.0
24.61853,,,,,,0.0
24.786577,,,,,,0.0
24.952368,,,,,,0.0
25.117769,,,,,,0.0
25.289785,,,,,,0.0
25.454857,,,,,,0.0
25.623636,,,,,,0.0
25.789108,,,,,,0.0
25.961111,,,,,,0.0
26.123098,,,,,,0.0
26.294825,,,,,,0.0
26.460049,,,,,,0.0
26.625261,,,,,,0.0
26.793472,,,,,,0.0
26.958101,,,,,,0.0
27.129526,,,,,,0.0
27.29472,,,,,,0.0
27.462975,,,,,,0.0
