bias_voltage_v,probe_current_a,ion_current_a,corrected_ion_current_a,electron_current_a,electron_current_smooth_a,dIe_dV_a_per_v,ln_electron_current,semilog_fit_ln_current,semilog_fit_current_a,legacy_total_model_a,semilog_window,legacy_model_valid
-21.000345,-0.000567,-0.0007017557436595245,-0.0006382554970656003,0.00013475574365952444,8.896695069824731e-05,-1.7045829921659245e-06,-8.91204672452309,,2.50669786443195e-11,-0.0007017557185925458,0,1
-9.823626,-0.00047,-0.0005031026691598454,-0.0005388712241235247,3.310266915984545e-05,6.991530558262958e-05,-9.115813100552878e-05,-10.315896639562173,,5.2924945136665896e-09,-0.0005030973766653317,0,1
-9.655531,-0.000468,-0.000500114977641608,-0.0005372361941394721,3.211497764160805e-05,5.436593151051973e-05,-8.367149156070415e-05,-10.346188043452548,,5.736159009089386e-09,-0.000500109241482599,0,1
-9.490572,-0.000466,-0.0004971830248461236,-0.0005356268152712142,3.118302484612364e-05,4.199330306231502e-05,-6.547019611269695e-05,-10.375636686656344,,6.207685622838973e-09,-0.0004971768171605008,0,1
-9.319221,-0.000464,-0.000494137461745844,-0.000533949938150673,3.0137461745843993e-05,3.247189481841268e-05,-4.8859152904405027e-05,-10.409741583778603,,6.7385688480014356e-09,-0.000494130723176996,0,1
-9.15423,-0.000462,-0.0004912049401878827,-0.000532330309533366,2.9204940187882694e-05,2.5476181359209942e-05,-3.55435547216544e-05,-10.441172678483595,,7.292607813148552e-09,-0.0004911976475800695,0,1
-8.986359,-0.000461,-0.00048822123000698476,-0.0005306773362263815,2.7221230006984774e-05,2.0680637265104034e-05,-2.308379470463754e-05,-10.511513374143046,,7.903091963372606e-09,-0.0004882133269150214,0,1
-8.821253,-0.000459,-0.00048528666445887136,-0.0005290465513205023,2.6286664458871373e-05,1.7759737116492197e-05,-1.2937623636200374e-05,-10.546448802172076,,8.553348000141361e-09,-0.0004852781111108712,0,1
-8.64983,-0.000457,-0.0004822398216430183,-0.0005273480359744712,2.5239821643018305e-05,1.6387955493771646e-05,-4.383341302473935e-06,-10.58708758675766,,9.285153160676885e-09,-0.00048223053648985763,0,1
-8.484712,-0.000456,-0.00047930504280897606,-0.0005257068039512801,2.330504280897603e-05,1.6239766977339636e-05,1.8259645514713516e-06,-10.666840791240332,,1.004918112936684e-08,-0.0004792949936278467,0,1
-8.319774,-0.000454,-0.00047637346326386736,-0.0005240622295815437,2.2373463263867382e-05,1.6989646147593292e-05,1.536963090676472e-05,-10.707634977106474,,1.0875139576085531e-08,-0.00047636258812429127,0,1
-8.151892,-0.000452,-0.0004733895575708679,-0.0005223829840952614,2.1389557570867916e-05,2.1419383274959126e-05,9.411541306793716e-06,-10.752607719007768,,1.1785589345529704e-08,-0.00047337777198152236,0,1
-7.986666,-0.00045,-0.00047045285916346547,-0.0005207250179312923,2.0452859163465483e-05,2.021416099765994e-05,-7.161184330956038e-06,-10.797387872853905,,1.2756025209620706e-08,-0.00047044010313825583,0,1
-7.815137,-0.000449,-0.0004674041323219071,-0.000518998200737253,1.840413232190709e-05,1.900952981789727e-05,-7.095628361249567e-06,-10.902935335851915,,1.3848104906107594e-08,-0.000467390284217001,0,1
-7.65058,-0.000446,-0.00046447932460504104,-0.0005173361548244504,1.8479324605041045e-05,1.7830413145173956e-05,-6.862783586698074e-06,-10.898858039764871,,1.498356889504235e-08,-0.000464464341036146,0,1
-7.482308,-0.000445,-0.00046148848711935226,-0.0005156310468893118,1.6488487119352283e-05,1.6727670237080975e-05,-6.578376702960509e-06,-11.012848170941089,,1.6241003020636264e-08,-0.0004614722461163316,0,1
-7.317546,-0.000443,-0.0004585600357678674,-0.0005139560248502112,1.556003576786742e-05,1.563976399260282e-05,-6.826028791720607e-06,-11.070804740510539,,1.7574395986163716e-08,-0.0004585424613718812,0,1
-7.146119,-0.000441,-0.00045551312185670474,-0.0005122074298498893,1.4513121856704755e-05,1.4429799914898544e-05,-6.972018698769889e-06,-11.140457362128416,,1.9078058208644328e-08,-0.0004554940437984961,0,1
