bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-20.999603,,,,,,0.0
-9.824414,-0.0004603218795403086,-0.0004675014660644628,-0.0004510056967248738,-0.0004727246090735309,-0.0004446823321214107,1.0
-9.654933,-0.0004594340339846919,-0.00046648277881386084,-0.00045048177789153826,-0.00047141071403070816,-0.0004442258093024461,1.0
-9.490502,-0.00045883100059241786,-0.00046569073870824447,-0.00044996287068555294,-0.0004701564121863162,-0.0004439380474982948,1.0
-9.318692,-0.0004580237556023614,-0.0004649374696185117,-0.00044940279014736285,-0.0004691116202482486,-0.00044379596722399,1.0
-9.154216,-0.000457085670965937,-0.0004642049660513588,-0.0004488543805464104,-0.0004680933076632856,-0.00044362444671391347,1.0
-8.98793,-0.0004561768310628559,-0.00046343851000051436,-0.00044828598882252715,-0.0004670522938585944,-0.00044343497652266214,1.0
-8.822032,-0.0004554529705702798,-0.0004626583888597224,-0.0004476836105390077,-0.000465998432783451,-0.00044324228452868614,1.0
-8.650489,-0.0004546857805544746,-0.0004617854355691226,-0.0004467970799580979,-0.0004648857788938944,-0.00044272859372324454,1.0
-8.485585,-0.0004539614863412906,-0.0004609127144302354,-0.0004459494535569555,-0.00046380167070810577,-0.0004420501637744119,1.0
-8.320689,-0.0004529805126215475,-0.00046001348785603053,-0.00044509508067608756,-0.000462633560982143,-0.00044135128834377966,1.0
-8.15271,-0.00045216167473914864,-0.00045884792385067637,-0.0004442052889131929,-0.00046135061389319525,-0.0004406162765816809,1.0
-7.987838,-0.00045157846988163263,-0.0004574175571084097,-0.0004435101142318701,-0.0004599519288371775,-0.0004398721441055606,1.0
-7.817072,-0.00045077598082681576,-0.00045592258183991847,-0.00044297877121754974,-0.0004587248465015133,-0.00043907933675799897,1.0
-7.651528,-0.0004500658172267225,-0.00045471644340631414,-0.0004423616395495581,-0.0004576324826724031,-0.0004382957041962298,1.0
-7.483392,-0.00044911094349204465,-0.00045359333943748053,-0.0004414928617943263,-0.00045650344159385987,-0.0004374765791003928,1.0
