bias_voltage_v,probe_current_a,ion_current_a,corrected_ion_current_a,electron_current_a,electron_current_smooth_a,dIe_dV_a_per_v,ln_electron_current,semilog_fit_ln_current,semilog_fit_current_a,legacy_total_model_a,semilog_window,legacy_model_valid
-20.999603,-0.000596,-0.0007720014288663662,-0.0006928494362293113,0.0001760014288663662,0.0001134284709817503,-2.232512435754955e-06,-8.64501844440018,,6.535131460664149e-08,-0.0007719360775517595,0,1
-9.824414,-0.000472,-0.0005142677434767241,-0.0005672346519629753,4.226774347672411e-05,8.847972256733832e-05,-0.00011959542034718594,-10.071486328375135,,1.6156046183180419e-06,-0.000512652138858406,0,1
-9.654933,-0.000481,-0.0005103589986014901,-0.0005651147001502639,2.9358998601490072e-05,6.79089109275285e-05,-0.00011099651578601417,-10.435911462378312,,1.6961423964920607e-06,-0.000508662856204998,0,1
-9.490502,-0.000465,-0.0005065667220124942,-0.0005630502876122079,4.1566722012494214e-05,5.131338974628355e-05,-8.863827984267642e-05,-10.088210662451829,,1.778115668801914e-06,-0.0005047886063436923,0,1
-9.318692,-0.000468,-0.0005026042633474287,-0.0005608851151540214,3.460426334742875e-05,3.829051270756617e-05,-6.767808812720972e-05,-10.271533665357547,,1.8680029691425535e-06,-0.0005007362603782862,0,1
-9.154216,-0.000464,-0.0004988109489222188,-0.0005588045070293874,3.4810948922218824e-05,2.843763349533903e-05,-5.130489405733505e-05,-10.26557859646597,,1.9583074268416623e-06,-0.0004968526414953772,0,1
-8.98793,-0.000465,-0.000494975890418179,-0.0005566930976233812,2.9975890418178978e-05,2.135210579356485e-05,-3.552506543192625e-05,-10.415117152131458,,2.0540443260192503e-06,-0.0004929218460921598,0,1
-8.822032,-0.000469,-0.0004911497803686067,-0.0005545786043765235,2.214978036860671e-05,1.6631283286206325e-05,-2.237261641064622e-05,-10.717682977160813,,2.1542216405746363e-06,-0.000488995558728032,0,1
-8.650489,-0.000459,-0.0004871934795317443,-0.0005523836495017897,2.8193479531744316e-05,1.387251965722611e-05,-1.1590626649709976e-05,-10.47641982903477,,2.2629484132114276e-06,-0.0004849305311185329,0,1
-8.485585,-0.000466,-0.0004833902941309879,-0.0005502653893595893,1.7390294130987898e-05,1.2673168590586917e-05,-3.7655541806792876e-06,-10.95959831594078,,2.3726370962606137e-06,-0.0004810176570347273,0,1
-8.320689,-0.000454,-0.0004795872932344473,-0.0005481390467108427,2.558729323444734e-05,1.2630583770251488e-05,1.4224111177025592e-05,-10.573414687734582,,2.487636850641602e-06,-0.00047709965638380574,0,1
-8.15271,-0.000448,-0.000475713189025734,-0.0005459644336130547,2.7713189025733987e-05,1.7498152642025926e-05,5.582339340541508e-06,-10.493602119975623,,2.610519662255293e-06,-0.0004731026693634787,0,1
-7.987838,-0.000467,-0.0004719107416418409,-0.0005438215870191573,4.910741641840882e-06,1.463270249155994e-05,-1.7343415164742218e-05,-12.224085580346225,,2.7370305324018536e-06,-0.00046917371110943905,0,1
-7.817072,-0.000446,-0.0004679723607769403,-0.0005415931976380417,2.1972360776940317e-05,1.1677480598935606e-05,-1.4902852641279359e-05,-10.725725222768881,,2.874531366677452e-06,-0.00046509782941026284,0,1
