Bias Voltage (V)	Probe Current (A)
-21.000420	-0.000484
-9.823649	-0.000392
-9.655508	-0.000389
-9.490522	-0.000388
-9.319269	-0.000387
-9.154605	-0.000385
-8.986631	-0.000382
-8.821466	-0.000381
-8.649959	-0.000380
-8.484796	-0.000378
-8.319300	-0.000376
-8.152064	-0.000373
-7.987090	-0.000372
-7.815376	-0.000371
-7.650631	-0.000368
-7.482805	-0.000367
-7.317937	-0.000364
-7.146070	-0.000364
-6.984640	-0.000362
-6.819374	-0.000361
-6.648099	-0.000358
-6.483795	-0.000358
-6.314866	-0.000356
-6.149577	-0.000352
-5.978265	-0.000350
-5.813677	-0.000350
-5.645312	-0.000346
-5.480283	-0.000343
-5.315854	-0.000344
-5.143885	-0.000343
-4.979296	-0.000341
-4.810972	-0.000337
-4.646155	-0.000336
-4.474634	-0.000335
-4.309801	-0.000333
-4.141835	-0.000331
-3.977027	-0.000329
-3.811655	-0.000327
-3.643961	-0.000324
-3.478377	-0.000322
-3.307423	-0.000321
-3.142478	-0.000317
-2.974306	-0.000319
-2.808999	-0.000316
-2.637808	-0.000314
-2.473215	-0.000312
-2.308204	-0.000309
-2.140128	-0.000309
-1.974809	-0.000308
-1.803508	-0.000305
-1.638606	-0.000302
-1.470974	-0.000300
-1.305515	-0.000300
-1.133433	-0.000297
-0.968979	-0.000294
-0.804618	-0.000293
-0.636181	-0.000292
-0.471211	-0.000291
-0.303161	-0.000288
-0.138373	-0.000286
0.037606	-0.000283
0.202492	-0.000282
0.370791	-0.000279
0.535647	-0.000277
0.700735	-0.000275
0.871710	-0.000273
1.036473	-0.000271
1.204782	-0.000269
1.369181	-0.000267
1.540995	-0.000266
1.706084	-0.000262
1.874048	-0.000261
2.039007	-0.000258
2.203912	-0.000257
2.375371	-0.000253
2.540583	-0.000252
2.708375	-0.000249
2.873463	-0.000248
3.041133	-0.000245
3.206377	-0.000242
3.378137	-0.000239
3.543047	-0.000237
3.707339	-0.000236
3.875392	-0.000231
4.040630	-0.000229
4.212229	-0.000225
4.376652	-0.000224
4.544732	-0.000219
4.709894	-0.000219
4.881660	-0.000214
5.046454	-0.000211
5.211948	-0.000210
5.379063	-0.000205
5.543925	-0.000201
5.715647	-0.000197
5.880719	-0.000193
6.048507	-0.000190
6.213480	-0.000186
6.381780	-0.000182
6.547127	-0.000177
6.711682	-0.000173
6.883131	-0.000168
7.048005	-0.000164
7.216036	-0.000158
7.381186	-0.000154
7.552989	-0.000148
7.717122	-0.000142
7.885352	-0.000136
8.050188	-0.000130
8.215400	-0.000123
8.386978	-0.000117
8.551539	-0.000111
8.719787	-0.000103
8.882422	-9.532094E-5
9.055025	-8.718506E-5
9.219880	-7.948889E-5
9.388020	-7.019137E-5
9.553174	-6.050018E-5
9.718912	-5.187691E-5
9.886189	-4.146123E-5
10.050939	-3.095091E-5
10.223368	-1.862774E-5
10.387817	-1.005981E-5
10.559330	2.283644E-6
10.659498	9.729665E-6
10.892575	2.843730E-5
11.059405	4.222012E-5
11.222680	5.615048E-5
11.392575	7.033890E-5
11.551324	8.631939E-5
11.727237	0.000100
11.891823	0.000119
12.060398	0.000139
12.225142	0.000156
12.397542	0.000177
12.561039	0.000195
12.724456	0.000216
12.895698	0.000239
13.061155	0.000260
13.229640	0.000287
13.395488	0.000309
13.567372	0.000335
13.731956	0.000363
13.901616	0.000389
14.067492	0.000413
14.231826	0.000450
14.404770	0.000471
14.569514	0.000500
14.740022	0.000529
14.904799	0.000557
15.075370	0.000595
15.241594	0.000626
15.410409	0.000659
15.576393	0.000685
15.741390	0.000712
15.913230	0.000752
16.073399	0.000783
16.240578	0.000814
16.394899	0.000839
16.528111	0.000864
16.664513	0.000887
16.917372	0.000899
16.973204	0.000896
17.051514	0.000903
17.133747	0.000918
17.198999	0.000926
17.240328	0.000935
17.324930	0.000939
18.087688	0.001117
18.252958	0.001142
18.424515	0.001175
18.589956	0.001212
18.758528	0.001230
18.924511	0.001278
19.089230	0.001294
19.263317	0.001318
19.424480	0.001352
19.595646	0.001378
19.760803	0.001414
19.930674	0.001437
20.095234	0.001468
20.267021	0.001498
20.432354	0.001514
20.596470	0.001541
20.766195	0.001568
20.931976	0.001587
21.102999	0.001607
21.267946	0.001649
21.436789	0.001661
21.604206	0.001684
21.775913	0.001716
21.940348	0.001748
22.106382	0.001762
22.274185	0.001775
22.439852	0.001796
22.612133	0.001820
22.773279	0.001839
22.945847	0.001867
23.110367	0.001885
23.279175	0.001893
23.446184	0.001914
23.611313	0.001937
23.782230	0.001961
23.947226	0.001983
24.114071	0.001996
24.282551	0.002014
24.453932	0.002047
24.619400	0.002046
24.787210	0.002060
24.953180	0.002092
25.119722	0.002101
25.289818	0.002134
25.454971	0.002135
25.624874	0.002160
25.789511	0.002159
25.962990	0.002201
26.124407	0.002192
26.295355	0.002214
26.460123	0.002226
26.625000	0.002246
26.793476	0.002271
26.958557	0.002292
27.130156	0.002285
27.296726	0.002292
27.464376	0.002322
27.626936	0.002325
27.797411	0.002345
27.964504	0.002366
28.129963	0.002378
28.298962	0.002385
28.460285	0.002405
28.633312	0.002416
28.797552	0.002413
28.966621	0.002446
29.132151	0.002460
29.298826	0.002466
29.464937	0.002470
29.628838	0.002479
29.800791	0.002511
29.964329	0.002502
30.132200	0.002535
30.297235	0.002552
30.471493	0.002529
30.636206	0.002551
30.803650	0.002563
30.968616	0.002581
31.134216	0.002585
31.305235	0.002598
31.468204	0.002608
31.636322	0.002651
31.801085	0.002644
31.973259	0.002656
32.137291	0.002650
32.307983	0.002680
32.473412	0.002701
32.635773	0.002715
32.805950	0.002705
32.971443	0.002713
33.140163	0.002721
33.304371	0.002735
33.471783	0.002741
33.636921	0.002758
33.810329	0.002774
33.973572	0.002787
34.141647	0.002798
34.310490	0.002802
34.472794	0.002817
34.643452	0.002838
34.808212	0.002831
34.976051	0.002859
35.140411	0.002848
35.313042	0.002858
35.478024	0.002876
35.643539	0.002891
35.810726	0.002896
35.978691	0.002919
36.142269	0.002934
36.310684	0.002960
36.480968	0.002958
36.646534	0.002967
36.813911	0.002983
36.979565	0.002987
37.145054	0.002995
37.316250	0.003026
37.479568	0.003040
37.649849	0.003028
37.813171	0.003046
37.985294	0.003067
38.149826	0.003089
38.317772	0.003098
38.484280	0.003088
38.647999	0.003116
38.818283	0.003125
38.982304	0.003163
39.149216	0.003139
39.317829	0.003156
39.486732	0.003187
39.648209	0.003171
39.822784	0.003204
39.985889	0.003203
