Bias Voltage (V)	Probe Current (A)
-21.000391	-0.000231
-9.824638	-0.000195
-9.656476	-0.000193
-9.491567	-0.000192
-9.320322	-0.000191
-9.155389	-0.000191
-8.987263	-0.000190
-8.822338	-0.000190
-8.650893	-0.000189
-8.485725	-0.000189
-8.320868	-0.000187
-8.152965	-0.000187
-7.987916	-0.000187
-7.816406	-0.000186
-7.651836	-0.000185
-7.483679	-0.000185
-7.319030	-0.000184
-7.147474	-0.000183
-6.985829	-0.000183
-6.820722	-0.000181
-6.649246	-0.000181
-6.484791	-0.000181
-6.316351	-0.000180
-6.151286	-0.000179
-5.979973	-0.000179
-5.815135	-0.000178
-5.647239	-0.000178
-5.482221	-0.000176
-5.317238	-0.000176
-5.145544	-0.000176
-4.981178	-0.000174
-4.812771	-0.000174
-4.647876	-0.000173
-4.476276	-0.000172
-4.311578	-0.000172
-4.143747	-0.000171
-3.978819	-0.000170
-3.813678	-0.000169
-3.645442	-0.000169
-3.480525	-0.000168
-3.309292	-0.000167
-3.144389	-0.000165
-2.976281	-0.000166
-2.811077	-0.000165
-2.639760	-0.000164
-2.475383	-0.000163
-2.310318	-0.000163
-2.141992	-0.000161
-1.977039	-0.000160
-1.805540	-0.000160
-1.640890	-0.000159
-1.472644	-0.000158
-1.307548	-0.000157
-1.136039	-0.000156
-0.971288	-0.000155
-0.806993	-0.000155
-0.638554	-0.000153
-0.473630	-0.000152
-0.305263	-0.000151
-0.140623	-0.000150
0.037690	-0.000149
0.202245	-0.000149
0.370629	-0.000147
0.535002	-0.000146
0.700063	-0.000145
0.871497	-0.000144
1.036215	-0.000143
1.204386	-0.000142
1.369022	-0.000140
1.540515	-0.000140
1.705506	-0.000138
1.873768	-0.000137
2.038719	-0.000136
2.203264	-0.000135
2.374797	-0.000134
2.539790	-0.000132
2.707646	-0.000131
2.872597	-0.000130
3.040422	-0.000128
3.205494	-0.000127
3.377304	-0.000126
3.542029	-0.000125
3.706717	-0.000123
3.874868	-0.000122
4.039713	-0.000120
4.211282	-0.000118
4.375786	-0.000117
4.543766	-0.000115
4.708634	-0.000114
4.880207	-0.000112
5.045373	-0.000109
5.210280	-0.000108
5.377971	-0.000105
5.542966	-0.000104
5.714552	-0.000101
5.878255	-9.917773E-5
6.046240	-9.683226E-5
6.210464	-9.458129E-5
6.379140	-9.177361E-5
6.544323	-8.931123E-5
6.709133	-8.613446E-5
6.880612	-8.332199E-5
7.045319	-7.989071E-5
7.213764	-7.694661E-5
7.378345	-7.372754E-5
7.550076	-6.971313E-5
7.714957	-6.600391E-5
7.882820	-6.176232E-5
8.047340	-5.740072E-5
8.213278	-5.230292E-5
8.384267	-4.767529E-5
8.548959	-4.251415E-5
8.717252	-3.661574E-5
8.882835	-3.060900E-5
9.053863	-2.391311E-5
9.219326	-1.658869E-5
9.387545	-1.021617E-5
9.552658	-2.015613E-6
9.718900	7.137321E-6
9.885992	1.564934E-5
10.051056	2.586882E-5
10.222661	3.925450E-5
10.387157	5.258159E-5
10.555822	6.762693E-5
10.721294	8.203358E-5
10.890558	0.000102
11.055931	0.000114
11.220525	0.000135
11.388885	0.000162
11.553700	0.000189
11.725734	0.000220
11.890170	0.000255
12.058405	0.000294
12.224226	0.000329
12.394958	0.000384
12.559356	0.000438
12.723307	0.000483
12.894400	0.000544
13.059069	0.000605
13.227634	0.000673
13.393385	0.000736
13.566317	0.000810
13.729840	0.000877
13.895792	0.000944
14.063777	0.000885
14.226133	0.000911
14.401291	0.000897
14.566190	0.001010
14.735932	0.001113
14.900532	0.001204
15.072513	0.001286
15.238057	0.001367
15.406998	0.001448
15.572330	0.001483
15.738217	0.001557
15.909556	0.001625
16.072594	0.001655
16.243494	0.001727
16.408253	0.001779
16.577049	0.001812
16.741632	0.001841
16.916035	0.001911
17.080639	0.001935
17.250576	0.001973
17.413971	0.002013
17.580069	0.002028
17.752279	0.002079
17.917824	0.002097
18.085608	0.002130
18.251234	0.002155
18.423426	0.002203
18.590130	0.002224
18.757925	0.002246
18.923473	0.002265
19.087805	0.002317
19.261566	0.002340
19.422638	0.002350
19.594555	0.002356
19.761084	0.002387
19.928671	0.002436
20.093122	0.002443
20.265270	0.002475
20.430204	0.002485
20.597652	0.002490
20.764948	0.002541
20.929796	0.002556
21.100557	0.002563
21.268799	0.002576
21.433716	0.002585
21.603762	0.002612
21.774666	0.002634
21.940119	0.002662
22.104898	0.002661
22.273146	0.002711
22.438719	0.002716
22.610651	0.002734
22.774569	0.002749
22.945343	0.002766
23.110085	0.002784
23.277040	0.002789
23.443178	0.002799
23.610319	0.002819
23.781239	0.002841
23.945137	0.002860
24.115734	0.002869
24.282160	0.002874
24.453094	0.002932
24.618200	0.002924
24.787157	0.002931
24.953087	0.002944
25.118473	0.002975
25.290417	0.002966
25.456703	0.002988
25.625971	0.003014
25.789253	0.003021
25.962248	0.003042
26.124086	0.003058
26.295864	0.003103
26.460535	0.003092
26.624722	0.003110
26.793957	0.003094
26.958372	0.003112
27.129116	0.003161
27.295803	0.003168
27.461393	0.003165
27.627600	0.003223
27.799950	0.003203
27.964647	0.003208
28.128614	0.003253
28.295992	0.003249
28.461084	0.003267
28.634113	0.003285
28.797798	0.003311
28.966448	0.003337
29.132023	0.003330
29.300570	0.003356
29.462107	0.003355
29.629263	0.003366
29.801720	0.003429
29.965120	0.003418
30.131248	0.003425
30.297520	0.003441
30.468651	0.003456
30.633999	0.003492
30.803251	0.003524
30.965891	0.003494
31.133579	0.003527
31.304348	0.003562
31.469763	0.003568
31.635235	0.003578
31.801859	0.003590
31.972071	0.003629
32.137611	0.003662
32.305859	0.003680
32.472507	0.003682
32.636005	0.003715
32.803383	0.003728
32.966515	0.003735
33.140690	0.003744
33.306213	0.003769
33.472927	0.003783
33.639870	0.003821
33.808277	0.003851
33.975742	0.003841
34.139683	0.003880
34.305664	0.003897
34.472145	0.003922
34.644520	0.003918
34.808929	0.003962
34.976696	0.003988
35.141933	0.004013
35.314739	0.004037
35.478420	0.004043
35.642696	0.004062
35.809456	0.004092
35.977253	0.004115
36.144184	0.004140
36.308643	0.004168
36.481094	0.004197
36.645950	0.004184
36.811398	0.004228
36.977833	0.004243
37.141209	0.004264
37.314701	0.004297
37.478954	0.004317
37.648979	0.004337
37.812881	0.004346
37.984241	0.004386
38.148136	0.004440
38.316353	0.004423
38.481518	0.004445
38.645172	0.004480
38.817844	0.004504
38.981602	0.004505
39.152390	0.004519
39.314438	0.004556
39.482380	0.004592
39.646362	0.004619
39.821018	0.004632
39.983837	0.004658
