Bias Voltage (V)	Probe Current (A)
-21.000235	-0.001205
-9.824697	-0.000943
-9.656737	-0.000939
-9.491549	-0.000933
-9.320312	-0.000928
-9.155296	-0.000923
-8.987243	-0.000918
-8.822443	-0.000913
-8.650835	-0.000908
-8.485763	-0.000902
-8.320636	-0.000898
-8.152733	-0.000892
-7.987727	-0.000887
-7.816158	-0.000882
-7.651423	-0.000877
-7.483246	-0.000872
-7.318519	-0.000867
-7.147177	-0.000861
-6.985103	-0.000856
-6.820083	-0.000851
-6.648565	-0.000846
-6.483935	-0.000841
-6.315534	-0.000835
-6.150573	-0.000830
-5.979055	-0.000825
-5.814312	-0.000820
-5.646239	-0.000814
-5.481241	-0.000809
-5.316211	-0.000804
-5.144527	-0.000798
-4.979907	-0.000792
-4.811636	-0.000787
-4.646537	-0.000782
-4.474973	-0.000777
-4.310310	-0.000771
-4.142355	-0.000765
-3.977365	-0.000761
-3.812369	-0.000756
-3.644047	-0.000750
-3.479068	-0.000744
-3.307838	-0.000739
-3.142891	-0.000733
-2.974529	-0.000727
-2.809299	-0.000722
-2.638103	-0.000716
-2.473509	-0.000710
-2.308481	-0.000705
-2.140179	-0.000699
-1.975182	-0.000694
-1.803609	-0.000688
-1.638803	-0.000683
-1.470684	-0.000676
-1.305625	-0.000671
-1.133942	-0.000665
-0.969136	-0.000659
-0.804685	-0.000653
-0.636384	-0.000649
-0.471396	-0.000645
-0.303024	-0.000640
-0.138280	-0.000635
0.037028	-0.000629
0.201881	-0.000624
0.370279	-0.000619
0.534797	-0.000613
0.699954	-0.000607
0.871431	-0.000601
1.036162	-0.000596
1.204317	-0.000590
1.368937	-0.000584
1.540627	-0.000569
1.705632	-0.000565
1.873827	-0.000559
2.038924	-0.000553
2.203491	-0.000547
2.375133	-0.000541
2.540075	-0.000535
2.708067	-0.000529
2.872971	-0.000522
3.041012	-0.000516
3.205966	-0.000509
3.377668	-0.000503
3.542541	-0.000496
3.707211	-0.000489
3.875498	-0.000482
4.040442	-0.000475
4.212039	-0.000468
4.376601	-0.000461
4.544436	-0.000454
4.709589	-0.000447
4.881066	-0.000439
5.046190	-0.000432
5.211096	-0.000424
5.379047	-0.000416
5.544071	-0.000409
5.715626	-0.000401
5.880675	-0.000392
6.048625	-0.000384
6.213388	-0.000376
6.381601	-0.000367
6.546741	-0.000358
6.711745	-0.000349
6.883149	-0.000339
7.048050	-0.000330
7.216201	-0.000320
7.381434	-0.000311
7.552822	-0.000301
7.717467	-0.000290
7.885384	-0.000279
8.050471	-0.000269
8.215536	-0.000258
8.387114	-0.000246
8.551673	-0.000235
8.720010	-0.000222
8.885015	-0.000209
9.056715	-0.000197
9.221644	-0.000183
9.389503	-0.000170
9.554024	-0.000156
9.719353	-0.000142
9.887462	-0.000126
10.052582	-0.000110
10.223709	-9.798420E-5
10.387384	-8.249182E-5
10.556561	-6.379637E-5
10.721272	-4.638524E-5
10.893778	-2.743196E-5
11.058933	-1.234579E-5
11.220615	6.317717E-6
11.390926	2.470809E-5
11.557126	4.616549E-5
11.728400	7.053352E-5
11.894321	9.319961E-5
12.060871	0.000113
12.226068	0.000137
12.397568	0.000163
12.562338	0.000188
12.724101	0.000215
12.895598	0.000246
13.061275	0.000275
13.229984	0.000307
13.395349	0.000342
13.567450	0.000376
13.732999	0.000411
13.901644	0.000450
14.067204	0.000489
14.232244	0.000531
14.404451	0.000575
14.569868	0.000616
14.738677	0.000667
14.903728	0.000718
15.075881	0.000771
15.241508	0.000824
15.410277	0.000882
15.576120	0.000940
15.741205	0.001004
15.911500	0.001006
16.073608	0.001081
16.245373	0.001154
16.410917	0.001232
16.579378	0.001306
16.744766	0.001377
16.917006	0.001455
17.082245	0.001534
17.251173	0.001613
17.416180	0.001686
17.581806	0.001770
17.753817	0.001860
17.918812	0.001921
18.087551	0.002010
18.252718	0.002093
18.424807	0.002161
18.590469	0.002238
18.759008	0.002319
18.924227	0.002379
19.089691	0.002456
19.261791	0.002522
19.423918	0.002597
19.595711	0.002667
19.760868	0.002732
19.929567	0.002802
20.094940	0.002861
20.267153	0.002933
20.432472	0.003004
20.597946	0.003048
20.766541	0.003116
20.931997	0.003163
21.104126	0.003222
21.269091	0.003289
21.437424	0.003342
21.603159	0.003369
21.774982	0.003454
21.940672	0.003509
22.105835	0.003553
22.274443	0.003610
22.439661	0.003669
22.611967	0.003688
22.774139	0.003748
22.945759	0.003806
23.110842	0.003838
23.279287	0.003889
23.445196	0.003916
23.610682	0.003970
23.782005	0.004009
23.947617	0.004059
24.116457	0.004082
24.281792	0.004123
24.454180	0.004183
24.619066	0.004203
24.787348	0.004242
24.952604	0.004283
25.118553	0.004327
25.290152	0.004366
25.455469	0.004399
25.624235	0.004439
25.789864	0.004487
25.962038	0.004500
26.123646	0.004525
26.295649	0.004575
26.460781	0.004607
26.625916	0.004653
26.794085	0.004678
26.958782	0.004694
27.130371	0.004744
27.295246	0.004782
27.463696	0.004811
27.628658	0.004850
27.799816	0.004880
27.964821	0.004928
28.129421	0.004943
28.297850	0.004978
28.462917	0.005003
28.633789	0.005048
28.798891	0.005060
28.967077	0.005091
29.132139	0.005135
29.300291	0.005144
29.464993	0.005188
29.629639	0.005204
29.801197	0.005248
29.966526	0.005292
30.134121	0.005318
30.299242	0.005342
30.470667	0.005376
30.635941	0.005419
30.804049	0.005433
30.968853	0.005464
31.133900	0.005471
31.305340	0.005529
31.470156	0.005551
31.638203	0.005589
31.802811	0.005593
31.974709	0.005637
32.139542	0.005672
32.307697	0.005690
32.472874	0.005738
32.637363	0.005755
32.805599	0.005795
32.970753	0.005830
33.141800	0.005867
33.306808	0.005892
33.474854	0.005924
33.640045	0.005951
33.811440	0.006005
33.976452	0.006014
34.141258	0.006085
34.309334	0.006095
34.474758	0.006133
34.646000	0.006165
34.810547	0.006192
34.978550	0.006218
35.143574	0.006255
35.315319	0.006283
35.480347	0.006321
35.645073	0.006349
35.813126	0.006374
35.977928	0.006398
36.146263	0.006445
36.311474	0.006469
36.482658	0.006491
36.647266	0.006534
36.815609	0.006562
36.980553	0.006592
37.145279	0.006628
37.317017	0.006682
37.481972	0.006670
37.650253	0.006740
37.815033	0.006758
37.986732	0.006789
38.151291	0.006820
38.318958	0.006869
38.484058	0.006900
38.648972	0.006925
38.820446	0.006966
38.985023	0.007002
39.153549	0.007010
39.319008	0.007056
39.487064	0.007080
39.651726	0.007103
39.822968	0.007158
39.988514	0.007176
