Bias Voltage (V)	Probe Current (A)
-21.000607	-0.000619
-9.824518	-0.000490
-9.655268	-0.000489
-9.490798	-0.000489
-9.319905	-0.000485
-9.154963	-0.000485
-8.987119	-0.000468
-8.822010	-0.000484
-8.650618	-0.000464
-8.485548	-0.000477
-8.320951	-0.000487
-8.152939	-0.000466
-7.987851	-0.000467
-7.815532	-0.000467
-7.651787	-0.000450
-7.484020	-0.000473
-7.318838	-0.000463
-7.147948	-0.000454
-6.985595	-0.000453
-6.820594	-0.000470
-6.649007	-0.000448
-6.484790	-0.000459
-6.316916	-0.000460
-6.151741	-0.000441
-5.978767	-0.000449
-5.815126	-0.000439
-5.646760	-0.000438
-5.483020	-0.000438
-5.317944	-0.000434
-5.145318	-0.000431
-4.981376	-0.000423
-4.813667	-0.000419
-4.647001	-0.000422
-4.476842	-0.000425
-4.310641	-0.000414
-4.143813	-0.000410
-3.977855	-0.000420
-3.814956	-0.000411
-3.645361	-0.000401
-3.481251	-0.000410
-3.308608	-0.000413
-3.144454	-0.000382
-2.976245	-0.000404
-2.810767	-0.000392
-2.640523	-0.000393
-2.474443	-0.000389
-2.310322	-0.000382
-2.142024	-0.000380
-1.977090	-0.000369
-1.805723	-0.000383
-1.640870	-0.000371
-1.472594	-0.000362
-1.307680	-0.000367
-1.136192	-0.000363
-0.971510	-0.000348
-0.807682	-0.000350
-0.639577	-0.000345
-0.473580	-0.000340
-0.304796	-0.000340
-0.140257	-0.000329
0.036548	-0.000337
0.202339	-0.000327
0.370744	-0.000319
0.535309	-0.000318
0.700046	-0.000313
0.871510	-0.000303
1.036005	-0.000305
1.204602	-0.000295
1.368063	-0.000289
1.539871	-0.000288
1.704873	-0.000269
1.873369	-0.000270
2.039372	-0.000267
2.203361	-0.000257
2.375636	-0.000257
2.539955	-0.000254
2.708109	-0.000237
2.873252	-0.000235
3.040460	-0.000214
3.205472	-0.000213
3.377556	-0.000208
3.542623	-0.000198
3.706266	-0.000189
3.874035	-0.000177
4.040576	-0.000175
4.211798	-0.000159
4.375551	-0.000149
4.543505	-0.000138
4.708487	-0.000128
4.880949	-0.000115
5.044396	-0.000106
5.208148	-9.593670E-5
5.377858	-7.447600E-5
5.543782	-6.873273E-5
5.713096	-5.519371E-5
5.878326	-4.372811E-5
6.052924	-2.603355E-5
6.216297	-2.012500E-5
6.369089	3.721895E-6
6.543776	6.376576E-6
6.678360	2.220700E-5
6.840446	4.433747E-5
6.960255	5.657647E-5
7.091735	6.943339E-5
7.378593	9.808705E-5
7.552689	0.000111
7.716159	0.000134
7.884199	0.000150
8.048707	0.000177
8.213699	0.000202
8.385262	0.000226
8.550468	0.000231
8.717959	0.000257
8.883447	0.000290
9.055028	0.000315
9.218851	0.000331
9.386767	0.000369
9.552741	0.000391
9.717819	0.000420
9.883335	0.000440
10.050782	0.000453
10.222456	0.000494
10.389964	0.000520
10.555436	0.000525
10.720067	0.000558
10.890216	0.000603
11.054874	0.000675
11.221250	0.000672
11.385322	0.000693
11.551078	0.000705
11.704948	0.000706
11.877915	0.000738
12.030615	0.000767
12.209537	0.000778
12.393737	0.000760
12.545532	0.000749
12.707765	0.000812
12.809090	0.000811
13.021959	0.000849
13.196283	0.000876
13.311443	0.000888
13.465263	0.000902
13.608107	0.000932
13.897253	0.000940
13.930631	0.000887
14.094237	0.000919
14.400130	0.000973
14.565617	0.000919
14.734356	0.000912
14.899585	0.001005
15.071524	0.000984
15.081021	0.000915
15.235188	0.000970
15.571093	0.001036
15.736593	0.001097
15.908891	0.001093
16.070770	0.001156
16.242327	0.001173
16.407928	0.001185
16.576239	0.001196
16.742281	0.001258
16.914143	0.001286
17.079821	0.001274
17.248434	0.001311
17.413462	0.001344
17.579096	0.001350
17.751638	0.001331
17.915953	0.001462
18.084814	0.001370
18.249743	0.001421
18.421829	0.001436
18.587849	0.001536
18.756369	0.001442
18.921335	0.001485
19.087545	0.001551
19.258724	0.001551
19.421642	0.001545
19.593468	0.001626
19.757904	0.001634
19.927256	0.001649
20.092443	0.001674
20.265095	0.001622
20.430546	0.001693
20.596214	0.001627
20.764826	0.001682
20.929462	0.001704
21.101267	0.001778
21.267488	0.001742
21.435175	0.001773
21.600929	0.001789
21.772940	0.001944
21.938429	0.001815
22.103294	0.001815
22.272711	0.001832
22.437675	0.001875
22.609936	0.001968
22.771812	0.001985
22.944052	0.001941
23.109156	0.002063
23.278114	0.002033
23.442720	0.002029
23.608644	0.002100
23.780058	0.002062
23.946054	0.002121
24.115335	0.002083
24.280621	0.002132
24.451910	0.002155
24.617308	0.002190
24.785898	0.002070
24.951080	0.002159
25.117210	0.002174
25.289282	0.002156
25.454752	0.002213
25.623518	0.002329
25.789511	0.002233
25.961161	0.002202
26.122402	0.002323
26.294849	0.002389
26.459774	0.002329
26.623781	0.002311
26.791895	0.002364
26.956850	0.002381
27.128082	0.002340
27.292660	0.002236
27.462179	0.002425
27.626944	0.002368
27.798279	0.002265
27.964287	0.002286
28.128222	0.002399
28.295275	0.002310
28.460835	0.002345
28.631908	0.002402
28.797415	0.002446
28.965517	0.002446
29.130323	0.002411
29.298450	0.002515
29.463381	0.002487
29.628092	0.002579
29.798670	0.002524
29.963240	0.002551
30.130774	0.002632
30.296200	0.002500
30.468414	0.002581
30.633701	0.002556
30.801937	0.002597
30.965792	0.002609
31.131378	0.002614
31.302397	0.002794
31.467489	0.002757
31.634619	0.002761
31.799948	0.002737
31.972960	0.002750
32.136417	0.002729
32.304966	0.002758
32.469894	0.002657
32.634113	0.002788
32.802631	0.002797
32.968052	0.002714
33.139996	0.002771
33.303715	0.002868
33.471123	0.002886
33.636879	0.002913
33.808411	0.002930
33.973240	0.002908
34.137825	0.002907
34.305412	0.002750
34.471638	0.002789
34.641811	0.003017
34.807102	0.002886
34.974010	0.003062
35.140774	0.002989
35.312759	0.002965
35.476696	0.003036
35.640850	0.003096
35.809216	0.003069
35.974506	0.002977
36.142155	0.003094
36.306999	0.002997
36.478756	0.003112
36.642071	0.002999
36.811188	0.002987
36.976753	0.003104
37.141430	0.003141
37.312870	0.003051
37.477730	0.003098
37.646271	0.003134
37.810635	0.003140
37.982922	0.003128
38.147121	0.003076
38.314301	0.003158
38.479630	0.003136
38.642620	0.003167
38.814995	0.002965
38.980526	0.003222
39.147240	0.003196
39.313725	0.003229
39.481930	0.003150
39.646759	0.003260
39.818024	0.003170
39.982468	0.003222
