energy_ev,eedf_m3_ev_median,eedf_m3_ev_q16,eedf_m3_ev_q84,eedf_m3_ev_q2.25,eedf_m3_ev_q97.75,eedf_m3_ev_valid_fraction
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.11477656637669814,6574029422211436.0,5942122657289825.0,7232408249717336.0,5764127201604258.0,1.0079836655968774e+16,1.0
0.22955313275339628,9296445734836800.0,8403022619057491.0,1.022241359453634e+16,8150888202005439.0,1.4245237871735406e+16,1.0
0.3443296991300944,1.1383967638731044e+16,1.0290309340453574e+16,1.250693911509095e+16,9980457420706948.0,1.74259844583515e+16,1.0
0.45910626550679257,1.3141417339980856e+16,1.187956876810057e+16,1.4419558946437028e+16,1.1519825844052488e+16,2.0087314683634188e+16,1.0
0.5738828318834908,1.4689075051841908e+16,1.3277067561733968e+16,1.6088129839290592e+16,1.2871760488743892e+16,2.2407829899008176e+16,1.0
0.6886593982601888,1.6086112977174568e+16,1.4536886013254224e+16,1.7577274986928518e+16,1.4088428655139434e+16,2.447804350091081e+16,1.0
0.8034359646368869,1.7367607758557368e+16,1.5690774794773442e+16,1.8924674567639116e+16,1.5200359876155516e+16,2.635094130321604e+16,1.0
0.9182125310135851,1.855637774388425e+16,1.6759080854460054e+16,2.019083329264702e+16,1.6227044255568592e+16,2.8060460694101984e+16,1.0
1.0329890973902833,1.966802729261049e+16,1.7755625984738618e+16,2.1378286503184904e+16,1.718166483899558e+16,2.9629728862005544e+16,1.0
1.1477656637669815,2.0713688298522856e+16,1.8690187450057868e+16,2.248847216811665e+16,1.8073504051671428e+16,3.107524345121636e+16,1.0
1.2625422301436795,2.1701548895344252e+16,1.9569881943977868e+16,2.3530064794973732e+16,1.8909286449037332e+16,3.2409199128804804e+16,1.0
1.3773187965203777,2.261057877301011e+16,2.0399993823524824e+16,2.450956631594299e+16,1.9693982483551852e+16,3.3640875419007788e+16,1.0
1.492095362897076,2.34659874410516e+16,2.1184498960452136e+16,2.5431936020834064e+16,2.0431317063225308e+16,3.4777510760358216e+16,1.0
1.6068719292737739,2.427256662433572e+16,2.1926411349866984e+16,2.630100659925704e+16,2.112410620310339e+16,3.5824877554513372e+16,1.0
1.721648495650472,2.5033004336020504e+16,2.262802127118417e+16,2.7129827162064124e+16,2.1774488476796784e+16,3.678767430211503e+16,1.0
1.8364250620271703,2.574939508830804e+16,2.3302959608775356e+16,2.7934192331949256e+16,2.2384089387705044e+16,3.766980111449076e+16,1.0
1.9512016284038685,2.6423375637876896e+16,2.394299753495221e+16,2.869616725254451e+16,2.295414145572728e+16,3.847455821429907e+16,1.0
2.0659781947805667,2.705622618810657e+16,2.4548769813720268e+16,2.941715778032766e+16,2.3485574183591188e+16,3.9204792026586264e+16,1.0
2.1807547611572646,2.7648947478633384e+16,2.5121044738919148e+16,3.0098250084198596e+16,2.3979082995844956e+16,3.986300465203788e+16,1.0
2.295531327533963,2.820232065408203e+16,2.566036926038555e+16,3.074027498292426e+16,2.443518315441314e+16,4.045143715434392e+16,1.0
2.410307893910661,2.8716954579746756e+16,2.616711242062306e+16,3.134385882811399e+16,2.4854252712552196e+16,4.097213372880559e+16,1.0
2.525084460287359,2.9179900056443656e+16,2.6641500565160056e+16,3.190946442136019e+16,2.5236567313842176e+16,4.142699164809622e+16,1.0
2.6398610266640574,2.9561173435239812e+16,2.7083494945083704e+16,3.2437424427997636e+16,2.5582328811469948e+16,4.1817800445580056e+16,1.0
2.7546375930407554,2.988996805734352e+16,2.747802828344759e+16,3.2916439136127944e+16,2.5891689120262656e+16,4.214627282673394e+16,1.0
2.8694141594174534,3.0134133971932364e+16,2.783924811445834e+16,3.324409264922407e+16,2.616477032546612e+16,4.2414069131134456e+16,1.0
2.984190725794152,3.0343117249687012e+16,2.8167109042610076e+16,3.352815297506609e+16,2.640168179943488e+16,4.2622816699166664e+16,1.0
3.0989672921708498,3.0725750053153176e+16,2.8461536806766116e+16,3.376918940609529e+16,2.6602534882803412e+16,4.2774125164116856e+16,1.0
3.2137438585475477,3.1077192682811364e+16,2.87224418424717e+16,3.402805450517072e+16,2.6767455546009256e+16,4.28695984493924e+16,1.0
3.328520424924246,3.139726828989394e+16,2.894973129143316e+16,3.4368808181433788e+16,2.6896595344101396e+16,4.29108440742716e+16,1.0
3.443296991300944,3.1685782610771096e+16,2.914331970892926e+16,3.469191418511425e+16,2.699014090170912e+16,4.289948024095808e+16,1.0
3.5580735576776426,3.1942533796875868e+16,2.926223553433598e+16,3.4982056819558732e+16,2.7048322108404104e+16,4.2837141077866376e+16,1.0
3.6728501240543405,3.216732136918114e+16,2.931292961593357e+16,3.5264622773526496e+16,2.7071419162270564e+16,4.2725480340015e+16,1.0
3.7876266904310385,3.2359954420873732e+16,2.9327629088907464e+16,3.5527147124630652e+16,2.7059768567640812e+16,4.256617381081703e+16,1.0
3.902403256807737,3.252025916233636e+16,2.927376744885214e+16,3.5758029071537976e+16,2.7013768169036116e+16,4.236092060592085e+16,1.0
4.017179823184435,3.2648085879392164e+16,2.9159083909744896e+16,3.5873716871637588e+16,2.693388128547703e+16,4.211144354580414e+16,1.0
4.131956389561133,3.274331535750266e+16,2.89342909612478e+16,3.5919813335338916e+16,2.6820639996100164e+16,4.181948873718373e+16,1.0
4.246732955937831,3.280586481014457e+16,2.878895277652528e+16,3.595081985983349e+16,2.6674647618404124e+16,4.1486824482219304e+16,1.0
4.361509522314529,3.2835693338113812e+16,2.865751838732788e+16,3.5978845290385236e+16,2.6496580413665496e+16,4.111523961765736e+16,1.0
4.476286088691228,3.2832806937410964e+16,2.8482742608278668e+16,3.5972910129996344e+16,2.6287188549520804e+16,4.070654137250229e+16,1.0
4.591062655067926,3.272882578672122e+16,2.824609544158032e+16,3.5933230094656824e+16,2.604729634693901e+16,4.02625528217767e+16,1.0
4.705839221444624,3.2524266658178184e+16,2.7978121622395024e+16,3.586007143434347e+16,2.5777801837448852e+16,3.978511000487768e+16,1.0
4.820615787821322,3.229014679472476e+16,2.7679780776105908e+16,3.575375360922809e+16,2.54796756562428e+16,3.935101283069276e+16,1.0
4.9353923541980205,3.2098841965719656e+16,2.735210355844149e+16,3.561465153649409e+16,2.5153959297417684e+16,3.914766921497822e+16,1.0
5.050168920574718,3.187644652016479e+16,2.6996189687272504e+16,3.542529220244037e+16,2.4801762758934284e+16,3.891058151254321e+16,1.0
5.164945486951416,3.1623583224227508e+16,2.6613205403595828e+16,3.5117406584153236e+16,2.4424261606716444e+16,3.86404592665572e+16,1.0
5.279722053328115,3.134093926480868e+16,2.6190065612660652e+16,3.4777616282731216e+16,2.4022693489523144e+16,3.833806261766001e+16,1.0
5.394498619704812,3.10292661730716e+16,2.5738987473142084e+16,3.4406895464934108e+16,2.3598354138688884e+16,3.800420251676418e+16,1.0
5.509275186081511,3.0674777058978224e+16,2.52657933748621e+16,3.4006280215197268e+16,2.315259288942942e+16,3.76397405910729e+16,1.0
5.624051752458209,3.02547011572954e+16,2.4771940886206932e+16,3.3576866571796772e+16,2.26868077630541e+16,3.724558867165314e+16,1.0
5.738828318834907,2.9809318296448e+16,2.425892455578594e+16,3.311980815423326e+16,2.220244015202483e+16,3.68227079909461e+16,1.0
5.853604885211605,2.936212099982693e+16,2.372827041088524e+16,3.2636313402028884e+16,2.1633081114842144e+16,3.637210805892612e+16,1.0
5.968381451588304,2.8907420291148424e+16,2.318153021629209e+16,3.212764244656367e+16,2.1033137497704532e+16,3.5643982437648976e+16,1.0
6.083158017965001,2.842954876786321e+16,2.262027553879757e+16,3.1595103639081156e+16,2.042813378398672e+16,3.4829100686735148e+16,1.0
6.1979345843416995,2.792972284630151e+16,2.202754715491108e+16,3.0966314989455124e+16,1.9819554591237596e+16,3.4125440472864508e+16,1.0
6.312711150718398,2.740920776187608e+16,2.1422260767854584e+16,3.027580733028475e+16,1.9208839217054884e+16,3.370706989734053e+16,1.0
6.4274877170950955,2.686931352739059e+16,2.0809021452123596e+16,2.971635298772823e+16,1.859737822136088e+16,3.3262596383184864e+16,1.0
6.542264283471794,2.6311390576175388e+16,2.018941912110719e+16,2.918146562563555e+16,1.7986510297014256e+16,3.279294773150369e+16,1.0
6.657040849848492,2.5736825118522976e+16,1.9565020907119212e+16,2.8625664680951984e+16,1.737751944121245e+16,3.2299110554897656e+16,1.0
6.771817416225191,2.5147034241967436e+16,1.893736554731241e+16,2.8049752012423508e+16,1.6771632437444026e+16,3.1782128076392148e+16,1.0
