bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000217,,,,,,0.0
-9.823279,-0.00021392030016923472,-0.00021747227667630702,-0.0002117283848447,-0.00022262920376244383,-0.00020893655950905032,1.0
-9.654938,-0.00021277117951587843,-0.00021631605223808558,-0.00021059681214835016,-0.00022135953534466882,-0.00020785911368234489,1.0
-9.48997,-0.00021164508346118658,-0.00021518299473501058,-0.00020948791244731807,-0.00022011530690629956,-0.000206803256326502,1.0
-9.318794,-0.0002104766106770228,-0.00021400729853243038,-0.00020833728314209599,-0.00021882425623485845,-0.000205707665431639,1.0
-9.153762,-0.00020935007774883124,-0.00021287380145512037,-0.00020722795323895867,-0.00021757954509305546,-0.00020465139845168254,1.0
-8.985795,-0.00020820351007498888,-0.00021172014577872813,-0.00020609889453615995,-0.00021631269747347126,-0.00020357634636589098,1.0
-8.82082,-0.000207077366237258,-0.00021058704019718115,-0.00020498994778177213,-0.00021506841623941396,-0.0002025204442074107,1.0
-8.648993,-0.00020590444963046434,-0.00020940687270050302,-0.00020383494251451195,-0.0002137724555689829,-0.00020142068666726705,1.0
-8.484251,-0.00020477989628531836,-0.00020827536744379732,-0.00020272756196466194,-0.000212529931677114,-0.00020036627579657536,1.0
-8.319113,-0.00020365263978539287,-0.00020714114232154774,-0.00020161751953928601,-0.00021128442105774892,-0.00019930933037668066,1.0
-8.151346,-0.00020250743734123714,-0.0002059888603143961,-0.00020048618810342915,-0.00021001908188639508,-0.00019823555836624403,1.0
-7.98636,-0.00020138121841587348,-0.00020485567918075194,-0.00019936161435448637,-0.00020877471768768506,-0.0001971795858036191,1.0
-7.81547,-0.00020021469791016154,-0.0002036819473249892,-0.0001982041626450726,-0.00020748582409721339,-0.00019608582541651354,1.0
-7.650079,-0.00019910394269991299,-0.0002025459845103684,-0.00019710678675631074,-0.00020623840529083673,-0.0001950272607012944,1.0
-7.481764,-0.00019797524461399256,-0.00020138993864816823,-0.00019610623821369682,-0.00020496893297133146,-0.0001939499812843845,1.0
-7.317401,-0.00019687304805072223,-0.00020026103649378713,-0.00019508062895093765,-0.00020372926758885894,-0.00019289799615648952,1.0
-7.145597,-0.00019572095303453478,-0.00019908102696707903,-0.00019395092017606994,-0.00020243348038997389,-0.00019179838582501,1.0
-6.98393,-0.00019463683530692108,-0.0001979706418754323,-0.00019288786792752007,-0.0002012192207848345,-0.00019076365611289935,1.0
-6.818815,-0.0001935295956128229,-0.00019683657472132764,-0.00019180214312268274,-0.00019998565926773198,-0.0001897068579016663,1.0
-6.647343,-0.00019237972654036374,-0.00019565884548224552,-0.00019066442391867797,-0.00019870460509057838,-0.00018860937249527072,1.0
-6.482702,-0.000191275665063742,-0.00019452803392081043,-0.00018956455237388538,-0.00019747458479116523,-0.0001875556080626228,1.0
-6.314243,-0.00019014552812314693,-0.00019337099900653237,-0.00018846232714162073,-0.000196216040506211,-0.00018647740699144052,1.0
-6.149159,-0.0001890423800297453,-0.00019223714475970617,-0.00018741595521507896,-0.00019498271058772696,-0.00018542080719186478,1.0
-5.977853,-0.0001879160631741902,-0.00019106055565000922,-0.00018633014563148873,-0.00019370289658384587,-0.00018432438424797828,1.0
-5.813265,-0.00018683391637987437,-0.00018993010808895797,-0.0001852869175611783,-0.00019247327224335576,-0.0001832709590352449,1.0
-5.644916,-0.00018575637412839778,-0.00018877382866244635,-0.00018413510348762633,-0.00019121554975994604,-0.00018219346200542083,1.0
-5.480067,-0.00018469477750581118,-0.0001876383190981961,-0.00018296540830655824,-0.000189983975508417,-0.0001811383662942603,1.0
-5.315083,-0.0001835814339245468,-0.00018649598104500886,-0.0001819027007642789,-0.00018875139268219977,-0.00018008240653215275,1.0
-5.143357,-0.00018243610564742894,-0.00018531841006900178,-0.00018079026549704021,-0.00018746844089036907,-0.00017892917122996118,1.0
