bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.00025,,,,,,0.0
-9.823483,-0.0003153682313253516,-0.0003246891402049109,-0.000305676002422021,-0.0003266828172012503,-0.0003011833593996986,1.0
-9.655348,-0.0003137205119422464,-0.00032286109187669324,-0.00030417181936825575,-0.00032472149932613777,-0.0002996864065397698,1.0
-9.490239,-0.0003120271466108745,-0.0003210754494436777,-0.0003026947077625572,-0.0003227954801567682,-0.0002982163950029096,1.0
-9.318976,-0.00031023983360344557,-0.0003192232519256408,-0.00030116254074000394,-0.0003207976737318989,-0.0002966915926854267,1.0
-9.154175,-0.00030851995849360116,-0.0003174409404913556,-0.0002996881845890327,-0.00031887840904422,-0.0002952243233585814,1.0
-8.985985,-0.0003067647155355806,-0.00031562197725610555,-0.00029818350948978043,-0.00031708084398203565,-0.0002937268808182929,1.0
-8.821008,-0.0003050430036770554,-0.0003138377623939744,-0.0002967075787932507,-0.00031531761851521844,-0.0002922580445142962,1.0
-8.649527,-0.00030325341560591965,-0.0003119520353756039,-0.0002951734614813126,-0.00031348488021669635,-0.0002907313012819327,1.0
-8.484471,-0.00030153087929770257,-0.000310119433887463,-0.0002936968240285379,-0.0003117208104212037,-0.00028926176161887373,1.0
-8.319513,-0.00029980936572454635,-0.00030828792048424994,-0.0002920854338988105,-0.00030995778802077675,-0.00028779309447718324,1.0
-8.151567,-0.0002980566691681059,-0.00030642323159364726,-0.0002904321421670155,-0.0003081628307585518,-0.00028629782433703627,1.0
-7.986707,-0.0002963361783300105,-0.0003045928062753619,-0.0002888092295944998,-0.0003064008557531905,-0.00028483002971671414,1.0
-7.815007,-0.00029454430475909593,-0.00030268643707028126,-0.0002871189827868997,-0.00030456577684732775,-0.0002833013366661906,1.0
-7.650382,-0.0002928262663979322,-0.00030085357942430835,-0.0002854983835981917,-0.00030280631345258314,-0.00028183563431649676,1.0
-7.482061,-0.0002910696563144732,-0.0002989039183473133,-0.00028384140029649073,-0.0003010073483010763,-0.00028033702544662384,1.0
-7.317523,-0.00028944783127386373,-0.0002970187179814782,-0.0002822216575520009,-0.000299248814736645,-0.00027886443808510485,1.0
-7.145861,-0.0002877558975476032,-0.0002951459286700048,-0.00028055896447263525,-0.00029741414196356284,-0.0002773253113821954,1.0
-6.98428,-0.00028616332409848273,-0.00029338312053694564,-0.00027911778455260816,-0.0002956872119420823,-0.0002758765712313011,1.0
-6.819179,-0.0002845360568515711,-0.00029152314274522354,-0.00027760665679784973,-0.0002939226611998759,-0.000274396270653555,1.0
-6.647633,-0.00028284526644364676,-0.0002895838799804203,-0.00027603653958585344,-0.0002920892282005448,-0.0002728457417700998,1.0
-6.482957,-0.00028122218807857076,-0.0002877222799719285,-0.0002745293017487561,-0.00029032921973285786,-0.0002712568044259653,1.0
-6.31455,-0.00027956716136391625,-0.00028581850241703237,-0.0002729879150109677,-0.0002885293354387424,-0.0002696318671472261,1.0
-6.149579,-0.00027798773409819233,-0.0002839535675449143,-0.0002714779771133761,-0.00028676617409815374,-0.00026804008338639137,1.0
-5.978263,-0.0002763475599981702,-0.00028201690484327724,-0.0002699099650332906,-0.00028493519927091563,-0.0002663870775443273,1.0
-5.813587,-0.0002747709570533475,-0.0002801579645089732,-0.0002684027271961933,-0.00028317519080322867,-0.0002647981402001928,1.0
-5.645335,-0.00027306036762642766,-0.0002782765950442755,-0.0002667479871677973,-0.00028137696310334963,-0.0002631746984963299,1.0
-5.480402,-0.0002712660811702264,-0.00027643233815626835,-0.00026508349750889123,-0.0002796142078955415,-0.0002615832813925617,1.0
-5.315314,-0.0002695216887176469,-0.00027458634808073877,-0.00026352396386161383,-0.00027784979609349683,-0.00025999036871391713,1.0
-5.143737,-0.00026777713756562943,-0.0002726677989482206,-0.0002620235098231253,-0.00027601603177531846,-0.0002583411873306276,1.0
-4.979333,-0.00026620530024345536,-0.00027082945726149976,-0.0002605857842203716,-0.000274258930363324,-0.0002567878807201418,1.0
-4.810975,-0.0002645332638050252,-0.0002689469025201738,-0.00025911348058403426,-0.00027245956976674134,-0.0002551972162939224,1.0
-4.64603,-0.00026285954559704026,-0.0002671025114499068,-0.0002576710238947431,-0.0002706966863064761,-0.0002536387982574599,1.0
-4.474354,-0.000261307784746275,-0.00026519642671128066,-0.0002561697040936533,-0.0002688618639055272,-0.00025201678501166443,1.0
-4.309642,-0.00025970571177723806,-0.0002634007380965254,-0.0002547292850072512,-0.00026710147068046883,-0.0002504605683841715,1.0
-4.141849,-0.0002579838964188741,-0.00026157146044987164,-0.0002532619223392928,-0.00026530814863707006,-0.0002488752421385008,1.0
-3.977054,-0.0002563310435392041,-0.00025977486696992727,-0.0002518207774115159,-0.0002635468683325159,-0.0002473182413181132,1.0
-3.811928,-0.0002547214507209736,-0.00025806730208078737,-0.00025036217486589803,-0.0002617820503976868,-0.0002457581131742536,1.0
-3.64357,-0.0002530803534515494,-0.0002564450687851769,-0.0002488238710005422,-0.0002599826898010955,-0.0002441674487480343,1.0
-3.478445,-0.00025147077038063575,-0.00025485398744103127,-0.00024706631168728335,-0.00025821788255395725,-0.00024260733005228188,1.0
-3.307259,-0.0002497899654498874,-0.0002532045046190544,-0.0002452180147955423,-0.00025638829712829617,-0.00024098994637899757,1.0
-3.142424,-0.00024821892484570504,-0.00025161621760399155,-0.0002434382897120015,-0.00025462658931547244,-0.0002394325676343232,1.0
-2.974005,-0.0002466137251745794,-0.00024999339653571177,-0.00024161986814590964,-0.0002528265767687243,-0.00023784132687356646,1.0
-2.808937,-0.00024504046384504974,-0.0002484014448164201,-0.00023983762735908532,-0.0002510623787204219,-0.00023624343248599992,1.0
