bias_voltage_v,probe_current_a,ion_current_a,corrected_ion_current_a,electron_current_a,electron_current_smooth_a,dIe_dV_a_per_v,ln_electron_current,semilog_fit_ln_current,semilog_fit_current_a,legacy_total_model_a,semilog_window,legacy_model_valid
-21.00042,-0.000484,-0.0005828331637597666,-0.000534453923871462,9.883316375976665e-05,6.429936659435657e-05,-1.298956473456634e-06,-9.222077343948857,,5.699452492575186e-09,-0.0005828274643072741,0,1
-9.823649,-0.000392,-0.0004136325832807959,-0.00044961717077221573,2.1632583280795895e-05,4.97812275515642e-05,-6.9150191436657e-05,-10.741309894673048,,2.0186559008692105e-07,-0.00041343071769070895,0,1
-9.655508,-0.000389,-0.00041108716521664167,-0.0004482183211884775,2.2087165216641644e-05,3.798261700998178e-05,-6.330839648055296e-05,-10.720513877574625,,2.1299459082643385e-07,-0.0004108741706258152,0,1
-9.490522,-0.000388,-0.00040858950941149877,-0.00044684146300451717,2.058950941149877e-05,2.8648595028387037e-05,-4.9227579957664475e-05,-10.790728863750504,,2.2451095316062196e-07,-0.0004083649984583381,0,1
-9.319269,-0.000387,-0.0004059969800478064,-0.00044540780306486877,1.8996980047806438e-05,2.1524221665557707e-05,-3.639824503190358e-05,-10.871230536283198,,2.3712381381830822e-07,-0.0004057598562339881,0,1
-9.154605,-0.000385,-0.00040350419886941514,-0.00044402493830373576,1.8504198869415155e-05,1.63545569802715e-05,-2.607971146542857e-05,-10.897512885718529,,2.499191285544989e-07,-0.00040325427974086066,0,1
-8.986631,-0.000382,-0.0004009613089501912,-0.0004426098241628792,1.896130895019118e-05,1.288466103130613e-05,-1.642370730977963e-05,-10.873110026063033,,2.6368330192483467e-07,-0.00040069762564826637,0,1
-8.821466,-0.000381,-0.0003984609433370092,-0.0004412139492444669,1.7460943337009214e-05,1.0859593877439324e-05,-8.634874954882901e-06,-10.955543980546713,,2.7795622146171706e-07,-0.00039818298711554747,0,1
-8.649959,-0.00038,-0.00039586456877084813,-0.0004397597863771389,1.586456877084811e-05,1.0024415577448807e-05,-2.0812142835306262e-06,-11.051422314461586,,2.935953982738112e-07,-0.0003955709733725743,0,1
-8.484796,-0.000378,-0.000393364233434851,-0.0004383548530767755,1.5364233434850955e-05,1.0124186190112312e-05,2.6558549226498488e-06,-11.083468253971269,,3.0948723280954345e-07,-0.00039305474620204145,0,1
-8.3193,-0.000376,-0.0003908588569475858,-0.0004369425561316901,1.4858856947585835e-05,1.0903965774207437e-05,1.2953715994426887e-05,-11.116914443060868,,3.2627394129585116e-07,-0.00039053258300628997,0,1
-8.152064,-0.000373,-0.0003883271393095505,-0.00043551075818300055,1.532713930955048e-05,1.4463134760907932e-05,8.171398531956609e-06,-11.085885489829126,,3.441622437393455e-07,-0.00038798297706581117,0,1
-7.98709,-0.000372,-0.0003858296651675163,-0.00043409369926166255,1.3829665167516315e-05,1.3677498726955206e-05,-4.859730370850817e-06,-11.188694623172422,,3.627692945117714e-07,-0.0003854668958730045,0,1
-7.815376,-0.000371,-0.00038323015691272915,-0.00043261381652621804,1.223015691272913e-05,1.2825580033684837e-05,-5.086845791883157e-06,-11.311605778197938,,3.832057861931167e-07,-0.00038284695112653604,0,1
