bias_voltage_v,probe_current_a,ion_current_a,corrected_ion_current_a,electron_current_a,electron_current_smooth_a,dIe_dV_a_per_v,ln_electron_current,semilog_fit_ln_current,semilog_fit_current_a,legacy_total_model_a,semilog_window,legacy_model_valid
-21.000257,-0.000242,-0.0003042934092592403,-0.00026625369210809315,6.229340925924029e-05,4.110801018772727e-05,-7.704300848637572e-07,-9.683654928148439,,7.250372954952493e-14,-0.00030429340918673655,0,1
-9.823216,-0.000203,-0.00021796826457524574,-0.00021950850915264608,1.4968264575245741e-05,3.2496881541571574e-05,-4.131998751333147e-05,-11.109578293090063,,1.322691754796263e-10,-0.00021796813230607026,0,1
-9.654957,-0.000201,-0.00021666872720042677,-0.00021872849407769527,1.566872720042676e-05,2.5441711017060752e-05,-3.803900923119851e-05,-11.063843730139277,,1.480986736253462e-10,-0.00021666857910175314,0,1
-9.490068,-0.0002,-0.0002153952178000587,-0.00021796139354061112,1.5395217800058693e-05,1.9798296242955523e-05,-2.9961942808651496e-05,-11.081453629233602,,1.6544758600765064e-10,-0.0002153950523524727,0,1
-9.318667,-0.0002,-0.00021407141339386735,-0.00021716112539699837,1.4071413393867337e-05,1.5422434848016633e-05,-2.2570570163824312e-05,-11.171365237450539,,1.856392013435992e-10,-0.00021407122775466602,0,1
-9.15376,-0.000199,-0.00021279776497167731,-0.0002163883840873528,1.3797764971677301e-05,1.216992446100481e-05,-1.6654866915231957e-05,-11.19100393749193,,2.0738827966918665e-10,-0.00021279755758339764,0,1
-8.985711,-0.000199,-0.0002114998495181149,-0.00021559807033140905,1.2499849518114888e-05,9.896562710680787e-06,-1.1103439440855129e-05,-11.289793952279291,,2.3217500337464125e-10,-0.00021149961734311153,0,1
-8.820847,-0.000198,-0.00021022653320361073,-0.000214819909861199,1.2226533203610741e-05,8.458147225805304e-06,-6.584469696575464e-06,-11.311902115038913,,2.593686205485737e-10,-0.00021022627383499018,0,1
-8.649212,-0.000197,-0.00020890092151373347,-0.00021400678398777076,1.1900921513733476e-05,7.710475635139089e-06,-2.756604134539553e-06,-11.338894722716104,,2.9106833547244585e-10,-0.000208900630445398,0,1
-8.484263,-0.000197,-0.00020762694870729212,-0.0002132224112299426,1.0626948707292131e-05,7.509345567442871e-06,-2.711104844195847e-09,-11.452117452225796,,3.251784332614084e-10,-0.00020762662352885887,0,1
