bias_voltage_v,probe_current_a,ion_current_a,corrected_ion_current_a,electron_current_a,electron_current_smooth_a,dIe_dV_a_per_v,ln_electron_current,semilog_fit_ln_current,semilog_fit_current_a,legacy_total_model_a,semilog_window,legacy_model_valid
-21.000391,-0.000231,-0.0002918063998480986,-0.00026160998922678794,6.0806399848098615e-05,3.984135171895862e-05,-7.487810751895185e-07,-9.70781551387215,,1.1408643843133475e-13,-0.0002918063997340122,0,1
-9.824638,-0.000195,-0.00020905045414597962,-0.0002180050843143927,1.4050454145979628e-05,3.147315937156613e-05,-4.0139545237277924e-05,-11.172855839149646,,1.8081791476166917e-10,-0.00020905027332806487,0,1
-9.656476,-0.000193,-0.0002078052221386903,-0.00021728214255201437,1.4805222138690287e-05,2.462354112720834e-05,-3.6919108474739116e-05,-11.120530592221339,,2.0201894357651367e-10,-0.00020780502011974672,0,1
-9.491567,-0.000192,-0.0002065840784493308,-0.0002165708420066517,1.4584078449330793e-05,1.9151906583292778e-05,-2.9032637364967176e-05,-11.1355801414656,,2.2522224731807342e-10,-0.00020658385322708348,0,1
-9.320322,-0.000191,-0.00020531601696642586,-0.00021582973142956482,1.4316016966425853e-05,1.491766533722696e-05,-2.1820814392746922e-05,-11.15413157992388,,2.521417118995113e-10,-0.00020531576482471397,0,1
-9.155389,-0.000191,-0.00020409469555815137,-0.00021511352396446772,1.3094695558151366e-05,1.1780226986418416e-05,-1.6027123880457566e-05,-11.243303328984181,,2.8110641793837175e-10,-0.00020409441445173345,0,1
-8.987263,-0.00019,-0.00020284973012923448,-0.00021438098853563038,1.2849730129234468e-05,9.599001128274683e-06,-1.0604398098162791e-05,-11.262187748459578,,3.140588905855343e-10,-0.0002028494160703439,0,1
-8.822338,-0.00019,-0.0002016284679605983,-0.00021365995984189883,1.1628467960598295e-05,8.233397360203275e-06,-6.195261725149153e-06,-11.362054331787926,,3.5013446778827354e-10,-0.00020162811782613053,0,1
-8.650893,-0.000189,-0.0002003589254867355,-0.0002129078381231516,1.1358925486735475e-05,7.542825279611722e-06,-2.4578758978931835e-06,-11.3855067365802,,3.920356322139341e-10,-0.00020035853345110329,0,1
-8.485725,-0.000189,-0.00019913586391408553,-0.00021218073191072798,1.0135863914085516e-05,7.386694483907556e-06,2.4947118993279535e-07,-11.499430541033442,,4.3713833584403993e-10,-0.0001991354267757497,0,1
-8.320868,-0.000187,-0.00019791510528237505,-0.00021145250161450186,1.0915105282375062e-05,7.624414570498257e-06,6.554540841877802e-06,-11.425362922349237,,4.87330055869453e-10,-0.0001979146179523192,0,1
