bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000296,,,,,,0.0
-9.824155,-0.0005390784965977344,-0.0005407030197716423,-0.0005371830973313244,-0.0005418164046058805,-0.0005335687249442068,1.0
-9.655877,-0.0005368094111833584,-0.0005383558292572654,-0.0005348851053147073,-0.0005394525048414445,-0.0005314129329669567,1.0
-9.490884,-0.0005345844957744764,-0.0005360543800089506,-0.0005326318679197436,-0.0005371637262224708,-0.0005292990048018023,1.0
-9.319571,-0.0005322741973252981,-0.000533664689485385,-0.0005302922041433822,-0.0005347984779280746,-0.0005271038003311497,1.0
-9.154559,-0.0005300534450250424,-0.0005313627986971577,-0.0005280384653800528,-0.0005325200842922543,-0.0005249890812852797,1.0
-8.986712,-0.0005278043358993192,-0.0005290212590730976,-0.0005257458721502513,-0.0005302024142836336,-0.0005228376916129887,1.0
-8.821686,-0.0005255479007993892,-0.000526754105066275,-0.000523496751113097,-0.0005279235247173441,-0.0005207221586076318,1.0
-8.650106,-0.0005231816109706723,-0.0005244333820606163,-0.0005211682188286544,-0.000525553966291659,-0.0005185222141473958,1.0
-8.485046,-0.0005209157852380122,-0.0005222006428400185,-0.0005189279286834194,-0.0005232742496405385,-0.0005164055006160952,1.0
-8.320185,-0.0005186967165057042,-0.0005199376282237941,-0.0005166924240831867,-0.0005209970904860888,-0.0005142909203747543,1.0
-8.152338,-0.0005164339724105113,-0.0005175922002317083,-0.0005144169442260644,-0.0005186784600224931,-0.00051213759554138,1.0
-7.987172,-0.0005141552248577055,-0.0005153174065558128,-0.0005121775028326872,-0.0005163966222237618,-0.000510018195735436,1.0
-7.815674,-0.0005118100322221385,-0.0005128921391516685,-0.0005098540688361414,-0.0005140270388427233,-0.000507816989404939,1.0
-7.651087,-0.0005095575560493764,-0.0005105780556359108,-0.000507630278499943,-0.00051175264403424,-0.0005057039556528776,1.0
