bias_voltage_v,probe_current_a,ion_current_a,corrected_ion_current_a,electron_current_a,electron_current_smooth_a,dIe_dV_a_per_v,ln_electron_current,semilog_fit_ln_current,semilog_fit_current_a,legacy_total_model_a,semilog_window,legacy_model_valid
-21.000351,-0.000909,-0.0010911248243518634,-0.0009946418125625868,0.00018212482435186344,0.00012192067856962543,-2.2426674933259644e-06,-8.610818257886633,,7.169202572273101e-10,-0.001091124107431606,0,1
-9.824279,-0.000714,-0.0007601869746097399,-0.0008390532427322332,4.6186974609739844e-05,9.685646519215493e-05,-0.00012163094009976557,-9.982812734481799,,5.006373568061494e-08,-0.0007601369108740592,0,1
-9.656072,-0.000709,-0.0007552061492453745,-0.0008364905065244778,4.620614924537455e-05,7.60950436188381e-05,-0.0001127048948143981,-9.98239766818444,,5.336756844144764e-08,-0.0007551527816769331,0,1
-9.491242,-0.000706,-0.0007503253211894177,-0.0008339715814663863,4.4325321189417626e-05,5.924986956537495e-05,-9.012930161264826e-05,-10.0239544597941,,5.681648646311717e-08,-0.0007502685047029546,0,1
-9.319562,-0.0007,-0.0007452416558333132,-0.0008313398604400228,4.524165583331323e-05,4.593439874746553e-05,-6.947244066034059e-05,-10.003492306296122,,6.064591898219494e-08,-0.000745181009914331,0,1
-9.154713,-0.000688,-0.0007403602651629472,-0.0008288049889532046,5.236026516294715e-05,3.5762086880809866e-05,-5.301479724578068e-05,-9.857362552707988,,6.456567178680448e-08,-0.0007402956994911604,0,1
-8.986787,-0.000702,-0.0007353877605695806,-0.000826214806468839,3.338776056958058e-05,2.834638968110801e-05,-3.7303287406869766e-05,-10.30732117515339,,6.881917656853551e-08,-0.000735318941393012,0,1
-8.82169,-0.0007,-0.0007304990263006107,-0.000823660319342155,3.049902630061069e-05,2.3300762864059965e-05,-2.432762985176129e-05,-10.39781579943065,,7.327409860940906e-08,-0.0007304257522020012,0,1
-8.650146,-0.000697,-0.0007254193880792246,-0.0008209976603622464,2.8419388079224586e-05,2.023866214536579e-05,-1.327556947995621e-05,-10.468438966870382,,7.820873342128004e-08,-0.0007253411793458033,0,1
-8.484995,-0.000694,-0.0007205290548008812,-0.0008184260473876097,2.6529054800881243e-05,1.8773543240725507e-05,-5.204580053094539e-06,-10.537270018007492,,8.327318492494619e-08,-0.0007204457816159562,0,1
