bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000607,,,,,,0.0
-9.824518,-0.0004890722040776052,-0.0005016961930498555,-0.0004758711265936114,-0.000519572421036886,-0.0004639091863067321,1.0
-9.655268,-0.0004882325527748384,-0.0005007324615807301,-0.0004753478216607241,-0.0005180699730131664,-0.00046342252510395897,1.0
-9.490798,-0.0004873743758839429,-0.000499785524979224,-0.0004747924117376884,-0.0005165743799184619,-0.0004629211659108705,1.0
-9.319905,-0.0004864389815722483,-0.0004987335613030879,-0.0004739760218544069,-0.0005149894641961281,-0.00046236259276916813,1.0
-9.154963,-0.00048553226747924307,-0.0004977028482719022,-0.0004732494466407919,-0.0005134126475435638,-0.00046179710769286023,1.0
-8.987119,-0.00048485797962122956,-0.0004965400716298619,-0.0004725023166293075,-0.0005117829532956252,-0.00046117122085172376,1.0
-8.82201,-0.0004841141937599647,-0.0004951910340793348,-0.00047173327042965513,-0.0005101248507282616,-0.00046053264076905515,1.0
-8.650618,-0.00048320355656777334,-0.0004937538977393103,-0.00047087598547774514,-0.000508380778763907,-0.00045981383530486927,1.0
-8.485548,-0.0004820847651498127,-0.0004924910531049823,-0.00047002198951671427,-0.0005066363577096869,-0.0004590921015200881,1.0
-8.320951,-0.00048062149612210356,-0.0004912818820870846,-0.00046910143100738916,-0.000504879803250653,-0.0004583238419099975,1.0
-8.152939,-0.0004793748720468389,-0.0004899941310653911,-0.0004681410380885955,-0.0005030719250262482,-0.00045741635216410423,1.0
-7.987851,-0.00047819134748301913,-0.0004886832650512071,-0.0004670989653515931,-0.0005013407493123184,-0.0004564509651296285,1.0
-7.815532,-0.00047691754580392396,-0.0004872617984593912,-0.0004659401939736059,-0.0004993982042914846,-0.00045543483821022573,1.0
-7.651787,-0.00047584176660795546,-0.0004858613280260027,-0.0004647364439508365,-0.0004976555320551152,-0.00045461911255586845,1.0
-7.48402,-0.000474520926424344,-0.00048437124146616677,-0.00046349103633948,-0.0004957976631783108,-0.00045346110785308123,1.0
-7.318838,-0.0004728333846232821,-0.00048265411091639673,-0.0004621810151351453,-0.0004939303622400313,-0.0004523031194151422,1.0
-7.147948,-0.00047082576939909805,-0.0004808109405321745,-0.00046079102618454265,-0.000491926766115985,-0.0004510109770776707,1.0
-6.985595,-0.0004692455556383622,-0.00047890647558470776,-0.0004593864951355541,-0.0004899763506530228,-0.0004497645393873138,1.0
-6.820594,-0.0004673644073512637,-0.000476862799783158,-0.00045788257636674573,-0.00048792876409572327,-0.0004484134611676307,1.0
