Bias Voltage (V)	Probe Current (A)
-21.000278	-0.000428
-9.823444	-0.000362
-9.655147	-0.000360
-9.490153	-0.000358
-9.318722	-0.000357
-9.153864	-0.000357
-8.986057	-0.000355
-8.820954	-0.000354
-8.649391	-0.000353
-8.484331	-0.000352
-8.319324	-0.000351
-8.151480	-0.000350
-7.986485	-0.000348
-7.814775	-0.000347
-7.650269	-0.000346
-7.481998	-0.000344
-7.317269	-0.000343
-7.145716	-0.000342
-6.984031	-0.000341
-6.818860	-0.000339
-6.647421	-0.000337
-6.482746	-0.000336
-6.314395	-0.000335
-6.149292	-0.000334
-5.977887	-0.000332
-5.813303	-0.000331
-5.645034	-0.000329
-5.480126	-0.000328
-5.315086	-0.000327
-5.143452	-0.000325
-4.978817	-0.000323
-4.810456	-0.000323
-4.645457	-0.000321
-4.473962	-0.000319
-4.309309	-0.000318
-4.141423	-0.000316
-3.976413	-0.000315
-3.811443	-0.000313
-3.643202	-0.000312
-3.478073	-0.000310
-3.307064	-0.000309
-3.141945	-0.000307
-2.973552	-0.000306
-2.808472	-0.000303
-2.637214	-0.000302
-2.472679	-0.000300
-2.307681	-0.000299
-2.139307	-0.000297
-1.974289	-0.000296
-1.802978	-0.000294
-1.638091	-0.000292
-1.469881	-0.000291
-1.304781	-0.000289
-1.133126	-0.000287
-0.968623	-0.000285
-0.803899	-0.000283
-0.635617	-0.000281
-0.470739	-0.000280
-0.302408	-0.000278
-0.137672	-0.000276
0.037889	-0.000274
0.202621	-0.000272
0.371040	-0.000270
0.535529	-0.000269
0.700666	-0.000267
0.872094	-0.000265
1.036774	-0.000263
1.204909	-0.000260
1.369693	-0.000259
1.541302	-0.000257
1.706277	-0.000255
1.874493	-0.000252
2.039437	-0.000250
2.204018	-0.000248
2.375688	-0.000246
2.540653	-0.000244
2.708537	-0.000241
2.873624	-0.000239
3.041451	-0.000236
3.206429	-0.000234
3.378078	-0.000231
3.543054	-0.000229
3.707636	-0.000226
3.875919	-0.000224
4.040957	-0.000221
4.212547	-0.000218
4.376962	-0.000215
4.545038	-0.000212
4.710011	-0.000209
4.881615	-0.000206
5.046761	-0.000203
5.211576	-0.000200
5.379485	-0.000196
5.544544	-0.000193
5.716080	-0.000189
5.881038	-0.000185
6.048956	-0.000181
6.213628	-0.000177
6.382036	-0.000173
6.547114	-0.000168
6.711998	-0.000164
6.883567	-0.000160
7.048419	-0.000155
7.216659	-0.000150
7.381765	-0.000144
7.553279	-0.000139
7.717790	-0.000133
7.885746	-0.000127
8.050788	-0.000121
8.215754	-0.000115
8.387234	-0.000108
8.551934	-0.000100
8.718578	-9.320443E-5
8.883691	-8.538555E-5
9.055771	-7.688524E-5
9.220555	-6.796018E-5
9.388156	-5.818364E-5
9.553432	-4.940115E-5
9.718686	-3.918499E-5
9.887399	-2.825959E-5
10.052642	-1.697433E-5
10.222247	-6.238640E-6
10.391146	7.070534E-6
10.557448	1.882782E-5
10.722729	3.327952E-5
10.894399	4.815637E-5
11.059421	6.519882E-5
11.224125	8.265561E-5
11.393911	0.000102
11.556447	0.000116
11.727663	0.000139
11.892695	0.000163
12.061074	0.000189
12.225935	0.000213
12.397485	0.000243
12.562407	0.000276
12.723998	0.000306
12.895746	0.000341
13.061315	0.000381
13.230204	0.000424
13.395310	0.000467
13.567534	0.000517
13.733279	0.000572
13.902093	0.000623
14.067797	0.000681
14.233090	0.000740
14.404323	0.000803
14.570071	0.000870
14.739487	0.000940
14.905775	0.001011
15.074521	0.000949
15.240135	0.001048
15.408824	0.001132
15.574227	0.001221
15.739333	0.001311
15.911378	0.001393
16.073576	0.001452
16.245304	0.001547
16.411026	0.001613
16.579355	0.001686
16.744795	0.001754
16.916801	0.001821
17.082445	0.001885
17.251268	0.001952
17.416258	0.002006
17.581779	0.002068
17.753836	0.002126
17.918762	0.002181
18.087650	0.002214
18.252760	0.002280
18.424700	0.002336
18.590303	0.002365
18.758997	0.002430
18.924082	0.002469
19.089647	0.002499
19.261526	0.002563
19.423689	0.002583
19.595484	0.002641
19.760786	0.002661
19.929428	0.002710
20.095057	0.002755
20.267031	0.002798
20.432474	0.002814
20.597887	0.002851
20.766233	0.002869
20.931921	0.002898
21.103817	0.002956
21.268518	0.002982
21.437431	0.003011
21.602734	0.003035
21.774988	0.003081
21.940380	0.003093
22.105774	0.003129
22.274240	0.003148
22.439631	0.003168
22.611521	0.003213
22.773802	0.003229
22.945368	0.003266
23.110643	0.003288
23.279308	0.003305
23.444567	0.003351
23.610273	0.003353
23.781759	0.003388
23.947495	0.003414
24.116365	0.003430
24.281807	0.003459
24.453918	0.003478
24.618948	0.003505
24.787024	0.003533
24.952808	0.003553
25.118183	0.003580
25.290030	0.003605
25.455286	0.003621
25.624071	0.003644
25.789442	0.003660
25.961615	0.003698
26.123295	0.003702
26.295450	0.003731
26.460470	0.003753
26.625483	0.003761
26.793846	0.003790
26.958626	0.003801
27.129839	0.003844
27.294933	0.003841
27.463276	0.003874
27.628485	0.003901
27.799427	0.003921
27.964483	0.003944
28.128836	0.003962
28.297308	0.003991
28.462406	0.004007
28.633718	0.004042
28.798634	0.004046
28.966825	0.004076
29.131903	0.004094
29.300056	0.004120
29.464897	0.004142
29.629528	0.004174
29.800991	0.004177
29.965956	0.004210
30.133678	0.004247
30.298878	0.004234
30.470436	0.004268
30.635406	0.004291
30.803659	0.004321
30.968327	0.004350
31.133078	0.004367
31.304956	0.004403
31.469292	0.004420
31.637470	0.004439
31.802549	0.004457
31.974201	0.004500
32.139011	0.004518
32.307247	0.004551
32.472279	0.004535
32.637184	0.004561
32.805164	0.004624
32.970211	0.004644
33.141716	0.004672
33.306366	0.004693
33.474552	0.004723
33.639145	0.004733
33.811050	0.004775
33.976086	0.004784
34.140923	0.004808
34.309048	0.004823
34.473751	0.004882
34.645359	0.004903
34.810192	0.004905
34.978191	0.004957
35.143139	0.004956
35.314358	0.005015
35.479824	0.005017
35.644535	0.005056
35.812607	0.005094
35.977436	0.005097
36.146065	0.005144
36.310875	0.005158
36.481873	0.005166
36.646729	0.005216
36.815178	0.005241
36.979961	0.005265
37.145008	0.005294
37.316616	0.005338
37.481339	0.005367
37.649712	0.005387
37.814281	0.005416
37.986153	0.005463
38.150814	0.005459
38.318535	0.005497
38.483715	0.005525
38.648800	0.005565
38.820152	0.005588
38.984795	0.005630
39.153015	0.005646
39.317829	0.005701
39.486320	0.005719
39.651291	0.005731
39.822681	0.005760
39.987629	0.005785
