Bias Voltage (V)	Probe Current (A)
-21.000296	-0.000641
-9.824155	-0.000530
-9.655877	-0.000528
-9.490884	-0.000526
-9.319571	-0.000525
-9.154559	-0.000523
-8.986712	-0.000521
-8.821686	-0.000520
-8.650106	-0.000518
-8.485046	-0.000516
-8.320185	-0.000514
-8.152338	-0.000513
-7.987172	-0.000511
-7.815674	-0.000509
-7.651087	-0.000507
-7.482825	-0.000505
-7.318083	-0.000503
-7.146521	-0.000501
-6.984879	-0.000499
-6.819922	-0.000498
-6.648334	-0.000496
-6.483715	-0.000494
-6.315334	-0.000492
-6.150213	-0.000490
-5.978796	-0.000487
-5.814180	-0.000485
-5.645940	-0.000483
-5.480913	-0.000481
-5.315977	-0.000479
-5.144356	-0.000477
-4.979795	-0.000475
-4.811466	-0.000473
-4.646542	-0.000471
-4.474897	-0.000468
-4.310279	-0.000466
-4.142416	-0.000464
-3.977488	-0.000462
-3.812395	-0.000459
-3.644216	-0.000457
-3.479150	-0.000455
-3.307873	-0.000453
-3.142936	-0.000451
-2.974598	-0.000448
-2.809581	-0.000446
-2.638195	-0.000444
-2.473655	-0.000442
-2.308667	-0.000439
-2.140319	-0.000437
-1.975425	-0.000435
-1.804098	-0.000432
-1.639254	-0.000430
-1.471088	-0.000428
-1.305970	-0.000425
-1.134308	-0.000423
-0.969646	-0.000420
-0.805067	-0.000418
-0.636890	-0.000416
-0.471803	-0.000413
-0.303545	-0.000411
-0.138833	-0.000408
0.037526	-0.000406
0.202194	-0.000403
0.370579	-0.000401
0.535217	-0.000398
0.700067	-0.000395
0.871582	-0.000393
1.036220	-0.000390
1.204484	-0.000388
1.369102	-0.000385
1.540697	-0.000382
1.705619	-0.000379
1.873944	-0.000376
2.038834	-0.000374
2.203462	-0.000371
2.375100	-0.000368
2.540038	-0.000365
2.707878	-0.000362
2.872932	-0.000359
3.040871	-0.000356
3.205906	-0.000353
3.377480	-0.000349
3.542412	-0.000346
3.707077	-0.000343
3.875283	-0.000339
4.040305	-0.000335
4.211880	-0.000332
4.376345	-0.000328
4.544377	-0.000324
4.709359	-0.000321
4.880918	-0.000317
5.045864	-0.000312
5.210851	-0.000308
5.378799	-0.000304
5.543715	-0.000299
5.715312	-0.000295
5.880182	-0.000290
6.048337	-0.000285
6.212975	-0.000280
6.381290	-0.000275
6.546372	-0.000270
6.711301	-0.000264
6.882551	-0.000258
7.047545	-0.000252
7.215801	-0.000246
