Bias Voltage (V)	Probe Current (A)
-21.000250	-0.000355
-9.823483	-0.000299
-9.655348	-0.000298
-9.490239	-0.000297
-9.318976	-0.000296
-9.154175	-0.000295
-8.985985	-0.000294
-8.821008	-0.000293
-8.649527	-0.000292
-8.484471	-0.000291
-8.319513	-0.000290
-8.151567	-0.000289
-7.986707	-0.000288
-7.815007	-0.000287
-7.650382	-0.000286
-7.482061	-0.000285
-7.317523	-0.000284
-7.145861	-0.000283
-6.984280	-0.000282
-6.819179	-0.000281
-6.647633	-0.000280
-6.482957	-0.000279
-6.314550	-0.000278
-6.149579	-0.000277
-5.978263	-0.000276
-5.813587	-0.000275
-5.645335	-0.000274
-5.480402	-0.000273
-5.315314	-0.000272
-5.143737	-0.000271
-4.979333	-0.000270
-4.810975	-0.000269
-4.646030	-0.000268
-4.474354	-0.000267
-4.309642	-0.000265
-4.141849	-0.000264
-3.977054	-0.000263
-3.811928	-0.000262
-3.643570	-0.000261
-3.478445	-0.000260
-3.307259	-0.000259
-3.142424	-0.000257
-2.974005	-0.000256
-2.808937	-0.000255
-2.637753	-0.000254
-2.473103	-0.000253
-2.308217	-0.000251
-2.139910	-0.000250
-1.974974	-0.000249
-1.803578	-0.000247
-1.638753	-0.000246
-1.470396	-0.000245
-1.305269	-0.000243
-1.133808	-0.000242
-0.968986	-0.000240
-0.804477	-0.000239
-0.636382	-0.000237
-0.471356	-0.000236
-0.302937	-0.000234
-0.138387	-0.000233
0.037648	-0.000231
0.202386	-0.000229
0.370680	-0.000228
0.535358	-0.000226
0.700269	-0.000224
0.871774	-0.000222
1.036410	-0.000220
1.204684	-0.000218
1.369362	-0.000216
1.540969	-0.000214
1.705939	-0.000211
1.874133	-0.000209
2.039093	-0.000207
2.203690	-0.000204
2.375339	-0.000201
2.540391	-0.000199
2.708157	-0.000195
2.873087	-0.000192
3.041138	-0.000189
3.206180	-0.000185
3.377808	-0.000181
3.542718	-0.000177
3.707325	-0.000172
3.875629	-0.000168
4.040501	-0.000162
4.212186	-0.000157
4.376694	-0.000151
4.544611	-0.000144
4.709602	-0.000137
4.881295	-0.000129
5.046277	-0.000121
5.211119	-0.000112
5.379145	-0.000101
5.542642	-9.017403E-5
5.714482	-7.695767E-5
5.879690	-6.292363E-5
6.048003	-4.692044E-5
6.212936	-2.949591E-5
6.381556	-1.005066E-5
6.546985	1.263876E-5
6.712577	3.796637E-5
6.884491	6.813195E-5
7.048234	9.958407E-5
7.216454	0.000139
7.381620	0.000183
7.553136	0.000237
7.717812	0.000297
7.885869	0.000369
8.050992	0.000452
8.216222	0.000549
8.387985	0.000667
8.552814	0.000797
8.721343	0.000950
8.884845	0.001089
9.056551	0.001300
9.221429	0.001513
9.389139	0.001745
9.553906	0.001990
9.719276	0.002246
9.887512	0.002520
10.052471	0.002792
10.223736	0.003085
10.388767	0.003364
10.556993	0.003653
10.722048	0.003924
10.893600	0.004208
11.058374	0.004465
11.222890	0.004718
11.391189	0.004963
11.556149	0.005186
11.727395	0.005409
11.892508	0.005604
12.060630	0.005793
12.225871	0.005963
12.397200	0.006128
12.562069	0.006267
12.723717	0.006391
12.895433	0.006525
13.060830	0.006629
13.229676	0.006733
13.394985	0.006821
13.566857	0.006915
13.732389	0.006985
13.901296	0.007059
14.066708	0.007120
14.231818	0.007179
14.403872	0.007244
14.569001	0.007290
14.737926	0.007342
14.902796	0.007385
15.075129	0.007437
