bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000391,,,,,,0.0
-9.824638,-0.00020042740904657736,-0.00020590870625619828,-0.0001948767622955598,-0.00021230739439473682,-0.00019280815339916237,1.0
-9.656476,-0.000199471454387162,-0.00020487805883561292,-0.00019404297593854218,-0.00021112828197743968,-0.00019197022341571284,1.0
-9.491567,-0.0001985339921368942,-0.00020386734871393676,-0.00019316752268350737,-0.00020997197883152057,-0.00019114850271995088,1.0
-9.320322,-0.0001975605114715145,-0.0002028178059067738,-0.00019225843347273923,-0.00020877124914288672,-0.00019029521053731755,1.0
-9.155389,-0.00019662291278785615,-0.00020180694869159198,-0.00019139876067840719,-0.00020761477771460884,-0.00018947337025258852,1.0
-8.987263,-0.0001956929251308504,-0.00020077652191126508,-0.00019054407526808355,-0.00020643591772084985,-0.00018863561965258368,1.0
-8.822338,-0.00019479788314787446,-0.00019976571372725183,-0.0001897056624628205,-0.00020527950238669157,-0.000187813819230839,1.0
-8.650893,-0.00019386221786809696,-0.00019871494514087524,-0.00018883410458258185,-0.00020407737034506797,-0.00018695953047348466,1.0
-8.485725,-0.00019291980805727273,-0.00019769931715804288,-0.0001879944564624073,-0.00020291925115202715,-0.00018613651921345486,1.0
-8.320868,-0.0001920115868438593,-0.00019668542191006157,-0.000187153474289901,-0.00020176331261788534,-0.0001853150576270918,1.0
-8.152965,-0.00019107006271428553,-0.0001956527933057451,-0.00018628991658713406,-0.00020058601624770993,-0.00018447841820785254,1.0
-7.987916,-0.00019014454252666522,-0.0001946415989399877,-0.00018544103756005273,-0.000199428731454698,-0.00018365599990972608,1.0
-7.816406,-0.00018918279197150422,-0.000193593715609288,-0.00018455892835651404,-0.00019822614364835276,-0.00018280138726549201,1.0
-7.651836,-0.00018825995779936939,-0.00019258823394796646,-0.00018371249366120774,-0.00019707221749075125,-0.00018198135576370921,1.0
-7.483679,-0.00018731700935260706,-0.00019156083661113203,-0.000182828306361828,-0.00019589314013227887,-0.00018114345069436362,1.0
-7.31903,-0.00018639373218418134,-0.00019056414094583473,-0.00018196256449764403,-0.0001947386600452464,-0.00018032302554533942,1.0
-7.147474,-0.00018543172368181297,-0.000189526938973793,-0.000181060504896602,-0.0001935357496977135,-0.00017946818368840903,1.0
-6.985829,-0.00018452529158753856,-0.00018854965742857928,-0.0001802105583822832,-0.00019240233295258683,-0.00017866272709102793,1.0
-6.820722,-0.00018359944616213502,-0.00018755144514805348,-0.00017941086629766866,-0.00019124464147720783,-0.00017784001978492445,1.0
-6.649246,-0.00018263788626360553,-0.00018651472684407208,-0.0001786021875183402,-0.0001900422920708708,-0.0001769855765562893,1.0
-6.484791,-0.00018171569695948908,-0.00018552045645823818,-0.00017779068302194048,-0.00018888917226623825,-0.0001761661180819005,1.0
-6.316351,-0.0001807711615766464,-0.00018450209335714752,-0.0001768750956266275,-0.00018770811057828524,-0.00017532680285479811,1.0
-6.151286,-0.000179845551668258,-0.0001835041350023533,-0.00017597785363979642,-0.00018655071359703377,-0.0001745043048234319,1.0
-5.979973,-0.00017888490580004972,-0.0001824684021720448,-0.00017505253547556006,-0.00018534950710838273,-0.00017365067379423733,1.0
-5.815135,-0.00017796056880505336,-0.00018147181622537163,-0.0001742243259513203,-0.00018419370179777376,-0.00017282930686677407,1.0
-5.647239,-0.00017701908392831316,-0.00018046281454656596,-0.00017338075185863768,-0.00018301645450995055,-0.00017199270230326745,1.0
-5.482221,-0.00017609373757467624,-0.0001794823314949007,-0.00017255163794502779,-0.00018185938708164767,-0.0001711704384400039,1.0
-5.317238,-0.0001751685874852148,-0.0001785020564017914,-0.00017172269988476415,-0.00018070256506511458,-0.00017034834896135194,1.0
-5.145544,-0.00017420580514120873,-0.00017746795835478865,-0.0001708600431785903,-0.00017958139232992587,-0.00016945817982165511,1.0
-4.981178,-0.00017328411490883565,-0.00017647737290858338,-0.00017003420516313063,-0.0001785187381655218,-0.000168573283924929,1.0
-4.812771,-0.000172339764575024,-0.0001754624335461837,-0.0001691880636085731,-0.00017742995824835382,-0.00016766758233274193,1.0
-4.647876,-0.0001714151079497039,-0.00017446865997284712,-0.00016835956769223613,-0.0001763638840089089,-0.00016684159080902818,1.0
-4.476276,-0.0001704528527150483,-0.0001735090729762033,-0.00016750461237201772,-0.00017525446080329115,-0.00016598201255404018,1.0
-4.311578,-0.00016952930077647263,-0.0001726018526460517,-0.00016669765009124464,-0.00017418966020234765,-0.00016515700769870867,1.0
-4.143747,-0.00016858818038982808,-0.00017167737453356065,-0.00016587182366038883,-0.00017310460422314918,-0.00016431630890508634,1.0
-3.978819,-0.0001676633387145785,-0.0001707688872580324,-0.00016506028165663033,-0.00017203831663297267,-0.00016349015164155516,1.0
-3.813678,-0.00016673730263098277,-0.00016977612399194888,-0.00016424769153013121,-0.00017097065196143837,-0.00016262853520068496,1.0
-3.645442,-0.0001657939111851184,-0.0001687254058991803,-0.00016341987213421163,-0.00016988297758796297,-0.00016168204246489295,1.0
-3.480525,-0.00016489238285257303,-0.00016767402499442746,-0.00016260838407652412,-0.00016881676111404133,-0.00016075422228131845,1.0
-3.309292,-0.00016396146393053503,-0.00016660737113406468,-0.00016174080100578626,-0.0001677254947161683,-0.00015979086824984454,1.0
-3.144389,-0.00016302631820293927,-0.00016555818806581515,-0.00016079342280891942,-0.00016668202508673418,-0.0001588631265358568,1.0
-2.976281,-0.00016207588912456734,-0.00016453221700873995,-0.0001598156269201251,-0.0001656182749257514,-0.00015791735327555064,1.0
-2.811077,-0.00016123042308710127,-0.00016360478816199265,-0.00015885472199714262,-0.00016457290062968214,-0.00015698791758088628,1.0
-2.63976,-0.00016037320414546275,-0.00016256359414375493,-0.00015785826083874674,-0.00016358437592267194,-0.00015602408971091212,1.0
-2.475383,-0.00015946483464876693,-0.00016145694221223608,-0.00015695572641920624,-0.00016267203292818494,-0.00015509930564145067,1.0
-2.310318,-0.00015855266194689642,-0.00016056515190169304,-0.00015610239304349129,-0.0001617749174510494,-0.00015417064997793272,1.0
-2.141992,-0.00015762246644792364,-0.00015965744057746438,-0.00015523220090407443,-0.00016091977617008757,-0.00015322364685832796,1.0
-1.977039,-0.00015671090829410045,-0.00015876791793356583,-0.0001543794454827677,-0.00016006143526541266,-0.00015229561853879784,1.0
-1.80554,-0.00015576317190490308,-0.00015784309472546945,-0.00015349284831643432,-0.0001591446282350405,-0.00015133076022946359,1.0
-1.64089,-0.00015477053804141818,-0.0001569552042430549,-0.00015264049232924053,-0.0001582644323935145,-0.00015040443149861237,1.0
-1.472644,-0.00015369283148209312,-0.00015597895662966378,-0.00015175234573261954,-0.00015736500862268844,-0.0001494777399634627,1.0
-1.307548,-0.0001526845075543026,-0.00015498397635779746,-0.00015088082478510067,-0.00015648241955327246,-0.0001485745960733314,1.0
-1.136039,-0.0001517069139843513,-0.00015395033800600722,-0.00014997544661254493,-0.00015556553837558327,-0.0001476363398716066,1.0
-0.971288,-0.00015075158866237787,-0.00015300058321732096,-0.0001491057374646969,-0.00015468477566258889,-0.0001467350083873641,1.0
-0.806993,-0.00014987714803213636,-0.00015220341326111498,-0.00014823842832032392,-0.00015380643500428263,-0.0001458361231748407,1.0
