bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000252,,,,,,0.0
-9.823377,-0.0003046130452416506,-0.0003078735594900027,-0.0003025311730893069,-0.0003144838983475598,-0.0002986953913904912,1.0
-9.655267,-0.0003030693780591493,-0.0003062965842022831,-0.0003010446237704832,-0.00031279235165376453,-0.00029727599695828687,1.0
-9.490105,-0.00030156707339125665,-0.00030474726296933144,-0.0002995841427837653,-0.00031113046815386795,-0.0002958814931776255,1.0
-9.318863,-0.00030002485914756323,-0.0003031409075935501,-0.0002981279578215424,-0.0003094074068292171,-0.000294435654389869,1.0
-9.153894,-0.00029851004672216985,-0.00030159339681938433,-0.0002967390102209177,-0.0003077474653200523,-0.00029304278002040263,1.0
-8.985947,-0.0002969557562674367,-0.00030001795057195494,-0.0002953249843942786,-0.0003060575587500053,-0.00029162476156644986,1.0
-8.820971,-0.00029542896137341217,-0.00029847037413342634,-0.0002939359666046436,-0.0003043975468009686,-0.00029023182790079236,1.0
-8.649361,-0.00029384077114105343,-0.0002968605666909882,-0.00029249108701087455,-0.0003026707825978863,-0.00028878288155675366,1.0
-8.484371,-0.00029231384668181086,-0.00029531285892373226,-0.00029101725444237176,-0.00030101062977075756,-0.0002873898293557553,1.0
-8.319415,-0.0002907872368805051,-0.000293765470097318,-0.0002895082616372026,-0.0002993508190494159,-0.0002859970640193317,1.0
-8.151497,-0.0002892332148100965,-0.00029219029588737754,-0.00028795917641565266,-0.0002976612042547585,-0.0002845792895005183,1.0
-7.986561,-0.0002877067901013191,-0.0002906430946729419,-0.00028643227717727005,-0.00029600159475741405,-0.0002831866924021769,1.0
-7.814852,-0.0002861176836577256,-0.00028903235854877064,-0.0002848426767180482,-0.00029427383435296753,-0.00028173690870370456,1.0
-7.650145,-0.0002845933782626023,-0.00028748730549465963,-0.0002833138952325908,-0.00029261652905057146,-0.0002803462442236887,1.0
-7.481985,-0.0002830492665918089,-0.0002859098611743405,-0.0002817842183757651,-0.0002909244791441474,-0.0002789264244655106,1.0
-7.317206,-0.00028159125083151114,-0.00028436413271463475,-0.0002802585273729031,-0.00028926644930477865,-0.0002775351506136053,1.0
-7.145604,-0.0002800509587700153,-0.00028275440031338587,-0.0002786838983015532,-0.00028753976541994565,-0.00027608626736807775,1.0
-6.98391,-0.00027852206438213614,-0.0002812376110502272,-0.0002772112997473817,-0.0002859127771921084,-0.00027466595798626204,1.0
-6.818862,-0.00027696145631394826,-0.00027968935920020795,-0.0002757081552500544,-0.00028425204045324956,-0.0002732138451311462,1.0
-6.647302,-0.0002753392741593411,-0.00027808002077820565,-0.0002741457039010542,-0.00028252577893368426,-0.0002717044388788905,1.0
-6.482809,-0.0002737839138815088,-0.00027655921701421504,-0.0002726413122455038,-0.0002808706264597368,-0.00027025720896064434,1.0
-6.314342,-0.0002721909775250716,-0.0002750524871723207,-0.00027109415167867975,-0.00027917548683501685,-0.0002687750152781437,1.0
-6.149377,-0.00027063115425838294,-0.00027357707837741675,-0.0002695791526359199,-0.000277515584640798,-0.00026732363260568363,1.0
-5.977875,-0.0002690095205161097,-0.0002720432041241748,-0.00026800411934266055,-0.00027578990588829116,-0.00026581473655245636,1.0
-5.813188,-0.0002674523258673553,-0.0002705702816006261,-0.0002664916733666756,-0.0002741328002982226,-0.00026436579967772337,1.0
-5.645068,-0.00026590345887844626,-0.0002690666550361974,-0.0002649476995251794,-0.00027244115089149185,-0.00026288665877827996,1.0
-5.48001,-0.00026441786385790434,-0.00026760587877220195,-0.0002634318463377329,-0.00027078031118976014,-0.0002614344576547545,1.0
