bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000351,,,,,,0.0
-9.824279,-0.0007260989107769901,-0.0007279933012657844,-0.0007243369171476665,-0.0007310717091230309,-0.0007231404234983083,1.0
-9.656072,-0.0007222682479575861,-0.0007240688505671477,-0.0007205632410964847,-0.0007271408068622367,-0.000719386406292152,1.0
-9.491242,-0.0007185138468154042,-0.0007202227463269328,-0.0007168644056059386,-0.0007232882958915722,-0.000715706917540859,1.0
-9.319562,-0.0007146027396102128,-0.0007162163506483228,-0.0007130107802897342,-0.0007192750685716786,-0.0007118734227030777,1.0
-9.154713,-0.0007108465234936585,-0.0007123688987329687,-0.0007093095246550836,-0.0007154208401876944,-0.0007081915011848187,1.0
-8.986787,-0.0007070193470614025,-0.0007084672903158273,-0.0007055380376916582,-0.0007114940198200792,-0.0007044398442067917,1.0
-8.82169,-0.0007032558648596483,-0.0007046392165272017,-0.0007018289211614292,-0.0007076326756225511,-0.0007007502209098749,1.0
-8.650146,-0.0006993761352751609,-0.000700663645439027,-0.0006979737840418546,-0.000703591427182196,-0.0006969152580039874,1.0
-8.484995,-0.0006956431934846839,-0.00069685875614973,-0.000694260924545582,-0.0006996789477040702,-0.0006932220258541154,1.0
-8.320182,-0.0006918714866366391,-0.0006931178510600241,-0.0006905543458340627,-0.0006957738700559066,-0.0006895350721488276,1.0
-8.152253,-0.000688025267212962,-0.0006893077849976945,-0.0006867763365834874,-0.000691794243290054,-0.0006857744363402951,1.0
-7.987154,-0.0006842428552150531,-0.0006855605499455337,-0.0006830603516503859,-0.0006878809197553462,-0.0006820690509241544,1.0
-7.815486,-0.0006803417535503954,-0.0006816627400141668,-0.0006791948881312884,-0.0006838111088242839,-0.0006782147921409614,1.0
-7.651024,-0.0006766375985316488,-0.0006778654531255511,-0.000675466210115047,-0.0006799113316131798,-0.0006745206133646457,1.0
-7.482657,-0.0006728436928314523,-0.0006739714636620742,-0.0006716162348540599,-0.0006759179415681643,-0.000670737088253585,1.0
-7.317932,-0.0006691298062814483,-0.0006701702598753731,-0.0006678483729752533,-0.0006720100206997944,-0.0006670216280892104,1.0
-7.146485,-0.0006652621064097635,-0.0006662146979097424,-0.0006639254211895699,-0.0006679416163250453,-0.0006631478587230652,1.0
-6.984602,-0.0006615608484744197,-0.0006624783543540571,-0.0006602200085328369,-0.0006640990533883771,-0.0006594885782194007,1.0
-6.819645,-0.0006577651495922147,-0.0006586695336602482,-0.0006564429050713641,-0.0006601823339884628,-0.0006557580120940255,1.0
-6.648039,-0.0006538416644632928,-0.0006547055492633361,-0.0006525120485313955,-0.0006561579217483409,-0.0006518749042084001,1.0
-6.483415,-0.0006500578958995346,-0.0006509011585317379,-0.0006487393551436789,-0.0006523112543239977,-0.0006481478326216174,1.0
-6.314946,-0.0006461492222382053,-0.0006470059158307797,-0.0006448768670764635,-0.0006483731987201598,-0.0006443316042789556,1.0
-6.149992,-0.0006423227600868362,-0.000643223454757891,-0.0006410932019666093,-0.0006445157290195419,-0.000640592432319828,1.0
-5.978604,-0.0006383867420342167,-0.000639341331646533,-0.0006371967640691517,-0.0006405059924173899,-0.0006367049550590614,1.0
-5.813864,-0.0006346009624420049,-0.0006356090671452986,-0.0006334630230665205,-0.0006366497847382224,-0.0006329657968902859,1.0
-5.64564,-0.0006307323082548977,-0.0006317945736338288,-0.0006296426545852157,-0.0006327100375925332,-0.0006291445828450558,1.0
-5.480702,-0.0006269264814945731,-0.0006280514351044682,-0.0006258738660233173,-0.0006288452122230322,-0.0006253951086811728,1.0
