bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000252,,,,,,0.0
-9.823538,-0.00028369977591961957,-0.0002883810258620787,-0.0002786019497972734,-0.00029030387173535545,-0.00027553932540968525,1.0
-9.655368,-0.0002824022063842984,-0.0002870777526645855,-0.00027738281849555124,-0.00028882544064575164,-0.00027443727357918485,1.0
-9.490516,-0.00028113023794067057,-0.0002858001930822275,-0.0002761877406917957,-0.0002873761790530898,-0.0002733569652613598,1.0
-9.319079,-0.00027980746081780305,-0.000284471601469472,-0.0002749449255927285,-0.00028586902682113495,-0.0002722335041023659,1.0
-9.154124,-0.0002785346976421258,-0.0002831932436319585,-0.0002738051921610469,-0.00028441885972459613,-0.00027115252077939355,1.0
-8.986101,-0.00027723826232703967,-0.0002818997603735548,-0.00027270455276260616,-0.00028294172095212145,-0.00027005143221593784,1.0
-8.821256,-0.0002759663478870304,-0.0002806533782553017,-0.0002716247309337921,-0.0002814925208952644,-0.0002689711697032768,1.0
-8.649724,-0.0002746428377511708,-0.00027933751454729903,-0.00027048307151666435,-0.0002799845334862438,-0.00026784708590021016,1.0
-8.484562,-0.0002733684773875406,-0.0002779011337422182,-0.00026937742078621046,-0.00027853254658661295,-0.00026676474595363215,1.0
-8.31962,-0.0002720958144980313,-0.00027646666622389366,-0.0002682732427559566,-0.00027717114968915576,-0.00026568384766295763,1.0
-8.151826,-0.0002708011460791928,-0.00027500739542064964,-0.00026713677151692127,-0.00027587142213554333,-0.00026458425957577933,1.0
-7.986822,-0.00026952800478851203,-0.0002736748515150658,-0.000265923872677871,-0.0002745933057689658,-0.0002635029548444321,1.0
-7.815197,-0.0002682037770319843,-0.0002723846314588259,-0.0002646623043382952,-0.00027326390321449835,-0.0002623782612484778,1.0
-7.650509,-0.00026693307390396787,-0.0002710105024950249,-0.00026345172755466197,-0.00027198823434606146,-0.00026129902709590104,1.0
-7.482244,-0.000265618814855989,-0.00026955329903091164,-0.00026220051749177006,-0.0002706848579662703,-0.0002601963519581493,1.0
-7.317682,-0.00026426491484421194,-0.0002681050004117684,-0.0002610337311678109,-0.00026941016470944117,-0.00025911794312975534,1.0
-7.14615,-0.0002628536705487229,-0.00026659535927637997,-0.0002598226213358175,-0.00026800260670909403,-0.00025795940789214756,1.0
-6.984266,-0.00026152180313783935,-0.00026517062947229965,-0.00025867963152730554,-0.00026661267917856533,-0.00025675229042887405,1.0
-6.819222,-0.00026025285957231316,-0.00026371808867060143,-0.00025751433020254627,-0.00026519561998604793,-0.00025554597687177497,1.0
-6.647713,-0.0002589541976217157,-0.00026220864976712026,-0.00025627499098031676,-0.0002639173926216986,-0.0002544387936516346,1.0
-6.483124,-0.0002577079323220977,-0.0002607601132025574,-0.00025502671374357937,-0.0002627025014321278,-0.0002533762793800041,1.0
-6.314706,-0.000256432672087013,-0.0002594733461365294,-0.00025374939520490195,-0.0002614593464554579,-0.0002522890425151917,1.0
-6.14972,-0.0002551537132612357,-0.0002582339980536735,-0.00025247630073690805,-0.00026024152362936787,-0.00025122395601529803,1.0
-5.978474,-0.000253749931724376,-0.00025694762315559857,-0.0002512284751384653,-0.0002589774924692467,-0.0002500948801253052,1.0
-5.813735,-0.0002524944494117525,-0.0002557101246302038,-0.00025009076900496107,-0.0002577614907316715,-0.0002488775005919078,1.0
-5.645579,-0.0002512170576167409,-0.0002544469539183049,-0.0002489215814711511,-0.0002565202652214731,-0.000247634867843794,1.0
-5.480525,-0.0002499730058240048,-0.00025317602862286013,-0.00024769180905267996,-0.0002553019347945277,-0.00024641515506938457,1.0
-5.315502,-0.00024881558250504924,-0.00025173422546431517,-0.00024646224036769626,-0.0002540838306324848,-0.00024519566751847656,1.0
-5.143903,-0.0002476504750566137,-0.0002502349675477557,-0.00024518363994460095,-0.00025281718269647065,-0.0002439275792247667,1.0
-4.979317,-0.00024645750528422673,-0.0002488620021717687,-0.00024403434488878012,-0.00025160229645682515,-0.0002427113094331525,1.0
-4.811037,-0.00024513149193449585,-0.0002474603005207939,-0.0002429277233445776,-0.00025032956578902,-0.0002414677332465825,1.0
-4.646193,-0.00024400372566970257,-0.0002460872135325596,-0.00024174233403854151,-0.0002490803555283961,-0.0002402495386311119,1.0
-4.474478,-0.000242828939000587,-0.00024465688609374373,-0.0002404476343447787,-0.0002477790606781273,-0.0002389805539577823,1.0
-4.309852,-0.00024159827703510974,-0.00024340126233032036,-0.00023913907053186445,-0.0002465314696714191,-0.00023776394042473453,1.0
-4.142057,-0.00024015645337667016,-0.00024222336725077435,-0.00023786835289713254,-0.00024525983886966194,-0.0002365238864098142,1.0
-3.977088,-0.00023870454228022643,-0.00024106525602654924,-0.00023658876202437064,-0.00024400959575085365,-0.0002353046914324078,1.0
-3.812079,-0.00023725226999069665,-0.0002399153849276824,-0.0002353088049762425,-0.0002427590138505345,-0.0002340851685360208,1.0
-3.643922,-0.000235772278694585,-0.00023880479459920383,-0.000233993510441554,-0.0002414845269138314,-0.0002328056224677817,1.0
-3.478766,-0.0002343189398099189,-0.0002377139146771964,-0.00023266788523663924,-0.00024023272683738778,-0.00023152925558453597,1.0
-3.307628,-0.00023309467260535058,-0.00023658338381705725,-0.00023129420702921883,-0.00023893551248613926,-0.00023020657042280616,1.0
-3.14253,-0.00023194993986680256,-0.000235492589291335,-0.00022992082038807528,-0.00023768399113191773,-0.00022892429273096615,1.0
-2.97417,-0.00023070280052306768,-0.0002343800391821,-0.00022858666372723823,-0.00023640762576601727,-0.00022750844335017877,1.0
-2.809244,-0.00022946991030322266,-0.0002332899309430305,-0.00022732280474227585,-0.0002351571577952384,-0.00022612140105524563,1.0
-2.637977,-0.00022815230348123962,-0.0002321575980235569,-0.00022600981236509476,-0.00023388582906139056,-0.00022468093596600096,1.0
-2.473425,-0.00022688254287481257,-0.00023106929820175645,-0.00022474770248812618,-0.00023266801897077789,-0.0002232968345281827,1.0
-2.308298,-0.00022555110002932857,-0.00022997675994060633,-0.00022347581699871924,-0.00023144563601801445,-0.00022190775448597847,1.0
-2.139999,-0.00022411774170457907,-0.0002288626784385573,-0.00022213114131358494,-0.00023019938593854208,-0.0002204918092122151,1.0
-1.975143,-0.00022271357369841962,-0.00022777072825125002,-0.00022078708891212813,-0.0002289781673403966,-0.00021910459962557808,1.0
-1.803843,-0.00022125434129308173,-0.00022663526766426495,-0.00021951020270696283,-0.00022770858944964894,-0.00021766286482974274,1.0
-1.63892,-0.00021984921657478116,-0.0002255411163397549,-0.0002181214834080848,-0.00022648557587118197,-0.00021627444197824805,1.0
-1.470762,-0.00021841624999310204,-0.00022438863160429405,-0.0002166400663902692,-0.00022523770116906832,-0.0002148293790853797,1.0
-1.305603,-0.00021700849855893796,-0.0002232129370684722,-0.00021518467972285124,-0.0002240110030520849,-0.00021344942670203183,1.0
-1.134063,-0.00021554589509441673,-0.00022199035211998959,-0.00021367255636427397,-0.00022273558979141436,-0.00021197449437189512,1.0
-0.969308,-0.0002142170551318392,-0.00022081442054005463,-0.000212227660865956,-0.00022150906085765143,-0.0002105570384625084,1.0
-0.804888,-0.00021296770847419605,-0.00021963885339711564,-0.00021080553337541092,-0.00022028312276768427,-0.00020914144433019268,1.0
-0.6366,-0.00021168773017569997,-0.0002184330252783405,-0.00020933366745732286,-0.00021907068432949962,-0.00020769123510569874,1.0
-0.471623,-0.00021043142951021428,-0.0002172204360642634,-0.00020788942021250152,-0.0002179418148994594,-0.00020626798212103144,1.0
-0.303223,-0.00020914714620685754,-0.000216006829242981,-0.0002064135617362657,-0.0002167851453508609,-0.00020481321710004257,1.0
-0.138591,-0.0002078892880058713,-0.00021478159580813548,-0.00020496866940162287,-0.0002156492761430225,-0.00020338860819009327,1.0
0.037465,-0.0002065410200938965,-0.00021344233899884334,-0.0002034207811958346,-0.00021442795618711107,-0.00020186184236024147,1.0
0.202165,-0.0002052760841771418,-0.000212183838707884,-0.00020201336594044645,-0.0002132777354248342,-0.00020042983758757527,1.0
0.370592,-0.00020397806581956977,-0.00021089068475187942,-0.0002006799920976026,-0.00021209258216931863,-0.0001989608685871034,1.0
0.535312,-0.00020270323656673846,-0.00020961870218410707,-0.00019937005406357914,-0.0002108784846439892,-0.00019751881904618254,1.0
0.700112,-0.00020142129286274577,-0.00020833731574890476,-0.00019805214301553582,-0.00020963172685599184,-0.0001960695246573384,1.0
0.871659,-0.00020007820731608765,-0.00020699238838513555,-0.00019667132136140094,-0.00020832260287855086,-0.00019455241461333842,1.0
1.036267,-0.00019877959920770397,-0.00020568902748283039,-0.00019531977358360657,-0.00020707093512788854,-0.0001930866636527001,1.0
1.204573,-0.00019743955131806075,-0.0002043589778645492,-0.00019386462571120193,-0.00020587645608878321,-0.00019157580491262137,1.0
1.369211,-0.00019611423353388697,-0.0002030503571701845,-0.0001924256519390965,-0.00020468852184796655,-0.00019008362918542933,1.0
1.540757,-0.00019471479786551757,-0.00020166184672489862,-0.00019089987998289416,-0.00020342602889740404,-0.00018851082497483283,1.0
1.705659,-0.00019334808870251702,-0.0002002986753241826,-0.00018939979679561574,-0.00020217075164662263,-0.00018697788749595589,1.0
1.873976,-0.00019192690695093453,-0.00019886025841000856,-0.00018784215442340394,-0.00020079742011461728,-0.00018538743359570173,1.0
2.038989,-0.00019050271597992829,-0.00019741084894744072,-0.00018628413467394595,-0.00019940526169097612,-0.00018379781302046055,1.0
2.203473,-0.00018904661945591463,-0.00019592307171051649,-0.00018469463989887914,-0.00019796480053049093,-0.00018217779829681206,1.0
2.375154,-0.00018748079705126615,-0.00019434992223124742,-0.00018298940490734167,-0.00019639498454030772,-0.00018044212787156737,1.0
2.540045,-0.00018592264377299304,-0.0001927313577919914,-0.00018129639964408617,-0.00019481183097328227,-0.00017872378869269786,1.0
2.707998,-0.0001842706880858685,-0.00019100201242727754,-0.0001794703639052301,-0.0001931124362358356,-0.00017691212885750351,1.0
2.87294,-0.00018257352141250863,-0.00018923944925019126,-0.0001775977755415221,-0.00019134470847715233,-0.00017506047090776284,1.0
3.040839,-0.00018075517907228177,-0.00018734407990419528,-0.00017559616529915444,-0.00018942896097116292,-0.00017308767007060658,1.0
3.205933,-0.00017886211661694465,-0.00018536353524491625,-0.00017351943952070986,-0.00018740846199397524,-0.00017104746106030746,1.0
3.377387,-0.0001767655641757385,-0.00018315469534310543,-0.00017109513952103444,-0.00018514580209381994,-0.00016880493741163003,1.0
3.542432,-0.00017459960335201651,-0.00018085158905473562,-0.0001685422615964886,-0.00018278780559048748,-0.00016650550171972233,1.0
3.707153,-0.00017226792959237287,-0.00017842572954326498,-0.0001657820649122653,-0.00018026673571860482,-0.00016404954591617936,1.0
3.875388,-0.00016968190843391138,-0.00017569505832426766,-0.00016284418884411378,-0.00017756546396606584,-0.00016134478550604154,1.0
4.040298,-0.00016691168831770974,-0.00017276427771299176,-0.00016005624279924946,-0.00017466422278002673,-0.00015846666358712133,1.0
4.211887,-0.00016374356071637136,-0.00016940526374927266,-0.00015689439201092094,-0.00017140716791775286,-0.00015506265978327597,1.0
4.376403,-0.00016037885602125283,-0.000165847667794799,-0.00015356590080542194,-0.00016810455177968927,-0.00015105350640290196,1.0
4.544373,-0.00015656233495777683,-0.00016181833846529563,-0.0001498307229689107,-0.00016434854930977622,-0.00014654885221925378,1.0
4.709356,-0.00015238430967449604,-0.00015741352738514648,-0.0001457572862222946,-0.0001602239876623642,-0.00014181843413156947,1.0
