bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.00042,,,,,,0.0
-9.823649,-0.0003862954122326894,-0.00039128725175985714,-0.0003809632580706339,-0.00039712733538635323,-0.0003729239747777961,1.0
-9.655508,-0.00038467317845538207,-0.00038960620959825626,-0.00037941796541642123,-0.0003953685486767042,-0.00037148704098312574,1.0
-9.490522,-0.000383081380687536,-0.0003879242725696586,-0.00037790166635582527,-0.0003936427617674657,-0.00037007706430621635,1.0
-9.319269,-0.0003814250466159329,-0.00038617500355272766,-0.0003763277676256166,-0.0003918514180635072,-0.0003686135224162045,1.0
-9.154605,-0.00037980445689788056,-0.0003844930349491262,-0.0003748144215201228,-0.0003901289935304884,-0.0003672062819342287,1.0
-8.986631,-0.00037813592104876903,-0.0003827772522802672,-0.0003732706504382107,-0.0003883719416200263,-0.0003657707429271923,1.0
-8.821466,-0.000376495283729633,-0.0003810901574051708,-0.00037175269035824446,-0.0003866442676603789,-0.000364359197810683,1.0
-8.649959,-0.000374791644199057,-0.0003793382753164594,-0.00037017643678988177,-0.00038485024829190104,-0.00036289343690092666,1.0
-8.484796,-0.0003731510157690333,-0.00037765118757553676,-0.00036865847954339133,-0.0003831225819572874,-0.0003614818761039682,1.0
-8.3193,-0.0003715327861037082,-0.000375960689621023,-0.0003671374517362407,-0.000381391423597513,-0.00036006744841311853,1.0
-8.152064,-0.0003698985268380658,-0.0003742524072356452,-0.00036560041978116404,-0.00037963730304881575,-0.0003586381243194396,1.0
-7.98709,-0.0003682863580397594,-0.0003725672179290203,-0.00036408416264079876,-0.0003779012541353644,-0.0003572281035132583,1.0
-7.815376,-0.00036660830593163266,-0.00037081316317175763,-0.0003625059402195463,-0.0003760942645581933,-0.00035576043887482824,1.0
-7.650631,-0.0003649983367709779,-0.00036913027691021845,-0.00036099174799838053,-0.00037436059409265486,-0.000354352297994876,1.0
-7.482805,-0.00036335823317186066,-0.00036743022360538337,-0.00035944921152729066,-0.00037259448037993344,-0.0003529177707383806,1.0
-7.317937,-0.00036174700583747107,-0.00036576834841557123,-0.00035793383195151517,-0.0003708594703414642,-0.0003515084624915353,1.0
-7.14607,-0.0003601139848862402,-0.0003640358812746763,-0.00035635408140901817,-0.0003690507741372275,-0.0003500392525135498,1.0
-6.98464,-0.0003586576583979515,-0.0003624126736024745,-0.0003548702223812784,-0.000367351880049259,-0.00034865918003237987,1.0
-6.819374,-0.0003571666519066787,-0.0003607694545051749,-0.00035335104799021,-0.0003656125740987386,-0.0003472462182206762,1.0
-6.648099,-0.00035555673068217854,-0.0003590895853699967,-0.00035177656525226154,-0.00036380997405072066,-0.00034578176210302915,1.0
-6.483795,-0.000353955768831904,-0.00035747798741509514,-0.0003502660853856715,-0.0003620806811264827,-0.00034437677635054285,1.0
-6.314866,-0.0003523063838843368,-0.00035582090787283384,-0.00034871299319339205,-0.000360302636046932,-0.0003429320817716645,1.0
-6.149577,-0.0003506544238688948,-0.00035412995319548664,-0.00034719325586428986,-0.0003585628161106406,-0.00034153513582834316,1.0
-5.978265,-0.0003489457708341485,-0.00035239944701700505,-0.0003456180055861718,-0.0003567694464358422,-0.000340090440496037,1.0
-5.813677,-0.00034740223401634175,-0.00035076562725799376,-0.0003441044306239171,-0.000355084787794283,-0.000338702233779003,1.0
-5.645312,-0.00034582755914321875,-0.00034909412296051014,-0.00034255593954036156,-0.0003533612865224749,-0.00033728190180002966,1.0
-5.480283,-0.0003442301116666385,-0.0003474555191222256,-0.00034103792222190977,-0.00035167169977218075,-0.00033588938500849787,1.0
-5.315854,-0.00034256254332996335,-0.0003458226236569354,-0.00033951657005548854,-0.00034998801100790956,-0.0003345015781513321,1.0
-5.143885,-0.00034081825842203686,-0.00034411453662975644,-0.00033790255252727757,-0.00034822681544510205,-0.00033304970913789015,1.0
-4.979296,-0.00033917208047287164,-0.0003424794129363199,-0.00033635746800069583,-0.0003465408591331797,-0.00033165966784886295,1.0
-4.810972,-0.00033755542586991324,-0.00034079370905976,-0.0003347618912327264,-0.0003448162478017443,-0.0003302375320979092,1.0
-4.646155,-0.0003359377673920193,-0.0003391048072109205,-0.00033324436315856963,-0.0003431271202037049,-0.00032884440745349435,1.0
-4.474634,-0.0003342707627872204,-0.00033734672656519617,-0.0003316412022204755,-0.0003413687373227183,-0.00032739386312230327,1.0
-4.309801,-0.0003326726981781643,-0.0003356860234902113,-0.00033004764164467503,-0.00033967832147959885,-0.00032599906698287687,1.0
-4.141835,-0.0003310435701256574,-0.00033404002376698336,-0.0003284230432735804,-0.0003379550733801463,-0.00032457680915735606,1.0
-3.977027,-0.0003294442882655847,-0.0003323927030993087,-0.0003268281173242807,-0.00033626334450041317,-0.00032318013796881775,1.0
-3.811655,-0.0003278385881545472,-0.0003307287271989247,-0.00032523906207519715,-0.00033456488892174034,-0.00032177739049339996,1.0
-3.643961,-0.0003261763564460119,-0.00032903332775945175,-0.00032368556946016066,-0.0003328415084148028,-0.0003203535168614894,1.0
-3.478377,-0.00032453873915380216,-0.00032735755278771937,-0.0003221690520901879,-0.000331138593273293,-0.00031894594416241666,1.0
-3.307423,-0.0003227903444785845,-0.0003255597962472031,-0.00032060472902128875,-0.0003293790023329247,-0.0003174908270722583,1.0
-3.142478,-0.00032112879049341926,-0.0003238886143411537,-0.00031909039843293254,-0.00032767966515806946,-0.00031608478555436223,1.0
-2.974306,-0.00031948150016525094,-0.00032228477041962327,-0.0003174272166262275,-0.00032593911783898594,-0.0003146488747046309,1.0
-2.808999,-0.00031791180929450396,-0.00032062316990729404,-0.00031579411325922924,-0.00032419327790938243,-0.0003132348323770763,1.0
-2.637808,-0.00031628350759379295,-0.00031898718534545325,-0.00031414668403156697,-0.00032238339763673634,-0.0003117673452070133,1.0
-2.473215,-0.00031474586305328667,-0.0003173893696809232,-0.00031255988233797846,-0.00032064112020706927,-0.0003102996909384631,1.0
-2.308204,-0.00031321163074172673,-0.0003157490918975561,-0.00031096553579642623,-0.00031889204170124666,-0.0003088089951365144,1.0
-2.140128,-0.00031164420127097203,-0.000314074120577742,-0.0003093379590119031,-0.00031710775069881595,-0.0003072864956327369,1.0
-1.974809,-0.00031006362758213466,-0.0003124220029769281,-0.00030773305852853106,-0.00031534967900316005,-0.00030578455224610233,1.0
-1.803508,-0.00030835702955942456,-0.00031070465753716916,-0.0003060133270750887,-0.0003135243905118276,-0.0003042227518513377,1.0
-1.638606,-0.000306669175153494,-0.0003090352795521698,-0.000304262316370532,-0.0003117633916923279,-0.00030271329226832816,1.0
