bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000278,,,,,,0.0
-9.823444,-0.0003762248887297508,-0.0003779905281174627,-0.00037315626488718237,-0.0003804938076871904,-0.000369377182851502,1.0
-9.655147,-0.00037437424359554024,-0.0003760786035801212,-0.0003713422461151637,-0.0003785009821488938,-0.0003675855748679569,1.0
-9.490153,-0.00037255991922673055,-0.00037420420250412165,-0.0003695638292933921,-0.0003765472678410117,-0.00036582912900156043,1.0
-9.318722,-0.0003706748116024054,-0.0003722566743996861,-0.0003677160301149835,-0.0003745173322219829,-0.00036400415794540076,1.0
-9.153864,-0.0003688591073400647,-0.00037038381832521126,-0.00036593907914493005,-0.0003725652283067166,-0.00036224915982740395,1.0
-8.986057,-0.0003669966500517445,-0.00036847746036219176,-0.00036412249857944605,-0.00037057820491852165,-0.0003604627680591419,1.0
-8.820954,-0.00036516283694958243,-0.00036660182096011844,-0.00036230652048663416,-0.0003686231999276988,-0.00035870516172269493,1.0
-8.649391,-0.00036325727203185935,-0.0003646527932236247,-0.0003604194883771725,-0.0003665917012796456,-0.00035687878530947607,1.0
-8.484331,-0.00036142393643752945,-0.0003627776422742369,-0.00035860398308610773,-0.0003646372054564616,-0.00035512163661052327,1.0
-8.319324,-0.0003595911894518247,-0.0003609168612598647,-0.00035678906063340757,-0.0003626833372122954,-0.00035336505204250525,1.0
-8.15148,-0.00035772693157692633,-0.00035902299134687207,-0.0003549429337033732,-0.0003606958757003916,-0.000351578266041294,1.0
-7.986485,-0.0003558943176730794,-0.0003571861428334385,-0.0003531281429228406,-0.00035874214954799107,-0.0003498218089838876,1.0
-7.814775,-0.00035398711952776697,-0.0003552349938947677,-0.0003512294468021079,-0.0003567089102504382,-0.000347993867107058,1.0
-7.650269,-0.00035215993667342236,-0.0003533996301824997,-0.0003493832099050634,-0.0003547609744037728,-0.00034624261532698064,1.0
-7.481998,-0.00035029093540623344,-0.00035151006498227664,-0.00034752487049916916,-0.0003527684567246872,-0.00034445128287818215,1.0
-7.317269,-0.00034846127518370086,-0.0003496578869421558,-0.00034571808881932935,-0.0003508178803010231,-0.00034270809312886443,1.0
-7.145716,-0.0003465558198093047,-0.00034773698554235353,-0.00034383645952600636,-0.000348786500045682,-0.00034089601108985043,1.0
-6.984031,-0.00034475604138646076,-0.000345942930458402,-0.0003420630639020282,-0.0003468719679896452,-0.00033918816211463626,1.0
-6.81886,-0.0003429019113284827,-0.00034414158478681176,-0.00034025143216297166,-0.00034503768358208934,-0.00033744349021069294,1.0
-6.647421,-0.0003409833515751539,-0.0003422664586081286,-0.0003383710505831135,-0.00034314967611732706,-0.00033563260929561455,1.0
-6.482746,-0.00033917106261188506,-0.0003404563799352128,-0.0003365648567588153,-0.0003413361568659819,-0.0003338931738525999,1.0
-6.314395,-0.000337318545354954,-0.0003385939231738286,-0.0003347183421516909,-0.0003394821527237195,-0.0003321285542048633,1.0
-6.149292,-0.0003354641211482292,-0.00033670721793780566,-0.0003329300526548884,-0.00033766391518795307,-0.0003304106937188005,1.0
-5.977887,-0.00033353890983241257,-0.0003347116965195957,-0.0003310832628039527,-0.0003357762716924102,-0.00032867269173913165,1.0
-5.813303,-0.00033169408686551424,-0.00033278869712445954,-0.00032930996313065565,-0.00033389330879520223,-0.0003270113333414418,1.0
-5.645034,-0.0003298075217611589,-0.0003308225318951612,-0.0003274969569858678,-0.00033193913090993215,-0.00032531266150756776,1.0
-5.480126,-0.000327949009656863,-0.00032895420592211894,-0.0003257201601203723,-0.0003300239837494463,-0.00032364779695878525,1.0
-5.315086,-0.000326094318246283,-0.00032710495063399187,-0.0003239419368059776,-0.000328112610674691,-0.00032198145490769695,1.0
-5.143452,-0.0003241665035982964,-0.0003251782335063387,-0.00032209266115438895,-0.00032623400478227094,-0.00032024837585872476,1.0
-4.978817,-0.0003223172925060723,-0.0003233085558422589,-0.00032030930296667016,-0.0003244319993418003,-0.0003185857783072457,1.0
-4.810456,-0.0003204262164541137,-0.0003214393629575369,-0.0003184741479733249,-0.00032258920265523637,-0.00031684977404025335,1.0
-4.645457,-0.0003185728874344394,-0.00031962732235965227,-0.0003166756340821287,-0.0003207831948194073,-0.00031508676158680784,1.0
-4.473962,-0.00031664657399467863,-0.0003176764852241236,-0.0003148063053751455,-0.000318906071916315,-0.0003132543057587278,1.0
-4.309309,-0.00031479709133661987,-0.0003158034698028047,-0.000313011547548964,-0.00031710874423985976,-0.0003114949221173435,1.0
-4.141423,-0.0003129112632862474,-0.0003139158976499764,-0.00031118153889002207,-0.00031528911133333557,-0.000309700948955134,1.0
-3.976413,-0.00031105770770718577,-0.00031206265556949484,-0.000309382866990574,-0.0003135005718988057,-0.00030793765631360756,1.0
-3.811443,-0.0003092431889127066,-0.00031025576247092993,-0.0003075846157834139,-0.000311712375363953,-0.00030617473127114643,1.0
-3.643202,-0.0003073928369881735,-0.00030844464497724365,-0.0003057506897650467,-0.00030984954527020454,-0.0003043250428332196,1.0
-3.478073,-0.00030555211860467215,-0.00030664353272154103,-0.00030393451913711205,-0.00030801673473142965,-0.00030249701869106577,1.0
-3.307064,-0.0003036771965686043,-0.00030476480814552816,-0.00030210286488748347,-0.00030611851939419993,-0.00030060384648694557,1.0
-3.141945,-0.0003018619801210582,-0.0003029486349242974,-0.00030029498336528243,-0.00030428552621935103,-0.00029877580990880743,1.0
-2.973552,-0.00030001064797325163,-0.00030109637361656785,-0.0002983869876603116,-0.0003024160022575055,-0.00029689439078596426,1.0
-2.808472,-0.00029815751674547276,-0.0002992804633872526,-0.0002965352875717777,-0.00030050647977149675,-0.00029504119399255115,1.0
-2.637214,-0.00029620422570991815,-0.00029739648090989986,-0.0002947011150092562,-0.00029857231544232356,-0.0002931185306394738,1.0
-2.472679,-0.000294306148093335,-0.0002955949998623618,-0.00029291865476166007,-0.0002967674267086852,-0.00029127122304166154,1.0
-2.307681,-0.0002923871400219319,-0.0002937922487957472,-0.00029106203470092765,-0.0002949572725192843,-0.0002894185598924634,1.0
-2.139307,-0.00029047169752961625,-0.000291952237362539,-0.0002891762461136374,-0.0002931098545146354,-0.00028752782572456776,1.0
-1.974289,-0.0002886445057600388,-0.0002901484506516297,-0.0002873055267965937,-0.00029129899819214055,-0.00028567454217577246,1.0
-1.802978,-0.0002867333281739964,-0.000288275324029993,-0.00028544210637377595,-0.0002894471944207307,-0.00028378846936004447,1.0
-1.638091,-0.00028494907171446325,-0.00028644966423887726,-0.0002836640548982629,-0.0002876815731388194,-0.0002820059090009445,1.0
-1.469881,-0.00028308173554542385,-0.00028454912648918343,-0.00028178376289997645,-0.00028587965757314714,-0.00028018704965484224,1.0
-1.304781,-0.00028120425261087266,-0.0002827307546043081,-0.00027988507795598505,-0.0002841102658584006,-0.0002784013987811555,1.0
-1.133126,-0.00027927995029478417,-0.00028083958356229404,-0.00027791084640743115,-0.0002822695797291487,-0.0002765443329185871,1.0
-0.968623,-0.0002774219396974296,-0.00027902658369444237,-0.00027607426166792036,-0.0002805045054037092,-0.0002747640616351756,1.0
-0.803899,-0.0002756005471564651,-0.0002772104196782738,-0.000274246802681835,-0.0002787358503756623,-0.00027298072085665863,1.0
-0.635617,-0.0002737696250088411,-0.00027535414704495646,-0.0002723726378857835,-0.00027692756921309094,-0.0002711580667888484,1.0
-0.470739,-0.00027197397849851594,-0.0002735344160601868,-0.00027052891499666223,-0.000275145175026058,-0.0002693519568337428,1.0
-0.302408,-0.0002701086336663374,-0.0002716826415121603,-0.00026857961934528997,-0.0002733094452261932,-0.0002673799484773435,1.0
-0.137672,-0.00026826952410025957,-0.0002699250697098094,-0.000266743807100835,-0.0002715104531291677,-0.00026544954613447354,1.0
0.037889,-0.00026630431697375484,-0.00026806781773971316,-0.00026482637233321755,-0.00026959019777493055,-0.000263391688775901,1.0
0.202621,-0.000264420960942,-0.00026631033831326365,-0.00026302751438713715,-0.0002677851447291355,-0.0002614600293203923,1.0
0.37104,-0.00026249181090508506,-0.00026447042146454777,-0.00026114387051059636,-0.000265936017545312,-0.00025948430160756925,1.0
0.535529,-0.0002605941024478041,-0.00026266921315917346,-0.00025927707167870326,-0.00026412574565709166,-0.0002575536355345178,1.0
0.700666,-0.0002587152404930392,-0.0002608562147517163,-0.0002573912808274622,-0.00026230334015723476,-0.000255614166084528,1.0
0.872094,-0.00025674590060042937,-0.0002589688739699913,-0.0002554313145812191,-0.0002604058637372885,-0.0002535993487874052,1.0
1.036774,-0.00025485088889001757,-0.0002571501434413261,-0.0002535455795304592,-0.00025857703643841263,-0.0002517182379473525,1.0
1.204909,-0.0002529123485687372,-0.0002552864867259037,-0.00025161707622421334,-0.00025670293131363557,-0.00024980197088220576,1.0
1.369693,-0.00025100818509320535,-0.00025345204880183235,-0.00024975845359973876,-0.00025485837881462366,-0.0002479187352741917,1.0
1.541302,-0.0002490669468147321,-0.0002515316348365079,-0.000247833614646032,-0.00025292838148711894,-0.0002459524511047282,1.0
1.706277,-0.0002472638148517938,-0.0002496745706950261,-0.0002459591909588891,-0.0002510622024949365,-0.00024405553113451673,1.0
1.874493,-0.00024541599231464985,-0.00024776960834796066,-0.00024401900663698065,-0.0002491480522579678,-0.00024211461772509363,1.0
2.039437,-0.00024359489507589792,-0.00024588968886736365,-0.00024210967403167984,-0.0002472588034774188,-0.000240203274949115,1.0
2.204018,-0.0002417674780224883,-0.00024400028523368538,-0.00024019701092789603,-0.0002453598236126049,-0.00023828052114539222,1.0
2.375688,-0.00023983959584890385,-0.00024204549123021493,-0.00023818755868288595,-0.00024336270242581782,-0.0002362617547593902,1.0
2.540653,-0.00023795757039507103,-0.0002401559017904195,-0.0002362308796224864,-0.00024142610704868227,-0.00023431024227440214,1.0
2.708537,-0.0002360287388441361,-0.00023821663113569676,-0.00023419787788550185,-0.00023943461987078647,-0.00023231218281627263,1.0
2.873624,-0.00023411694757767597,-0.00023629173770296484,-0.00023218336389249517,-0.00023745380044016184,-0.00023033195008325517,1.0
3.041451,-0.0002321541348296536,-0.0002343077715607075,-0.00023012106799106486,-0.00023541510749075918,-0.00022826239332803477,1.0
3.206429,-0.00023018848389696317,-0.0002323242263769833,-0.00022807708795931738,-0.00023338391160163517,-0.00022620727516402814,1.0
3.378078,-0.00022808348757756306,-0.00023023138605810897,-0.00022596685461335507,-0.0002312761044262966,-0.00022405082531495895,1.0
3.543054,-0.00022601812482792038,-0.00022818755444656142,-0.00022391832782001493,-0.00022924992220504418,-0.0002219570616354557,1.0
3.707636,-0.00022392782407166444,-0.0002260913946607034,-0.00022185086980416267,-0.0002271988853441755,-0.0002198461499744657,1.0
3.875919,-0.00022175541732094402,-0.00022389506949616503,-0.00021970918002395856,-0.0002250670811705763,-0.00021766248678921032,1.0
4.040957,-0.00021958345178246468,-0.00022169715847425255,-0.00021757791623022406,-0.0002229379739741945,-0.0002155083832331916,1.0
4.212547,-0.00021728042866001184,-0.0002193629573387551,-0.00021533581308212372,-0.00022067828210556797,-0.0002132311031215362,1.0
4.376962,-0.0002150267207496959,-0.00021707330841747434,-0.00021314973462746657,-0.00021846451806765383,-0.0002110109723391337,1.0
4.545038,-0.00021270977532610714,-0.00021470142769987343,-0.00021087032448267832,-0.00021614778653269268,-0.00020869785764740447,1.0
4.710011,-0.00021043621197372426,-0.0002123108509318091,-0.0002085838499212651,-0.00021381480107938373,-0.0002063801238228355,1.0
4.881615,-0.00020800967024246292,-0.00020985770580335506,-0.00020614768440055912,-0.00021131850107731023,-0.00020391383682922097,1.0
5.046761,-0.00020559918089583395,-0.00020735269110687646,-0.00020374039286045405,-0.00020884365685250097,-0.00020149567678515488,1.0
5.211576,-0.0002031198578632353,-0.00020485268301551423,-0.00020119183238877009,-0.00020629519489923266,-0.00019901743991576024,1.0
5.379485,-0.00020048793561045083,-0.00020213110998848732,-0.00019851413564614498,-0.00020361051203377571,-0.00019643390108048942,1.0
5.544544,-0.00019784821001521361,-0.0001994297234122388,-0.00019575216544861208,-0.00020087340758723535,-0.0001937632254170472,1.0
5.71608,-0.00019475003564680337,-0.0001964856781365959,-0.0001928739080478692,-0.00019790631032476895,-0.0001908459212947763,1.0
5.881038,-0.00019162846969063548,-0.00019352094726209478,-0.0001900552534142765,-0.00019493544457502656,-0.00018791858506118813,1.0
6.048956,-0.0001884322480841849,-0.00019044682892801972,-0.00018698720843451702,-0.00019177967668235633,-0.00018482573915525003,1.0
6.213628,-0.00018524808463644038,-0.00018729405343099627,-0.00018385078755415592,-0.00018857971517479766,-0.00018164365462523845,1.0
6.382036,-0.00018172989937062734,-0.0001838683763421904,-0.00018042730971381052,-0.00018516454085154116,-0.0001782529031085577,1.0
6.547114,-0.00017805974115899968,-0.0001803421539589821,-0.00017672966892714112,-0.00018156009014004605,-0.00017475625667815373,1.0
6.711998,-0.00017436771760548402,-0.00017660681520346517,-0.00017272960045699984,-0.0001778370347759929,-0.00017109604624049722,1.0
6.883567,-0.00017029583429978618,-0.00017247960114691785,-0.00016866766159642424,-0.00017371946880666213,-0.00016708237564426386,1.0
7.048419,-0.000166203220322438,-0.00016835008258811376,-0.00016456771681328268,-0.0001694678536583844,-0.00016301206767446957,1.0
7.216659,-0.00016192224735348966,-0.00016391320165317892,-0.00015998091148360614,-0.00016498542390078435,-0.00015862033721807838,1.0
7.381765,-0.0001572877394442532,-0.00015932137554134919,-0.0001552332171244359,-0.0001603384173585913,-0.00015397854805342207,1.0
7.553279,-0.00015228623981332435,-0.00015432057643936824,-0.0001500523511958572,-0.00015522786541275938,-0.00014894075468509786,1.0
7.71779,-0.00014723216215423624,-0.0001491570443473462,-0.00014484082208672265,-0.00015004808519780412,-0.00014351633009347276,1.0
7.885746,-0.00014178864184999688,-0.00014331877344940248,-0.0001391958034519356,-0.00014441889377313617,-0.00013770567783141205,1.0
8.050788,-0.0001359418543849472,-0.00013739519292334379,-0.00013335316137008953,-0.00013860032258236981,-0.00013175949323031004,1.0
8.215754,-0.00012969583810595593,-0.0001312203121516949,-0.00012705584111248865,-0.00013243501796791476,-0.00012524887702098896,1.0
8.387234,-0.00012284523378892068,-0.00012438816553489166,-0.0001200292700865639,-0.00012562886729927924,-0.00011793688846908647,1.0
8.551934,-0.00011570182630596162,-0.00011739248373249,-0.00011273404844738527,-0.00011862898428247367,-0.00011048775841509338,1.0
8.718578,-0.00010792749066121734,-0.00010993226061590383,-0.00010499223811430053,-0.00011106612145257754,-0.00010252958725326558,1.0
8.883691,-9.964537328882152e-05,-0.00010197960986338094,-9.671885143007882e-05,-0.00010305948649138711,-9.41853386317819e-05,1.0
9.055771,-9.064074423018811e-05,-9.303076014788546e-05,-8.747589478546968e-05,-9.410320398027294e-05,-8.492960115152941e-05,1.0
9.220555,-8.154852733054018e-05,-8.381738015947855e-05,-7.814634332839717e-05,-8.493688014898957e-05,-7.55163536095529e-05,1.0
9.388156,-7.16714798584665e-05,-7.394619868124501e-05,-6.824907648352979e-05,-7.498067459709852e-05,-6.536388467467475e-05,1.0
9.553432,-6.1167335083417e-05,-6.359775500211991e-05,-5.784528770106199e-05,-6.456531986502534e-05,-5.46693189315872e-05,1.0
9.718686,-4.995885921033586e-05,-5.2568325805225906e-05,-4.67548001111799e-05,-5.344670372773839e-05,-4.332499551095651e-05,1.0
9.887399,-3.787966450892973e-05,-4.057067788371554e-05,-3.4739212793809314e-05,-4.1369817225557066e-05,-3.1041650652342114e-05,1.0
10.052642,-2.516776048511875e-05,-2.7928674154118883e-05,-2.215028681790237e-05,-2.8742232903924205e-05,-1.828047949553069e-05,1.0
10.222247,-1.120674046267261e-05,-1.40869460102005e-05,-8.211265135052364e-06,-1.4852574325339925e-05,-4.264869319041876e-06,1.0
10.391146,3.631573846256896e-06,6.559534244769411e-07,6.64202266054585e-06,-2.926838950229172e-07,1.0527587059614142e-05,1.0
10.557448,1.9149647299461687e-05,1.6124999450680403e-05,2.2222183050120958e-05,1.4983210765715108e-05,2.5886805938972097e-05,1.0
10.722729,3.557090903324855e-05,3.249083558689897e-05,3.853995581036643e-05,3.11984222751586e-05,4.226207701485092e-05,1.0
10.894399,5.3697811956991996e-05,5.059004156000781e-05,5.655794409593955e-05,4.9136189162496876e-05,6.025757931463645e-05,1.0
11.059421,7.218138649886654e-05,6.910131939836506e-05,7.491771388167212e-05,6.742879010950718e-05,7.870759158619197e-05,1.0
11.224125,9.185512020470319e-05,8.866668491268011e-05,9.431610018493147e-05,8.678781398588748e-05,9.812722437529103e-05,1.0
11.393911,0.00011326641814007275,0.00011002553428516204,0.00011565192763898899,0.00010792740689545392,0.00011945158528489008,1.0
11.556447,0.0001349833001482721,0.00013173505191617065,0.00013728603874607457,0.00012940600415438177,0.00014095534300067613,1.0
11.727663,0.00015920670820130495,0.00015589533570926185,0.00016137989789378278,0.0001534517130162292,0.00016515764901698767,1.0
11.892695,0.00018404009578051333,0.00018074095051347832,0.000185996975391326,0.00017806449111866388,0.00018990644006057613,1.0
12.061074,0.00021057922268900292,0.00020771440279548296,0.00021289837899623096,0.00020464282092482814,0.00021668746477790076,1.0
12.225935,0.00023813025010898745,0.00023562026921549915,0.00024070592001226444,0.00023232977164153664,0.00024438686654319975,1.0
12.397485,0.00026863113797264044,0.00026624362597862727,0.0002712314501448414,0.00026277487106136205,0.00027476093106752574,1.0
12.562407,0.00029956224929946753,0.0002971934776825227,0.00030200667640255225,0.00029367168689323496,0.0003056826604070173,1.0
12.723998,0.0003315788032540386,0.0003289326212879226,0.00033401058831077307,0.00032555565376609096,0.00033769586795532724,1.0
12.895746,0.00036711540672495054,0.00036448051343938425,0.0003701680682553086,0.0003613207240706491,0.0003734276897669004,1.0
13.061315,0.0004033157241621831,0.000400630771230035,0.00040683646286118833,0.0003976667953091915,0.0004098371916863151,1.0
13.230204,0.000442535112930196,0.0004394775421150695,0.00044611199450506723,0.0004366511262122269,0.0004489208963516699,1.0
13.39531,0.00048283141829634106,0.00047953477049885726,0.00048636025881902125,0.000476641139088161,0.0004888470326646541,1.0
13.567534,0.0005266245913895892,0.0005232966775052547,0.0005304389727858303,0.0005206375080513776,0.0005327545365076792,1.0
13.733279,0.0005711571381149686,0.0005676374214878895,0.0005750119922547179,0.0005650792151832789,0.0005771834096559436,1.0
13.902093,0.0006185577111922212,0.0006149218049220938,0.00062262740462197,0.0006125538693924559,0.0006247301245970115,1.0
14.067797,0.0006672776061305276,0.0006633969444735598,0.0006713959076483955,0.0006614508107780592,0.0006738574923225062,1.0
14.23309,0.000718083871265024,0.0007143186440648177,0.0007226259303672924,0.000712510101444418,0.0007250563525636707,1.0
14.404323,0.0007734292329700345,0.0007695907355760153,0.0007779679374608865,0.0007675345441133832,0.0007804487861463775,1.0
14.570071,0.0008292354308530787,0.0008255546587186011,0.0008338586579337996,0.0008234667904303973,0.0008366174409071632,1.0
14.739487,0.0008887858570291389,0.0008852984403406975,0.0008934597923909388,0.0008833125537872854,0.0008963656271506604,1.0
14.905775,0.0009500030671029299,0.0009465707445918467,0.0009544185320778637,0.0009447799709785441,0.0009575621005509927,1.0
15.074521,0.001014858999914023,0.0010115091383341673,0.001019041163082228,0.0010095290103897508,0.001022315035243799,1.0
15.240135,0.0010811581538853754,0.001077533754393232,0.0010852969240997385,0.0010755463041935461,0.0010884192921143858,1.0
15.408824,0.0011512688829469213,0.0011477875343186795,0.0011560590108449815,0.001145285363867422,0.0011588824474000204,1.0
15.574227,0.0012227536130932396,0.0012197080789302756,0.0012283702112290654,0.0012162850059443341,0.0012307348348976086,1.0
15.739333,0.001297452321629726,0.0012942107448103816,0.0013026029350716292,0.0012900377532736775,0.0013055706079751516,1.0
15.911378,0.0013780281199803253,0.0013749855002388514,0.0013829536153012521,0.0013695680827561193,0.0013874091573511963,1.0
