bias_voltage_v,probe_current_a,ion_current_a,corrected_ion_current_a,electron_current_a,electron_current_smooth_a,dIe_dV_a_per_v,ln_electron_current,semilog_fit_ln_current,semilog_fit_current_a,legacy_total_model_a,semilog_window,legacy_model_valid
-21.000296,-0.000459,-0.0005853147484840776,-0.0005268445457634974,0.00012631474848407765,8.340363345029015e-05,-1.604461297743021e-06,-8.976733761996355,,1.399142036222668e-11,-0.0005853147344926573,0,1
-9.823482,-0.000388,-0.00041851329666657425,-0.0004416020807302503,3.0513296666574252e-05,6.547086795521778e-05,-8.608376884831258e-05,-10.397348013071115,,4.026102164808055e-09,-0.00041850927056440943,0,1
-9.655432,-0.000386,-0.00041600533831834274,-0.0004401944660413082,3.0005338318342737e-05,5.079103411437e-05,-7.912346519450608e-05,-10.414135248187506,,4.383869870372414e-09,-0.0004160009544484724,0,1
-9.490338,-0.000384,-0.00041354149496491846,-0.00043880721438563326,2.954149496491845e-05,3.90631295042906e-05,-6.217372815617758e-05,-10.429714673985922,,4.766286722995406e-09,-0.00041353672867819547,0,1
-9.31899,-0.000383,-0.0004109843176542801,-0.00043736275830507423,2.79843176542801e-05,2.998615170152336e-05,-4.676691821390769e-05,-10.483866288470288,,5.1985068908716086e-09,-0.00041097911914738923,0,1
-9.154084,-0.000382,-0.00040852327999064736,-0.0004359680887377675,2.6523279990647343e-05,2.3259098282612086e-05,-3.4381125758269366e-05,-10.537487720405677,,5.651448471124531e-09,-0.0004085176285421762,0,1
-8.986105,-0.000381,-0.0004060163812380286,-0.00043454282762121066,2.5016381238028606e-05,1.858096682410057e-05,-2.276506085059195e-05,-10.595979698157166,,6.153426455353062e-09,-0.00040601022781157326,0,1
-8.821259,-0.00038,-0.0004035562390073081,-0.0004331395897940169,2.3556239007308075e-05,1.565075490253259e-05,-1.3300380736330299e-05,-10.6561198465882,,6.689366052016194e-09,-0.0004035495496412561,0,1
-8.649575,-0.000379,-0.0004009940472723614,-0.00043167329484383965,2.199404727236138e-05,1.4167460094451973e-05,-5.277255234085356e-06,-10.724738719747961,,7.297218409954425e-09,-0.00040098675005395144,0,1
-8.484435,-0.000378,-0.00039852951742037115,-0.00043025817503611623,2.0529517420371122e-05,1.3830079976402475e-05,5.191879878060465e-07,-10.793646833280278,,7.933959438777582e-09,-0.0003985215834609324,0,1
-8.31953,-0.000377,-0.0003960684946806203,-0.00042884040926307606,1.906849468062032e-05,1.4337612124927879e-05,1.3266046239179875e-05,-10.867473077984624,,8.625234354142562e-09,-0.00039605986944626616,0,1
-8.151617,-0.000375,-0.0003935625809042049,-0.0004273919497805218,1.856258090420491e-05,1.830711091391578e-05,7.732651835741389e-06,-10.894362782935168,,9.391038597173397e-09,-0.00039355318986560776,0,1
-7.986625,-0.000374,-0.0003911002597867314,-0.000425963889995681,1.7100259786731443e-05,1.700397422813215e-05,-7.718585796440899e-06,-10.976416902364543,,1.0209716774933106e-08,-0.0003910900500699565,0,1
-7.814842,-0.000373,-0.0003885365905874796,-0.0004244719467683496,1.5536590587479605e-05,1.571017364438799e-05,-7.492068524641353e-06,-11.072312633010661,,1.1138016553096517e-08,-0.0003885254525709265,0,1
-7.650388,-0.000372,-0.00038608229851845214,-0.0004230387265302044,1.408229851845215e-05,1.4484296513842179e-05,-7.170966465797604e-06,-11.17059197350857,,1.2105690382926926e-08,-0.00038607019282806924,0,1
-7.482089,-0.00037,-0.00038357062412363495,-0.0004215669522625362,1.3570624123634956e-05,1.3326216762980047e-05,-6.9512158781461986e-06,-11.207603092276466,,1.3183089724178966e-08,-0.00038355744103391075,0,1
-7.317486,-0.000369,-0.00038111410839620884,-0.0004201225122102478,1.211410839620881e-05,1.2170735559527018e-05,-6.698513510538022e-06,-11.321139801434258,,1.432952164098951e-08,-0.00038109977887456785,0,1
-7.145944,-0.000367,-0.00037855403585248767,-0.0004186118767101522,1.1554035852487691e-05,1.107909782730864e-05,-6.5897519165230645e-06,-11.36847575757317,,1.5630498691114764e-08,-0.0003785384053537966,0,1
-6.983983,-0.000366,-0.00037613694902096176,-0.00041718059321689343,1.013694902096175e-05,9.977244612483754e-06,-6.809346987523823e-06,-11.499323490583095,,1.6967038679977226e-08,-0.0003761199819822818,0,1
-6.819064,-0.000365,-0.00037367571734686476,-0.00041571810567170807,8.675717346864778e-06,8.85322179151115e-06,-6.731281376604336e-06,-11.654982544268844,,1.8445484120106644e-08,-0.00037365727186274467,0,1
-6.647467,-0.000363,-0.00037111482398964076,-0.00041419091637328004,8.114823989640771e-06,7.713209761942977e-06,-6.782422418007085e-06,-11.721818046741163,,2.0120709949781182e-08,-0.000371094703279691,0,1
-6.482792,-0.000362,-0.00036865723374272,-0.00041272001821418883,6.657233742719977e-06,6.5743669097625095e-06,-6.5493697991077965e-06,-11.91980651364127,,2.1871251072204333e-08,-0.0003686353624916478,0,1
-6.314481,-0.000361,-0.0003661453802613204,-0.00041121120594830114,5.1453802613203896e-06,5.535054671064199e-06,-6.0629399536614146e-06,-12.17741128250358,,2.3817924376850385e-08,-0.0003661215623369435,0,1
-6.149397,-0.000359,-0.00036368168614671483,-0.000409725924517457,4.681686146714836e-06,4.55229705251245e-06,-5.695075705489665e-06,-12.271852225163189,,2.589549530064609e-08,-0.0003636557906514142,0,1
-5.97811,-0.000357,-0.00036112541919287053,-0.00040817912088635263,4.125419192870525e-06,3.622657247948965e-06,-5.3511457801223555e-06,-12.398342920826781,,2.8242898225478974e-08,-0.00036109717629464506,0,1
-5.813357,-0.000356,-0.00035866666488316393,-0.00040668577162515754,2.6666648831639517e-06,2.7531207846360137e-06,-4.809939322584274e-06,-12.83468197376629,,3.0701298733098394e-08,-0.00035863596358443083,0,1
-5.645266,-0.000354,-0.0003561580946557757,-0.00040515649351998903,2.158094655775719e-06,2.024853009425072e-06,-4.120014966472565e-06,-13.046284829358244,,3.343017353024457e-08,-0.00035612466448224547,0,1
-5.480246,-0.000353,-0.0003536953556696098,-0.00040364951910585933,6.953556696098046e-07,1.3794048284882484e-06,-3.446368632619457e-06,-14.178842367449215,,3.63450156635252e-08,-0.0003536590106539463,0,1
-5.315167,-0.000351,-0.0003512317361744136,-0.00040213635564195305,2.3173617441358922e-07,8.872650457761562e-07,-2.655678160853878e-06,-15.277666291610807,,3.9515189630564206e-08,-0.00035119222098478305,0,1
-5.143583,-0.00035,-0.00034867103682765393,-0.0004005575069460316,0.0,4.896552363133231e-07,-2.1341543164936124e-06,,,4.310369019705213e-08,-0.0003486279331374569,0,1
-4.97887,-0.000348,-0.00034621287947322215,-0.0003990360058047179,0.0,1.670890961931751e-07,-1.4809692582829407e-06,,,4.685469752796408e-08,-0.0003461660247756942,0,1
-4.810698,-0.000347,-0.00034370310041140244,-0.00039747654403201525,0.0,0.0,-4.919588795680512e-07,,,5.102145541975271e-08,-0.0003436520789559827,0,1
-4.645759,-0.000345,-0.00034124157025966804,-0.0003959410958218716,0.0,0.0,0.0,,,5.546783966268154e-08,-0.00034118610242000536,0,1
-4.474005,-0.000343,-0.00033867833385299047,-0.00039433585123576677,0.0,0.0,0.0,,,6.051026230638083e-08,-0.0003386178235906841,0,1
-4.309461,-0.000342,-0.0003362226986345947,-0.00039279183974993916,0.0,0.0,0.0,,,6.57704085650413e-08,-0.0003361569282260296,0,1
-4.141432,-0.00034,-0.00033371505368788237,-0.0003912088377194544,0.0,0.0,0.0,,,7.161414025351651e-08,-0.0003336434395476289,0,1
-3.976544,-0.000339,-0.0003312542846541233,-0.0003896491751621981,0.0,0.0,0.0,,,7.785311078884338e-08,-0.00033117643154333446,0,1
-3.811507,-0.000337,-0.0003287912919619657,-0.00038808182664780666,0.0,0.0,0.0,,,8.464200454082192e-08,-0.0003287066499574249,0,1
-3.643256,-0.000335,-0.0003262803339134783,-0.000386477411761007,0.0,0.0,0.0,,,9.21728519319517e-08,-0.0003261881610615463,0,1
-3.478196,-0.000334,-0.00032381699797203763,-0.00038489692697071104,0.0,0.0,0.0,,,1.0021161358871859e-07,-0.0003237167863584489,0,1
-3.306874,-0.000332,-0.00032126020868232784,-0.00038324958889054294,0.0,0.0,0.0,,,1.0929764246892741e-07,-0.0003211509110398589,0,1
-3.142037,-0.00033,-0.0003188002007665442,-0.00038165789533210255,0.0,0.0,0.0,,,1.1881650181802486e-07,-0.0003186813842647261,0,1
-2.973582,-0.000328,-0.0003162861982461553,-0.00038002437808301045,0.0,0.0,0.0,,,1.2940132678094707e-07,-0.00031615679691937435,0,1
-2.808655,-0.000327,-0.00031382484718100334,-0.0003784182406746,0.0,0.0,0.0,,,1.4067745330788966e-07,-0.00031368416972769544,0,1
-2.637183,-0.000325,-0.00031126581930901307,-0.0003767411046825133,0.0,0.0,0.0,,,1.5344411566732244e-07,-0.00031111237519334574,0,1
-2.472792,-0.000323,-0.00030881246744454336,-0.0003751261865440221,0.0,0.0,0.0,,,1.667700584765604e-07,-0.0003086456973860668,0,1
-2.307792,-0.000322,-0.0003063500269360149,-0.0003734982645013539,0.0,0.0,0.0,,,1.8130922863359542e-07,-0.00030616871770738126,0,1
-2.139481,-0.00032,-0.00030383817345461527,-0.00037183033234024774,0.0,0.0,0.0,,,1.9744684390314604e-07,-0.0003036407266107121,0,1
-1.974472,-0.000318,-0.00030137559863115,-0.00037018782709329333,0.0,0.0,0.0,,,2.1466142370773027e-07,-0.00030116093720744226,0,1
-1.80309,-0.000316,-0.000298817913908528,-0.00036847413363338597,0.0,0.0,0.0,,,2.3413155275480685e-07,-0.0002985837823557732,0,1
-1.638253,-0.000315,-0.00029635790599274434,-0.00036681833220469554,0.0,0.0,0.0,,,2.545223431645121e-07,-0.0002961033836495798,0,1
-1.470022,-0.000313,-0.00029384724642189436,-0.00036512069537360844,0.0,0.0,0.0,,,2.7716513430676e-07,-0.0002935700812875876,0,1
-1.304943,-0.000311,-0.00029138362692669815,-0.00036344715770618874,0.0,0.0,0.0,,,3.0134071044310433e-07,-0.00029108228621625503,0,1
-1.13329,-0.000309,-0.0002888218978320894,-0.0003616987622973228,0.0,0.0,0.0,,,3.2871791285821213e-07,-0.0002884931799192312,0,1
-0.968563,-0.000307,-0.00028636353154331146,-0.00036001292865692875,0.0,0.0,0.0,,,3.5732642715093714e-07,-0.00028600620511616055,0,1
-0.80398,-0.000305,-0.0002839073142935227,-0.00035832064767125763,0.0,0.0,0.0,,,3.8839642296966447e-07,-0.000283518917870553,0,1
-0.63585,-0.000303,-0.00028139816203474156,-0.00035658360294567434,0.0,0.0,0.0,,,4.2292726650237955e-07,-0.0002809752347682392,0,1
-0.47075,-0.000301,-0.0002789342291380261,-0.0003548695887741856,0.0,0.0,0.0,,,4.5982175609029854e-07,-0.0002784744073819358,0,1
-0.302418,-0.0003,-0.00027642206225510723,-0.00035311345541049106,0.0,0.0,0.0,,,5.007539939290387e-07,-0.0002759213082611782,0,1
-0.137763,-0.000298,-0.00027396477048582387,-0.00035138719148825563,0.0,0.0,0.0,,,5.443150559272323e-07,-0.0002734204554298966,0,1
0.037818,-0.000296,-0.0002713444203832303,-0.0003495369852321697,0.0,0.0,0.0,,,5.949495134577998e-07,-0.0002707494708697725,0,1
0.2025,-0.000293,-0.00026888672566913646,-0.0003477926833204767,0.0,0.0,0.0,,,6.467135782156685e-07,-0.0002682400120909208,0,1
0.370919,-0.000292,-0.00026637326040849493,-0.00034599970424550636,0.0,0.0,0.0,,,7.043135220675754e-07,-0.00026566894688642733,0,1
0.53563,-0.000289,-0.00026391513290182684,-0.00034423716776067195,0.0,0.0,0.0,,,7.656041386447834e-07,-0.00026314952876318207,0,1
0.700423,-0.000287,-0.0002614557816368455,-0.00034246467604661713,0.0,0.0,0.0,,,8.32262945882799e-07,-0.00026062351869096266,0,1
0.872063,-0.000285,-0.00025889424655270107,-0.0003406087323622036,0.0,0.0,0.0,,,9.078691571493663e-07,-0.0002579863773955517,0,1
1.036653,-0.000284,-0.0002564379248357392,-0.0003388194719998814,0.0,0.0,0.0,,,9.868130560549358e-07,-0.00025545111177968427,0,1
1.20492,-0.000281,-0.0002539267280051419,-0.0003369804179121981,0.0,0.0,0.0,,,1.074621418200272e-06,-0.00025285210658694166,0,1
1.369602,-0.000279,-0.0002514690332910481,-0.0003351707752509801,0.0,0.0,0.0,,,1.1681197259114815e-06,-0.0002503009135651366,0,1
1.541272,-0.000277,-0.0002489070504904476,-0.0003332738831978728,0.0,0.0,0.0,,,1.2742559231738676e-06,-0.0002476327945672737,0,1
1.706126,-0.000275,-0.0002464467888686721,-0.00033144208746489583,0.0,0.0,0.0,,,1.385244289747673e-06,-0.0002450615445789244,0,1
1.874465,-0.000272,-0.00024393451751858014,-0.00032956106110362213,0.0,0.0,0.0,,,1.508560787583267e-06,-0.0002424259567309969,0,1
2.039348,-0.00027,-0.00024147382310423047,-0.000327708185617771,0.0,0.0,0.0,,,1.63998132525671e-06,-0.00023983384177897376,0,1
