bias_voltage_v,probe_current_a,ion_current_a,corrected_ion_current_a,electron_current_a,electron_current_smooth_a,dIe_dV_a_per_v,ln_electron_current,semilog_fit_ln_current,semilog_fit_current_a,legacy_total_model_a,semilog_window,legacy_model_valid
-21.000296,-0.000641,-0.0007941099621275635,-0.0007130635204242618,0.0001531099621275635,0.00010323936427144163,-1.9156045605205534e-06,-8.784354188001728,,2.0483874312685664e-10,-0.0007941097572888204,0,1
-9.824155,-0.00053,-0.000571585365738238,-0.0005988215228504584,4.1585365738238e-05,8.18302976028209e-05,-0.00010252202600802914,-10.087762237726473,,2.3611320343759505e-08,-0.0005715617544178942,0,1
-9.655877,-0.000528,-0.000568234835887979,-0.0005969343376570705,4.0234835887978946e-05,6.43231851477893e-05,-9.425239888903781e-05,-10.120777373211853,,2.5360814669205475e-08,-0.0005682094750733098,0,1
-9.490884,-0.000526,-0.0005649497126301332,-0.0005950781819748057,3.894971263013322e-05,5.035505000273893e-05,-7.40313168383129e-05,-10.153239163591724,,2.720195575555938e-08,-0.0005649225106743776,0,1
-9.319571,-0.000525,-0.0005615387538581167,-0.0005931447803626582,3.6538753858116686e-05,3.956291526406182e-05,-5.553850483319396e-05,-10.217137111095768,,2.925519084375558e-08,-0.0005615094986672729,0,1
-9.154559,-0.000523,-0.000558253252297301,-0.0005912765130370744,3.5253252297300953e-05,3.158380402815006e-05,-4.0713555967428265e-05,-10.252952769208816,,3.137930858732187e-08,-0.0005582218729887137,0,1
-8.986712,-0.000521,-0.0005549113039512521,-0.0005893700720571536,3.3911303951252155e-05,2.605473939139569e-05,-2.684799052341032e-05,-10.291762149270484,,3.369820660468671e-08,-0.0005548776057446474,0,1
-8.821686,-0.00052,-0.0005516255236408798,-0.0005874896411802277,3.1625523640879867e-05,2.261274445019079e-05,-1.554035122223345e-05,-10.361546053239286,,3.614513122800426e-08,-0.0005515893785096518,0,1
-8.650106,-0.000518,-0.0005482092487166031,-0.0005855281255631726,3.0209248716603094e-05,2.089484230092743e-05,-6.010877695223539e-06,-10.407362431573928,,3.887781654051628e-08,-0.0005481703709000626,0,1
-8.485046,-0.000516,-0.0005449227914430217,-0.0005836349257386641,2.8922791443021707e-05,2.053805603999766e-05,8.661794027359275e-07,-10.450880642405686,,4.1701449931695086e-08,-0.00054488108999309,0,1
-8.320185,-0.000514,-0.0005416402963952819,-0.0005817378583641228,2.7640296395281907e-05,2.117940876379341e-05,1.5586225899766676e-05,-10.496235835703997,,4.472637846080296e-08,-0.0005415955700168211,0,1
-8.152338,-0.000513,-0.0005382983480492331,-0.0005798000541751002,2.5298348049233085e-05,2.5794198928416915e-05,8.981443487403486e-06,-10.584771458859294,,4.803161095335584e-08,-0.0005382503164382798,0,1
-7.987172,-0.000511,-0.0005350097802432937,-0.0005778868592336174,2.400978024329377e-05,2.42688179137051e-05,-8.992700322151776e-06,-10.637049300488794,,5.152238949515207e-08,-0.0005349582578537985,0,1
-7.815674,-0.000509,-0.000531595137994992,-0.0005758935917586436,2.259513799499199e-05,2.276981347367614e-05,-8.937904199754376e-06,-10.697775807795406,,5.5415713559466694e-08,-0.0005315397222814325,0,1
-7.651087,-0.000507,-0.0005283180984742907,-0.0005739741393900479,2.1318098474290776e-05,2.1267593858050488e-05,-9.06873969902984e-06,-10.755954152405494,,5.9428526580931634e-08,-0.0005282586699477098,0,1
-7.482825,-0.000505,-0.0005249678871949537,-0.0005720051699889989,1.9967887194953645e-05,1.975172706581592e-05,-8.913855432477242e-06,-10.821385215084398,,6.383148353113479e-08,-0.0005249040557114225,0,1
-7.318083,-0.000503,-0.000521687761518446,-0.0005700708022689991,1.8687761518446045e-05,1.8298581762503636e-05,-8.474202061717863e-06,-10.887641712613172,,6.845821400405861e-08,-0.000521619303304442,0,1
