bias_voltage_v,probe_current_a,ion_current_a,corrected_ion_current_a,electron_current_a,electron_current_smooth_a,dIe_dV_a_per_v,ln_electron_current,semilog_fit_ln_current,semilog_fit_current_a,legacy_total_model_a,semilog_window,legacy_model_valid
-21.000607,-0.000619,-0.0008028629354630225,-0.0007439458866088756,0.0001838629354630225,0.00011827028691308983,-2.405933215542446e-06,-8.601319993904879,,3.907379714037993e-07,-0.0008024721974916187,0,1
-9.824518,-0.00049,-0.0005303944277367122,-0.0006180457168905534,4.039442773671217e-05,9.138136316813128e-05,-0.00012829200873260975,-10.116818709819121,,4.8584174504079145e-06,-0.0005255360102863042,0,1
-9.655268,-0.000489,-0.0005262681815218978,-0.0006159413135798833,3.72681815218978e-05,6.93452806393712e-05,-0.00011853922126366231,-10.197370637670511,,5.0474441496162284e-06,-0.0005212207373722815,0,1
-9.490798,-0.000489,-0.0005222584697644353,-0.0006138894322474784,3.3258469764435345e-05,5.171256627895317e-05,-9.388639061830145e-05,-10.311201093543072,,5.238175599575659e-06,-0.0005170202941648597,0,1
-9.319905,-0.000485,-0.0005180921678773555,-0.0006117501287687059,3.309216787735549e-05,3.803374703902074e-05,-7.070128208075547e-05,-10.316213923599662,,5.44399435423872e-06,-0.0005126481735231168,0,1
-9.154963,-0.000485,-0.0005140709489517194,-0.0006096782031473571,2.9070948951719414e-05,2.7859349871717473e-05,-5.21348854980425e-05,-10.445771200248284,,5.65031195348677e-06,-0.0005084206369982327,0,1
-8.987119,-0.000468,-0.0005099789804454902,-0.0006075625706781163,4.197898044549023e-05,2.0739901729186944e-05,-3.481627369649874e-05,-10.078341530539172,,5.868287915324582e-06,-0.0005041106925301656,0,1
-8.82201,-0.000484,-0.0005059536901277249,-0.0006054741995732512,2.195369012772489e-05,1.622592956357271e-05,-2.0675345803937576e-05,-10.726575317414554,,6.090914868450933e-06,-0.000499862775259274,0,1
-8.650618,-0.000464,-0.0005017752228234445,-0.0006032987114228966,3.7775222823444466e-05,1.3867960327018314e-05,-8.759923778674875e-06,-10.183857151121492,,6.330951922997332e-06,-0.0004954442709004471,0,1
-8.485548,-0.000477,-0.0004977508833098292,-0.00060119602680177,2.0750883309829187e-05,1.3216520971667367e-05,-1.280530221986747e-07,-10.782921743045213,,6.571073301088215e-06,-0.000491179810008741,0,1
-8.320951,-0.000487,-0.000493738075343981,-0.0005990920190831464,6.738075343981002e-06,1.3822138449663354e-05,1.931979164856927e-05,-11.907736231092148,,6.8195745528572345e-06,-0.00048691850079112377,0,1
-8.152939,-0.000466,-0.0004896420110660289,-0.0005969367098759438,2.364201106602894e-05,1.9750389629289497e-05,1.1164791367325643e-05,-10.652485298569667,,7.082926308630847e-06,-0.00048255908475739807,0,1
-7.987851,-0.000467,-0.00048561723271972905,-0.0005948113035752066,1.8617232719729028e-05,1.76809562051949e-05,-1.2640618160880232e-05,-10.891422915864341,,7.351598536698818e-06,-0.0004782656341830302,0,1
-7.815532,-0.000467,-0.0004814161655321923,-0.0005925846713639715,1.4416165532192288e-05,1.5483800630232522e-05,-1.3696935548744857e-05,-11.147160374631454,,7.642915551183799e-06,-0.00047377324998100853,0,1
-7.651787,-0.00045,-0.0004774241289800814,-0.0005904610483992719,2.7424128980081403e-05,1.3093734762163918e-05,-1.4055542501155815e-05,-10.5040873123773,,7.930427223875719e-06,-0.0004694937017562057,0,1
-7.48402,-0.000473,-0.0004733340377025585,-0.0005882773129956953,3.3403770255846944e-07,1.0828622637385425e-05,-1.3975237503041479e-05,-14.912011968428809,,8.2362217337417e-06,-0.00046509781596881675,0,1
-7.318838,-0.000463,-0.00046930696767446124,-0.0005861192762610119,6.306967674461262e-06,8.443123581816838e-06,-1.028125923266895e-05,-11.973855555638965,,8.548822421676127e-06,-0.00046075814525278514,0,1
-7.147948,-0.000454,-0.00046514073892616213,-0.0005838782724654119,1.1140738926162152e-05,7.421694809607116e-06,-9.382358229967804e-06,-11.404901994770665,,8.884717327127626e-06,-0.0004562560215990345,0,1
-6.985595,-0.000453,-0.0004611826387683261,-0.000581741223813794,8.182638768326072e-06,5.37320728882325e-06,-7.732952253515254e-06,-11.713495871554958,,9.216049585297717e-06,-0.00045196658918302836,0,1
-6.820594,-0.00047,-0.0004571599814466683,-0.0005795612457631746,0.0,4.916361434513834e-06,-4.731756832470537e-06,,,9.565448570617344e-06,-0.00044759453287605095,0,1
-6.649007,-0.000448,-0.00045297676012163817,-0.0005772855225596992,4.976760121638173e-06,3.7541819055571464e-06,-9.884878769068708e-06,-12.210731456629702,,9.94285087354424e-06,-0.00044303390924809393,0,1
-6.48479,-0.000459,-0.0004489732164013536,-0.0005750991128423766,0.0,1.6418618668281166e-06,-8.658340308159372e-06,,,1.031797989941339e-05,-0.00043865523650194025,0,1
-6.316916,-0.00046,-0.00044488051650731677,-0.0005728553876830121,0.0,9.099201724898737e-07,-4.214829028377281e-06,,,1.0716096191409568e-05,-0.0004341644203159072,0,1
-6.151741,-0.000441,-0.0004408536171363746,-0.0005706391255582653,0.0,2.3733958769813982e-07,-2.753153304600102e-06,,,1.112280141749934e-05,-0.0004297308157188753,0,1
-5.978767,-0.000449,-0.00043663658131503757,-0.0005683089545427872,0.0,0.0,6.329936880271497e-07,,,1.1565265679623675e-05,-0.0004250713156354139,0,1
-5.815126,-0.000439,-0.00043264708024065985,-0.0005660956813375057,0.0,4.1399718250816166e-07,7.099907316842943e-08,,,1.200004711018492e-05,-0.00042064703313047494,0,1
-5.64676,-0.000438,-0.0004285423855865775,-0.0005638094334682177,0.0,0.0,-1.2123305675494521e-06,,,1.2464448408779744e-05,-0.00041607793717779776,0,1
-5.48302,-0.000438,-0.00042455047093243453,-0.0005615770747850034,0.0,0.0,0.0,,,1.2933322220851866e-05,-0.0004116171487115827,0,1
