bias_voltage_v,probe_current_a,ion_current_a,corrected_ion_current_a,electron_current_a,electron_current_smooth_a,dIe_dV_a_per_v,ln_electron_current,semilog_fit_ln_current,semilog_fit_current_a,legacy_total_model_a,semilog_window,legacy_model_valid
-21.000252,-0.000323,-0.0004118234696262906,-0.00035663070937560766,8.882346962629063e-05,5.8373812095256654e-05,-1.1583180699158118e-06,-9.328859645293242,,3.942577386159234e-14,-0.00041182346958686485,0,1
-9.823538,-0.000273,-0.00029399583040275575,-0.00028782471046349516,2.0995830402755725e-05,4.542762230677562e-05,-6.206615889295324e-05,-10.771186692204687,,2.5469204417559074e-10,-0.00029399557571071155,0,1
-9.655368,-0.000272,-0.00029222294133283576,-0.00028666333519125435,2.022294133283576e-05,3.483583738985783e-05,-5.7080941087939906e-05,-10.808692888441,,2.906336771364222e-10,-0.00029222265069915864,0,1
-9.490516,-0.000271,-0.0002904850314264645,-0.0002855202888363476,1.9485031426464533e-05,2.6379636040961645e-05,-4.484904016548581e-05,-10.84586400632068,,3.3078465942177407e-10,-0.0002904847006418051,0,1
-9.319079,-0.000271,-0.00028867770084740836,-0.00028432670936634106,1.7677700847408388e-05,1.984019695654544e-05,-3.3662904231284776e-05,-10.943206551778443,,3.7843357941165464e-10,-0.00028867732241382897,0,1
-9.154124,-0.00027,-0.00028693870508996854,-0.0002831735097285695,1.693870508996854e-05,1.499869883306758e-05,-2.4723941643257313e-05,-10.985909312632106,,4.3074892549389833e-10,-0.00028693827434104303,0,1
-8.986101,-0.000269,-0.000285167365729826,-0.0002819940134260115,1.6167365729826018e-05,1.1636320366986427e-05,-1.6346983484630736e-05,-11.032515808603646,,4.914786388551992e-10,-0.0002851668742511871,0,1
-8.821256,-0.000268,-0.00028342952961915845,-0.00028083201201798053,1.5429529619158443e-05,9.534240254760348e-06,-9.5327811462729e-06,-11.079227376878345,,5.593732373437948e-10,-0.0002834289702459211,0,1
-8.649724,-0.000267,-0.0002816211975269808,-0.00027961774692208887,1.462119752698081e-05,8.473637192847712e-06,-3.7670439516283913e-06,-11.133038196806892,,6.399976445557037e-10,-0.00028162055752933623,0,1
-8.484562,-0.000267,-0.00027988001952516044,-0.0002784435707583704,1.2880019525160458e-05,8.2356898777069e-06,3.900128017144086e-07,-11.259833321360608,,7.285904608152061e-10,-0.00027987929093469964,0,1
-8.31962,-0.000266,-0.00027814116081688464,-0.00027726599615831763,1.2141160816884621e-05,8.601577005796212e-06,9.325764857253765e-06,-11.318909157720897,,8.293036680656635e-10,-0.0002781403315132166,0,1
-8.151826,-0.000265,-0.0002763722356304771,-0.00027606290615438773,1.1372235630477097e-05,1.1379599177770504e-05,5.31222111379659e-06,-11.384335644158288,,9.46054078547219e-10,-0.00027637128957639853,0,1
-7.986822,-0.000264,-0.00027463272330311144,-0.00027487468545708707,1.0632723303111418e-05,1.0431693061006033e-05,-5.392536100189227e-06,-11.45157420810063,,1.0768797342974508e-09,-0.00027463164642337713,0,1
-7.815197,-0.000263,-0.00027282341078229907,-0.00027363331149085493,9.823410782299077e-06,9.569072684103729e-06,-5.260226105389559e-06,-11.530742165730038,,1.2321840989750532e-09,-0.0002728221785982001,0,1
-7.650509,-0.000262,-0.00027108722980384277,-0.0002724367952459018,9.087229803842747e-06,8.665791993278257e-06,-5.5946623212734426e-06,-11.608640448273734,,1.4022295491091834e-09,-0.00027108582757429366,0,1
-7.482244,-0.000262,-0.00026931333922080127,-0.0002712088388885101,7.313339220801245e-06,7.7055185875216e-06,-5.79141485829102e-06,-11.825810586753548,,1.6002287126368146e-09,-0.00026931173899208866,0,1
-7.317682,-0.000261,-0.00026757848656501146,-0.00027000250448648696,6.578486565011457e-06,6.7388717082985565e-06,-5.6980591484328814e-06,-11.931705844399735,,1.8208854215991794e-09,-0.00026757666567958985,0,1
-7.14615,-0.00026,-0.0002657701544728338,-0.00026873931206411466,5.770154472833824e-06,5.792940489974132e-06,-5.524427472227856e-06,-12.06281170608099,,2.0833359607318044e-09,-0.0002657680711368731,0,1
-6.984266,-0.000259,-0.00026406353394482687,-0.00026754169891918424,5.0635339448268585e-06,4.897123403074112e-06,-5.274618093889929e-06,-12.19344591036977,,2.3656305387853115e-09,-0.0002640611683142881,0,1
