Bias Voltage (V)	Probe Current (A)
-21.000465	-0.002507
-9.788096	-0.002318
-9.590192	-0.002307
-9.389186	-0.002305
-9.184601	-0.002295
-8.986737	-0.002294
-8.785879	-0.002286
-8.587728	-0.002283
-8.386539	-0.002279
-8.185060	-0.002276
-7.980727	-0.002269
-7.783007	-0.002262
-7.582280	-0.002253
-7.384068	-0.002252
-7.182847	-0.002248
-6.984908	-0.002247
-6.777051	-0.002239
-6.579266	-0.002235
-6.377978	-0.002228
-6.179932	-0.002225
-5.978722	-0.002218
-5.780859	-0.002215
-5.576483	-0.002205
-5.375167	-0.002202
-5.173768	-0.002200
-4.976542	-0.002194
-4.774949	-0.002185
-4.577328	-0.002181
-4.375654	-0.002178
-4.171391	-0.002178
-3.970268	-0.002169
-3.772411	-0.002164
-3.571301	-0.002160
-3.373331	-0.002154
-3.172045	-0.002149
-2.967438	-0.002140
-2.769497	-0.002132
-2.568452	-0.002129
-2.367227	-0.002125
-2.169358	-0.002122
-1.968250	-0.002118
-1.763641	-0.002108
-1.565559	-0.002099
-1.364335	-0.002094
-1.166333	-0.002089
-0.965262	-0.002080
-0.764604	-0.002076
-0.559915	-0.002073
-0.362266	-0.002067
-0.161002	-0.002061
0.040584	-0.002054
0.241386	-0.002047
0.442887	-0.002036
0.647540	-0.002028
0.845110	-0.002024
1.045901	-0.002009
1.244061	-0.002002
1.445154	-0.001995
1.643237	-0.001987
1.844421	-0.001974
2.048689	-0.001965
2.250119	-0.001948
2.447781	-0.001939
2.648775	-0.001926
2.846518	-0.001909
3.047530	-0.001899
3.252350	-0.001880
3.453362	-0.001862
3.651673	-0.001842
3.852789	-0.001821
4.050886	-0.001801
4.252113	-0.001774
4.455933	-0.001743
4.657172	-0.001712
4.855067	-0.001683
5.056491	-0.001645
5.254534	-0.001604
5.455584	-0.001564
5.659966	-0.001510
5.857995	-0.001462
6.058850	-0.001398
6.260301	-0.001327
6.457763	-0.001255
6.659234	-0.001177
6.856983	-0.001096
7.059728	-0.001008
7.261539	-0.000891
7.462892	-0.000774
7.661361	-0.000646
7.862130	-0.000504
8.059677	-0.000372
8.265595	-0.000201
8.465404	-0.000135
8.666906	3.728799E-5
8.866690	0.000177
9.068578	0.000408
9.267688	0.000605
9.471313	0.000819
9.670930	0.001025
9.868692	0.001071
10.069191	0.001338
10.267837	0.001558
10.468495	0.001784
10.673298	0.001996
10.874928	0.002235
11.072984	0.002409
11.274241	0.002606
11.470839	0.002789
11.671929	0.002949
11.877244	0.003146
12.079641	0.003315
12.276726	0.003473
12.477898	0.003646
12.676110	0.003767
12.877366	0.003913
13.076142	0.004027
13.284350	0.004171
13.482877	0.004301
13.684155	0.004428
13.882755	0.004531
14.085156	0.004622
14.283035	0.004741
14.487569	0.004874
14.690497	0.004990
14.891581	0.005072
15.088907	0.005194
15.292186	0.005284
15.489841	0.005392
15.695598	0.005460
15.897403	0.005539
16.099081	0.005623
16.297077	0.005734
16.497835	0.005831
16.697159	0.005923
16.901651	0.005987
17.103853	0.006044
17.302725	0.006128
17.504816	0.006204
17.705622	0.006295
17.903601	0.006341
18.105970	0.006436
18.310284	0.006509
18.509089	0.006575
18.710165	0.006650
18.912556	0.006699
19.110439	0.006767
19.312737	0.006837
19.517179	0.006885
19.717356	0.006975
19.917261	0.007035
20.116093	0.007070
20.320318	0.007142
20.519007	0.007204
20.726318	0.007312
20.923828	0.007365
21.125246	0.007429
21.323195	0.007465
21.525082	0.007561
21.724108	0.007617
21.929621	0.007620
22.130726	0.007683
22.331226	0.007730
22.529993	0.007757
22.732067	0.007843
22.931057	0.007889
23.135023	0.008004
23.335897	0.008019
23.537476	0.008042
23.736494	0.008029
23.938702	0.008097
24.139402	0.008144
24.339977	0.008199
24.544168	0.008258
24.744629	0.008324
24.943594	0.008350
25.146402	0.008413
25.344337	0.008466
25.546572	0.008558
25.751883	0.008604
25.947664	0.008671
26.150280	0.008724
26.352655	0.008760
26.550041	0.008843
26.750870	0.008881
26.956274	0.009012
27.153330	0.009039
27.356508	0.009081
27.556536	0.009097
27.754923	0.009111
27.955843	0.009273
28.159607	0.009282
28.356173	0.009276
28.558020	0.009324
28.756903	0.009338
28.956278	0.009393
29.159063	0.009469
29.356352	0.009509
29.560804	0.009527
29.762873	0.009612
29.947933	0.009691
30.160954	0.009702
30.361122	0.009794
30.560371	0.009820
30.765190	0.009870
30.966127	0.009876
31.162956	0.009973
31.353523	0.010005
31.560760	0.009557
31.764116	0.009660
31.966412	0.009472
32.168625	0.009663
32.365353	0.009888
32.567993	0.010027
32.759380	0.010101
32.957737	0.010174
33.170849	0.009784
33.372089	0.010143
33.569702	0.010250
33.770866	0.010358
33.968575	0.010449
34.170227	0.010526
34.374897	0.010569
34.572727	0.010617
34.773533	0.010748
34.973434	0.010795
35.172504	0.010784
35.373886	0.010824
35.571198	0.010853
35.775585	0.010891
35.977482	0.010919
36.178616	0.010955
36.376369	0.011058
36.577320	0.011115
36.775387	0.011142
36.979401	0.011252
37.181175	0.011246
37.378895	0.011150
37.580288	0.011193
37.781425	0.011224
37.979553	0.011252
38.183960	0.011269
38.384632	0.011280
38.583038	0.011253
38.784870	0.011336
38.984768	0.011462
39.182976	0.011412
39.387066	0.011475
39.589012	0.011490
39.786732	0.011564
39.987926	0.011528
