Bias Voltage (V)	Probe Current (A)
-21.000357	-0.003678
-9.788600	-0.003439
-9.590279	-0.003413
-9.389391	-0.003399
-9.185060	-0.003377
-8.987475	-0.003359
-8.786296	-0.003353
-8.588440	-0.003346
-8.386827	-0.003327
-8.185732	-0.003323
-7.981856	-0.003306
-7.783280	-0.003286
-7.582522	-0.003275
-7.384727	-0.003260
-7.183227	-0.003245
-6.985541	-0.003234
-6.777463	-0.003221
-6.579586	-0.003210
-6.378112	-0.003194
-6.180507	-0.003183
-5.979104	-0.003168
-5.780859	-0.003157
-5.576582	-0.003166
-5.375554	-0.003133
-5.174329	-0.003123
-4.976466	-0.003103
-4.774927	-0.003100
-4.577094	-0.003086
-4.375956	-0.003073
-4.172120	-0.003060
-3.970436	-0.003045
-3.772524	-0.003039
-3.571129	-0.003024
-3.373640	-0.003011
-3.171727	-0.002994
-2.967381	-0.002989
-2.769531	-0.002980
-2.568532	-0.002962
-2.367499	-0.002944
-2.169958	-0.002925
-1.968423	-0.002926
-1.763400	-0.002911
-1.566028	-0.002895
-1.364424	-0.002888
-1.166098	-0.002874
-0.965097	-0.002870
-0.764505	-0.002860
-0.560385	-0.002847
-0.362202	-0.002835
-0.160514	-0.002823
0.040543	-0.002801
0.241464	-0.002793
0.442770	-0.002786
0.647684	-0.002768
0.845160	-0.002759
1.045920	-0.002750
1.244148	-0.002743
1.445466	-0.002719
1.643225	-0.002706
1.844422	-0.002684
2.048892	-0.002664
2.249876	-0.002653
2.447751	-0.002641
2.649037	-0.002617
2.846729	-0.002608
3.047506	-0.002579
3.252319	-0.002563
3.453529	-0.002545
3.651160	-0.002528
3.852510	-0.002501
4.050684	-0.002473
4.252039	-0.002457
4.456260	-0.002424
4.657486	-0.002391
4.855483	-0.002350
5.056395	-0.002337
5.254629	-0.002291
5.455573	-0.002246
5.659966	-0.002206
5.858150	-0.002165
6.059313	-0.002124
6.260241	-0.002055
6.457923	-0.002006
6.659314	-0.001933
6.857129	-0.001878
7.061629	-0.001790
7.263031	-0.001706
7.464251	-0.001609
7.662295	-0.001510
7.862906	-0.001403
8.061354	-0.001289
8.265447	-0.001165
8.466585	-0.001011
8.663500	-0.000892
8.864528	-0.000725
9.066687	-0.000536
9.266047	-0.000354
9.468956	-0.000183
9.672883	-2.635405E-5
9.755700	9.565592E-5
10.070407	0.000347
10.268312	0.000630
10.469425	0.000861
10.672853	0.000908
10.874772	0.001254
11.072721	0.001531
11.273707	0.001795
11.470695	0.002015
11.672662	0.002273
11.877318	0.002532
12.077793	0.002778
12.277156	0.002992
12.477580	0.003191
12.676481	0.003469
12.877368	0.003684
13.076238	0.003903
13.284260	0.004121
13.483437	0.004277
13.683540	0.004542
13.882388	0.004651
14.085620	0.004849
14.283688	0.005060
14.488237	0.005168
14.687720	0.005309
14.891560	0.005533
15.088595	0.005605
15.292199	0.005784
15.491581	0.005924
15.694180	0.006116
15.899066	0.006255
16.098988	0.006381
16.297918	0.006448
16.497623	0.006628
16.696779	0.006700
16.902304	0.006890
17.104799	0.006982
17.301687	0.007053
17.504467	0.007223
17.707035	0.007319
17.905235	0.007471
18.105804	0.007541
18.309868	0.007638
18.509235	0.007765
18.710558	0.007831
18.912735	0.007972
19.113035	0.008081
19.313643	0.008174
19.517872	0.008328
19.715021	0.008407
19.917051	0.008466
20.116831	0.008512
20.315706	0.008653
20.520601	0.008689
20.725334	0.008821
20.922180	0.008873
21.125475	0.008957
21.322601	0.009063
21.523909	0.009122
21.723259	0.009151
21.931978	0.009263
22.130362	0.009347
22.333973	0.009483
22.529839	0.009523
22.730871	0.009614
22.929796	0.009738
23.135208	0.009807
23.335041	0.009897
23.537895	0.009997
23.733286	0.010093
23.932245	0.010130
24.126896	0.010190
24.321199	0.010262
24.541700	0.009691
24.742348	0.010240
24.942160	0.010402
25.143570	0.010527
25.341732	0.010575
25.543726	0.010759
25.748222	0.010812
25.946615	0.010886
26.149231	0.011018
26.350548	0.011134
26.547653	0.011182
26.749578	0.011324
26.954111	0.011372
27.151323	0.011379
27.353502	0.011445
27.554901	0.011505
27.752516	0.011587
27.952427	0.011629
28.157209	0.011734
28.355185	0.011778
28.556587	0.011872
28.753536	0.011889
28.956280	0.012016
29.156607	0.012102
29.353935	0.012169
29.559942	0.012231
29.760656	0.012315
29.959076	0.012393
30.159925	0.012398
30.360905	0.012497
30.559086	0.012531
30.763786	0.012631
30.964392	0.012659
31.162231	0.012713
31.363756	0.012847
31.561192	0.012921
31.762072	0.012973
31.966354	0.012999
32.167641	0.012979
32.365559	0.013098
32.566353	0.013149
32.765167	0.013168
32.965202	0.013256
33.171494	0.013326
33.372089	0.013419
33.570644	0.013473
33.771503	0.013543
33.968548	0.013571
34.170860	0.013700
34.374432	0.014202
34.571960	0.013884
34.773769	0.013946
34.974888	0.014078
35.173237	0.014069
35.373627	0.014139
35.571697	0.014172
35.776085	0.014325
35.977715	0.014300
36.178841	0.014342
36.375946	0.014406
36.577671	0.014484
36.775543	0.014577
36.979694	0.014594
37.181557	0.014465
37.379375	0.014544
37.580933	0.014697
37.781734	0.014718
37.979610	0.014947
38.183170	0.014889
38.385395	0.014986
38.583088	0.015032
38.783474	0.015079
38.985207	0.015168
39.181732	0.015094
39.387329	0.015163
39.588676	0.015178
39.787014	0.015249
39.987225	0.015395
