Filename,Te_eV,Te_uncertainty_eV,Vp_V,Vp_uncertainty_V,Flow,Current
LP_10sccm_10A.txt,8.3556,0.9693,11.2227,1.8364,10,10
LP_10sccm_12p5A.txt,10.0186,1.4489,11.7100,2.9460,10,12.5
LP_10sccm_15A.txt,7.4583,0.1259,10.3891,0.8862,10,15
LP_10sccm_17p5A1.txt,7.2861,0.2124,12.4876,1.6851,10,17.5
LP_10sccm_20A.txt,7.3440,0.2730,16.2034,4.1584,10,20
LP_10sccm_20A1.txt,7.6947,0.3346,12.0171,1.6332,10,20
LP_10sccm_25A.txt,16.4989,3.4319,19.6858,4.5704,10,25
LP_10sccm_25A1.txt,16.1922,3.3734,19.6874,4.7456,10,25
LP_10sccm_27p5A.txt,17.0992,3.5877,19.6532,4.6110,10,27.5
LP_10sccm_27p5A1.txt,12.3338,1.6170,16.6599,1.9263,10,27.5
LP_15sccm_10A.txt,12.1025,4.2792,11.4747,2.5271,15,10
LP_15sccm_10A1.txt,6.8080,0.1951,13.6558,2.5116,15,10
LP_15sccm_12p5A.txt,7.5765,0.4447,12.7360,1.8734,15,12.5
LP_15sccm_12p5A1.txt,6.9249,0.4482,13.3972,2.8462,15,12.5
LP_15sccm_15A.txt,7.0443,0.6660,10.7852,1.6576,15,15
LP_15sccm_15A1.txt,7.2362,0.4416,9.8669,1.1673,15,15
LP_15sccm_17p5A.txt,7.7095,0.3421,13.7682,1.6013,15,17.5
LP_15sccm_17p5A1.txt,6.9525,0.5825,11.5031,1.7477,15,17.5
LP_15sccm_20A.txt,14.0465,0.1579,78.3097,0.1581,15,20
LP_15sccm_20A1.txt,7.0508,0.2501,13.1375,2.5423,15,20
LP_15sccm_22p5A.txt,0.6827,0.2215,11.3502,0.8955,15,22.5
LP_15sccm_22p5A1.txt,6.9246,0.5032,11.1733,1.7990,15,22.5
LP_15sccm_25A.txt,1.0474,0.3910,12.1779,1.5586,15,25
LP_15sccm_25A1.txt,6.8732,0.4069,10.9646,1.7558,15,25
LP_15sccm_27p5A.txt,7.9582,0.3153,14.1994,2.4317,15,27.5
LP_15sccm_30A.txt,7.2097,0.3042,12.1418,2.2863,15,30
LP_5sccm_10A.txt,13.4447,2.2517,17.4446,4.2740,5,10
LP_5sccm_11A.txt,13.5393,1.9449,17.9038,4.2911,5,11
LP_5sccm_12A.txt,13.5998,1.8105,18.4544,4.1795,5,12
LP_5sccm_13A.txt,1.3141,0.2022,18.1047,0.7698,5,13
LP_5sccm_13A1.txt,16.0753,0.4008,58.8999,1.2731,5,13
LP_5sccm_14A.txt,15.1979,2.1515,15.6225,2.4088,5,14
LP_5sccm_14A1.txt,61.4542,7.6081,416.3918,7.6154,5,14
LP_5sccm_15A.txt,13.7541,2.8704,21.0308,5.7138,5,15
LP_5sccm_15A1.txt,14.0913,2.8149,19.0083,5.1089,5,15
LP_5sccm_16A.txt,12.1360,0.0645,25.9481,0.7900,5,16
LP_5sccm_16A2.txt,14.7492,3.5772,18.6333,5.1611,5,16
LP_5sccm_17A.txt,13.7479,0.3678,26.5890,1.5780,5,17
LP_5sccm_18A.txt,16.4045,0.5777,36.5496,3.3609,5,18
