bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.00042,-0.0005449634195789179,-0.0005540238918870303,-0.0005267932669029631,-0.0005720642012379468,-0.0005104532681097913,1.0
-9.823649,-0.0004036202077228648,-0.0004095110846084479,-0.0003923320114152361,-0.0004198593036937836,-0.0003851676303384285,1.0
-9.655508,-0.00040142829623970714,-0.00040735816254321746,-0.000390308945428248,-0.0004175693930942586,-0.00038328061014528114,1.0
-9.490522,-0.00039927749033763624,-0.00040525989226375435,-0.0003883238033687227,-0.00041532242591274136,-0.0003814289832063058,1.0
-9.319269,-0.000397044957743976,-0.000403105485930264,-0.00038626321383706613,-0.0004129900789183184,-0.0003795070025856232,1.0
-9.154605,-0.00039489829130331467,-0.000401033794067847,-0.0003842818613999116,-0.000410747438551688,-0.0003776332417343821,1.0
-8.986631,-0.00039270843982774933,-0.00039891962521604064,-0.0003822606305720814,-0.0004084596809803956,-0.00037571835045528554,1.0
-8.821466,-0.0003905551716515166,-0.0003968112352899147,-0.0003802731421343504,-0.00040621013866826204,-0.00037383543473018966,1.0
-8.649959,-0.0003883191773047193,-0.00039462184203632495,-0.00037820926671615465,-0.0004038741715445276,-0.0003718801644211259,1.0
-8.484796,-0.00038616584189626283,-0.0003925133855429342,-0.000376221663256697,-0.00040162456131676537,-0.00036999715481162484,1.0
-8.3193,-0.0003840081088216659,-0.00039040062458969496,-0.0003742299746805603,-0.00039937036027512047,-0.0003681102784156194,1.0
-8.152064,-0.0003818276280996623,-0.000388265584365123,-0.0003722172582305946,-0.00039709239378471397,-0.0003662034878583338,1.0
-7.98709,-0.0003796765728599465,-0.00038615935152461596,-0.0003702316691624826,-0.00039484516253101545,-0.00036432240502710375,1.0
-7.815376,-0.0003774375556880779,-0.00038396698709205926,-0.00036816565871747005,-0.00039250603715052055,-0.0003623643736934914,1.0
-7.650631,-0.00037531370673274096,-0.0003818635133958758,-0.0003661853975765687,-0.00039026175641592624,-0.0003604857009444733,1.0
-7.482805,-0.00037316230578636,-0.00037972060456680564,-0.0003641679379486322,-0.0003879754046135372,-0.0003585717628301982,1.0
-7.317937,-0.0003710487148364546,-0.0003776153521361181,-0.0003621858587392953,-0.00038570206755448385,-0.000356691427165045,1.0
-7.14607,-0.0003688452691049906,-0.00037542059167773335,-0.00036012039000269167,-0.00038328813646554575,-0.0003547311131858374,1.0
-6.98464,-0.0003667923624114171,-0.000373294770509083,-0.00035821812732020515,-0.0003810207068205864,-0.0003528896836975121,1.0
-6.819374,-0.00036476710832838294,-0.0003711012452364626,-0.0003562671550955565,-0.00037869929424169213,-0.0003510043196588343,1.0
-6.648099,-0.00036266802885409215,-0.00036882777720405346,-0.0003542256826989397,-0.00037629335899372617,-0.00034905017313660493,1.0
-6.483795,-0.00036065418304592935,-0.0003666466229599264,-0.000352266877966551,-0.00037398522083981477,-0.0003471753265616906,1.0
-6.314866,-0.0003585834239529152,-0.0003644038284802603,-0.00035025244696790665,-0.00037161196377846013,-0.0003452474455413399,1.0
-6.149577,-0.0003565570034516317,-0.00036220910610874955,-0.00034828086602426377,-0.0003692896833091738,-0.00034336082478131277,1.0
-5.978265,-0.0003544564437606777,-0.0003599962503958689,-0.0003462368577118669,-0.00036688257427278803,-0.000341405134972043,1.0
-5.813677,-0.0003523857380215256,-0.00035790807933588014,-0.00034427247119747965,-0.0003645697425472539,-0.00033952583465045875,1.0
-5.645312,-0.0003502441551620606,-0.00035577178211066085,-0.00034226233681136815,-0.00036220360344875235,-0.0003376029876617582,1.0
-5.480283,-0.00034814447854776597,-0.0003536775860259884,-0.0003402912722612694,-0.0003598840887246702,-0.00033571781138292745,1.0
-5.315854,-0.00034605184608515186,-0.00035159073888818484,-0.00033832653477806787,-0.0003575727275991587,-0.0003338390211973835,1.0
-5.143885,-0.0003437832884342282,-0.00034940786549978646,-0.00033627078480651785,-0.0003551550113329259,-0.000331873531889623,1.0
-4.979296,-0.0003416342736401908,-0.00034731834333529525,-0.0003343023144659779,-0.0003528406856467442,-0.00032999179473299753,1.0
-4.810972,-0.00033943573378729267,-0.0003451810314491244,-0.0003322881367954511,-0.00035047343137350605,-0.0003280666281529925,1.0
-4.646155,-0.00033728220784519966,-0.00034308784188410367,-0.0003303147475811609,-0.000348155043672329,-0.0003261808538602052,1.0
-4.474634,-0.00033504019340157567,-0.00034090901052360784,-0.0003282597104523819,-0.0003457418371760865,-0.00032421754615260336,1.0
-4.309801,-0.0003329288781015867,-0.00033881457142594974,-0.0003262834583441127,-0.0003434221176470445,-0.0003223299160645499,1.0
-4.141835,-0.00033078233765109584,-0.0003366797311153097,-0.0003242681727099231,-0.00034105765249025955,-0.00032040543922935726,1.0
-3.977027,-0.0003286749974767384,-0.0003345843850293842,-0.0003222892095204785,-0.00033873694887792433,-0.00031851597642181407,1.0
-3.811655,-0.00032655925147397644,-0.00033248115421087983,-0.00032030167832090736,-0.0003364075200138647,-0.00031661884462185586,1.0
-3.643961,-0.000324412464994375,-0.0003303475735965308,-0.000318284219106024,-0.00033404451544804105,-0.0003146937588323749,1.0
-3.478377,-0.00032229127608363696,-0.0003282398260032613,-0.0003162900848627087,-0.0003317102547775662,-0.00031279147180713647,1.0
