parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,10.527598635880038,10.527598635880038,0.0,10.527598635880038,10.527598635880038,10.527598635880038,10.527598635880038
Vp,17.756460788562787,17.76684832882765,0.07363733979303022,17.713695752141923,17.845927922876538,17.638170564780086,17.88412681461427
Ie_sat,0.0010397036050283001,0.0010421276794623214,1.718427926440544e-05,0.0010297237995291592,0.0010605819831086976,0.0010120989652430464,0.0010694962163639579
ne,4638477335761530.0,4627631773589131.0,99054612705060.88,4538481329599950.0,4739569716954168.0,4409848071254688.5,4771854871516585.0
ni,,,,,,,
Te,3.985162520344124,3.981413171446402,0.014888670000825522,3.9667698008909165,3.993269028222971,3.94262627659494,3.997829095469922
p,1.9021486957151725,1.880871066450031,0.09700397801716032,1.813590203410644,1.9449923707858292,1.610155499908442,1.9893334202047446
I1,-1.2677873780907113e-05,-1.257518453228874e-05,6.621201683735474e-07,-1.3115487768219328e-05,-1.2030224658905958e-05,-1.3909755471955336e-05,-1.1203647575708058e-05
I2,-5.4537520083856525e-05,-5.5775624682844e-05,1.0838097276487421e-05,-6.504443718068298e-05,-4.605805662400643e-05,-7.734446442581033e-05,-3.014744241464966e-05
log10_sigma_I,-4.593005223388964,-4.5953904299096155,0.03723750332382657,-4.637502684547269,-4.552650220722475,-4.6656552524122725,-4.542221320986367
sigma_I,2.55274369597271e-05,2.547698493649081e-05,2.148110068209901e-06,2.304093812313406e-05,2.801347965157444e-05,2.1594579296737706e-05,2.869317975084072e-05
