bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.00042,-1.502643182675851e-05,-1.657128741632956e-05,-1.1129213715651902e-05,-1.8361770738457742e-05,-9.835319888895595e-06,1.0
-9.823649,-1.2711988354375177e-05,-1.3839935533729807e-05,-9.286864305378563e-06,-1.5273769040081536e-05,-8.240989930941216e-06,1.0
-9.655508,-1.2673928079863868e-05,-1.3794567045107266e-05,-9.256287017668713e-06,-1.5222537049455755e-05,-8.214538613717381e-06,1.0
-9.490522,-1.2636468529024655e-05,-1.374989142928591e-05,-9.226184956220874e-06,-1.51720982199293e-05,-8.188490287153504e-06,1.0
-9.319269,-1.2597465897780943e-05,-1.3703348506608352e-05,-9.194835206570556e-06,-1.5119565497984503e-05,-8.161350324776897e-06,1.0
-9.154605,-1.2559846860868208e-05,-1.3658431950225952e-05,-9.16459048820766e-06,-1.5068881281762078e-05,-8.135156699346836e-06,1.0
-8.986631,-1.2521352304564012e-05,-1.3612441069452056e-05,-9.133634581534454e-06,-1.5017001977768313e-05,-8.108333326190574e-06,1.0
-8.821466,-1.2483382619505419e-05,-1.3568913086724172e-05,-9.103093667136699e-06,-1.4965814888732911e-05,-8.081856125006377e-06,1.0
-8.649959,-1.2443828274349416e-05,-1.3525454822728952e-05,-9.071271179597136e-06,-1.4912476371743954e-05,-8.054251090402989e-06,1.0
-8.484796,-1.2405613740249371e-05,-1.3483369626682817e-05,-9.040519875660155e-06,-1.4860929883610425e-05,-8.027557623545398e-06,1.0
-8.3193,-1.2367199367246337e-05,-1.3440931720574438e-05,-9.009601243316337e-06,-1.4809099506626112e-05,-8.000700327596546e-06,1.0
-8.152064,-1.2328254134177943e-05,-1.339779342913562e-05,-8.978249318282227e-06,-1.475653926565077e-05,-7.973443899006043e-06,1.0
-7.98709,-1.2289709034314992e-05,-1.3354945753518707e-05,-8.947213746139214e-06,-1.4704505866477466e-05,-7.946441170442305e-06,1.0
-7.815376,-1.2249453870007411e-05,-1.3310055592322768e-05,-8.914795382902829e-06,-1.465015035971597e-05,-7.918204927053736e-06,1.0
-7.650631,-1.2210700467184984e-05,-1.3266665357148766e-05,-8.883581432818014e-06,-1.4597810628190273e-05,-7.89099143279368e-06,1.0
-7.482805,-1.2171087120420167e-05,-1.3222150958603626e-05,-8.85167045572001e-06,-1.4544298391013136e-05,-7.863135243661645e-06,1.0
-7.317937,-1.2132037503555859e-05,-1.3178070363349926e-05,-8.82020939540567e-06,-1.4491536920913509e-05,-7.835638792754021e-06,1.0
-7.14607,-1.2091185530941382e-05,-1.3131756689062825e-05,-8.78729270132937e-06,-1.4436330330826705e-05,-7.806828253239676e-06,1.0
-6.98464,-1.2052676817278257e-05,-1.3087878505917066e-05,-8.756262108390645e-06,-1.4384283311138858e-05,-7.779627470165754e-06,1.0
-6.819374,-1.2013113610891196e-05,-1.3042582933778332e-05,-8.724379655527168e-06,-1.4330803702320353e-05,-7.751635096272065e-06,1.0
-6.648099,-1.1971959801762873e-05,-1.299518968721486e-05,-8.691214366493227e-06,-1.4275168187466119e-05,-7.722459534292844e-06,1.0
