bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.00042,-2.1011038442246825e-05,-2.1957708647850805e-05,-2.0025251247753534e-05,-2.2771274201883756e-05,-1.8189598627035757e-05,1.0
-9.823649,-1.7741320742503224e-05,-1.8411089395286543e-05,-1.67547135231223e-05,-1.9405165914326275e-05,-1.5380111710814212e-05,1.0
-9.655508,-1.7686241913051768e-05,-1.8351516565805963e-05,-1.6699782029412944e-05,-1.9348441415697592e-05,-1.533244816667443e-05,1.0
-9.490522,-1.7631986270014952e-05,-1.8292839811154717e-05,-1.6645676779435466e-05,-1.9292564626801424e-05,-1.5285484435584146e-05,1.0
-9.319269,-1.7575446945459562e-05,-1.823169933918093e-05,-1.658929973203913e-05,-1.9234335886066457e-05,-1.5236530597129343e-05,1.0
-9.154605,-1.7520866615548005e-05,-1.817268315521858e-05,-1.653488143361116e-05,-1.917812468310856e-05,-1.5189259904623266e-05,1.0
-8.986631,-1.746496812313072e-05,-1.811224766757476e-05,-1.647915436055496e-05,-1.9120555981266763e-05,-1.5140834219744882e-05,1.0
-8.821466,-1.740978433919774e-05,-1.8052590852035148e-05,-1.6424145237885355e-05,-1.906372343604703e-05,-1.5093014330135751e-05,1.0
-8.649959,-1.7352248033970627e-05,-1.799039713750283e-05,-1.6366796787857863e-05,-1.9004468227209358e-05,-1.5043141593098428e-05,1.0
-8.484796,-1.729661248100509e-05,-1.7930264173099218e-05,-1.631134846358888e-05,-1.8947170743289943e-05,-1.4994902489458985e-05,1.0
-8.3193,-1.7240638292193955e-05,-1.7869771298186308e-05,-1.625556817780896e-05,-1.88895247407548e-05,-1.494635582066361e-05,1.0
-8.152064,-1.7183842674580933e-05,-1.7808396946253597e-05,-1.619897498170205e-05,-1.883103306271004e-05,-1.4897082307739161e-05,1.0
-7.98709,-1.712758319577954e-05,-1.7747657703074577e-05,-1.6142921645559474e-05,-1.8773093868614658e-05,-1.4848259495892082e-05,1.0
-7.815376,-1.7068777547393404e-05,-1.7685041370137667e-05,-1.6084337458888755e-05,-1.8712532895294745e-05,-1.4797211601805067e-05,1.0
-7.650631,-1.7012118233662822e-05,-1.762472530328284e-05,-1.6027897312602813e-05,-1.8654182773781083e-05,-1.474801180453993e-05,1.0
-7.482805,-1.695415444415758e-05,-1.7563035733188206e-05,-1.5970163612907224e-05,-1.8594489761266673e-05,-1.4697663820089876e-05,1.0
-7.317937,-1.6896968794313698e-05,-1.7502189432191087e-05,-1.5913210785505873e-05,-1.8535598665936477e-05,-1.4647976292465725e-05,1.0
-7.14607,-1.683709544579107e-05,-1.7438499561604643e-05,-1.5853587394956408e-05,-1.8473940377689313e-05,-1.4595936895447987e-05,1.0
-6.98464,-1.67806133473979e-05,-1.737843236775231e-05,-1.579734690067874e-05,-1.841577511687377e-05,-1.4546829351489849e-05,1.0
-6.819374,-1.6722540541012863e-05,-1.7316689032820487e-05,-1.5739528374114047e-05,-1.8355972490918834e-05,-1.4496322781075803e-05,1.0
