bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000294,-2.6116010698981023e-05,-2.8572394562400252e-05,-2.304426321453682e-05,-3.0131029436503253e-05,-2.188601895932326e-05,1.0
-9.823653,-2.2052611326708214e-05,-2.4023689799132592e-05,-1.9556632740728716e-05,-2.5455400841783776e-05,-1.865332894645514e-05,1.0
-9.65597,-2.198456909373632e-05,-2.3947937212655e-05,-1.9503401949598862e-05,-2.5377346698986097e-05,-1.8598733036867345e-05,1.0
-9.490737,-2.191726844464809e-05,-2.3873025125997508e-05,-1.9450728138133452e-05,-2.530015216450533e-05,-1.8544715528258904e-05,1.0
-9.319115,-2.184709719518168e-05,-2.3794933629859343e-05,-1.9395782958597357e-05,-2.5219674523088067e-05,-1.8488376278520586e-05,1.0
-9.154496,-2.1779529596512636e-05,-2.3719755026996735e-05,-1.9342852591033247e-05,-2.5142192177173247e-05,-1.8434110272523887e-05,1.0
-8.986245,-2.1710205630560997e-05,-2.3642637969804733e-05,-1.9288521874480607e-05,-2.5062705223796107e-05,-1.8378416046924887e-05,1.0
-8.821563,-2.1642089326649448e-05,-2.3566879961079644e-05,-1.9235113387570198e-05,-2.498461240497886e-05,-1.8323674570076132e-05,1.0
-8.65027,-2.1570959582435872e-05,-2.3487787069078434e-05,-1.9179316366631836e-05,-2.4903074838296617e-05,-1.8266492757128213e-05,1.0
-8.484983,-2.1502051162766354e-05,-2.3411180469549742e-05,-1.9125236628775582e-05,-2.4824093489944703e-05,-1.8211078468069172e-05,1.0
-8.319323,-2.143271550390248e-05,-2.3334115168014886e-05,-1.9070796432663633e-05,-2.4744632324487813e-05,-1.815530240466933e-05,1.0
-8.151793,-2.136231740348841e-05,-2.3255885769722882e-05,-1.9015496103575965e-05,-2.4663963775390713e-05,-1.8098652889907206e-05,1.0
-7.986612,-2.1292627820528745e-05,-2.3178460461106328e-05,-1.8960726481834503e-05,-2.4584117324290027e-05,-1.8042554768707207e-05,1.0
-7.815033,-2.1219942688396742e-05,-2.309772495205459e-05,-1.8903575092973245e-05,-2.4500849652465927e-05,-1.798402532065137e-05,1.0
-7.65054,-2.1149972664749525e-05,-2.3020022597229385e-05,-1.8848531870380847e-05,-2.442070300315087e-05,-1.7927662802835622e-05,1.0
