parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,9.760447463777329,9.760447463777329,0.0,9.760447463777329,9.760447463777329,9.760447463777329,9.760447463777329
Vp,15.425595282635015,15.400571898670279,0.03979547032534483,15.359772022508787,15.42943852801826,15.312522353049896,15.451391097163468
Ie_sat,0.001593387115187581,0.0015831639498572084,1.6178293117975902e-05,0.001566621885863308,0.0015948689643958181,0.001547074612382052,0.0016033332683792222
ne,8325201963316988.0,8306566067455213.0,127796117393354.28,8163342205838095.0,8447727445768962.0,8092109851962836.0,8499221213533165.0
ni,,,,,,,
Te,2.452577055092216,2.4582064790832368,0.0477300437222514,2.415899231113538,2.5217243989902625,2.3781196634018826,2.5347288788341107
p,1.9183887695799118,1.904188611509651,0.06247533550404767,1.8526889928300216,1.9642230051257137,1.7675948552356355,1.978977676136278
I1,-5.478126260915654e-06,-5.5372671777211056e-06,4.6974973292673193e-07,-6.0069941763463555e-06,-5.089735690644221e-06,-6.4789477014856676e-06,-4.683126084006489e-06
I2,-6.577051377008349e-05,-6.633281384037115e-05,7.19849814477731e-06,-7.131397052714322e-05,-6.165830252174292e-05,-8.346486893668138e-05,-5.4862194950654094e-05
log10_sigma_I,-4.647220995653078,-4.660705156433161,0.0314982786207851,-4.707337244840201,-4.640935700864403,-4.7168452500296905,-4.608453109880007
sigma_I,2.2530924088711994e-05,2.189772521273862e-05,1.5685435013158914e-06,1.9618362507841895e-05,2.285937221000372e-05,1.9193525320796558e-05,2.4634843676772004e-05
