parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,9.589266975476715,9.589266975476715,0.0,9.589266975476715,9.589266975476715,9.589266975476715,9.589266975476715
Vp,15.410850728479069,15.411986555238324,0.09495205740495134,15.338139985417284,15.454893943835454,15.28438883855985,15.629757633883598
Ie_sat,0.0014488156043401606,0.0014433473452878742,3.3943634748364164e-05,0.0014149855205000564,0.0014581393440727805,0.0013892141393939182,0.0015081341679168423
ne,7192071112262491.0,7227478065670730.0,169175204382313.44,7091954275695726.0,7344663215876668.0,6953904910596482.0,7578959806927428.0
ni,,,,,,,
Te,2.6795859700866878,2.664033182155411,0.07529121944633593,2.572243443266715,2.710909533507541,2.544520071575341,2.817884414429109
p,1.9194932670840292,1.906796209308213,0.08443555099827395,1.835411664845101,1.999978430217266,1.734388153805454,1.999978430217266
I1,-4.594080892584044e-06,-4.724009377053089e-06,6.944983194553041e-07,-5.388921078044516e-06,-4.073569578626458e-06,-6.190881289335176e-06,-3.3018829728417485e-06
I2,-7.736888155500561e-05,-7.57856242343165e-05,1.2848001578820972e-05,-8.821315745817451e-05,-6.415337665493137e-05,-0.00010108317473125905,-5.202007782696e-05
log10_sigma_I,-4.5564010872611505,-4.563959506642002,0.03579559470161426,-4.591911376974588,-4.54109495024902,-4.635200593349082,-4.507400272096558
sigma_I,2.777180148791276e-05,2.7381487480106474e-05,2.208301773848264e-06,2.5591080504803496e-05,2.8767732552230855e-05,2.31655692067138e-05,3.108853915486924e-05
