bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000391,-1.881894224292989e-05,-2.0556369591440346e-05,-1.6547365997930794e-05,-2.3371299888673454e-05,-1.483930102794199e-05,1.0
-9.824638,-1.566262160318161e-05,-1.7106863383996734e-05,-1.3757384213416935e-05,-1.9508320430648165e-05,-1.2334952693286305e-05,1.0
-9.656476,-1.561022745462407e-05,-1.7049629459913557e-05,-1.371077226611021e-05,-1.944433407183997e-05,-1.2293354105617931e-05,1.0
-9.491567,-1.5558671784763223e-05,-1.699331548036657e-05,-1.366487675674059e-05,-1.938138033717479e-05,-1.2252420174402208e-05,1.0
-9.320322,-1.55049493972187e-05,-1.6934639648948284e-05,-1.3617018691849873e-05,-1.9315790691387585e-05,-1.2209764871786544e-05,1.0
-9.155389,-1.5453025742713678e-05,-1.6877933725551533e-05,-1.357072805903302e-05,-1.925240739546016e-05,-1.2168536779917516e-05,1.0
-8.987263,-1.5399911330060284e-05,-1.681993324133157e-05,-1.352333723878843e-05,-1.9187581541974215e-05,-1.2126362070052424e-05,1.0
-8.822338,-1.5347623691782777e-05,-1.6762842048326997e-05,-1.347664291704098e-05,-1.9123776415640662e-05,-1.2084842660242026e-05,1.0
-8.650893,-1.529307211175644e-05,-1.67032869956472e-05,-1.3427880627201557e-05,-1.9057222413636303e-05,-1.2041524340294264e-05,1.0
-8.485725,-1.524032559937627e-05,-1.6645710867464906e-05,-1.3380682048039846e-05,-1.8992884543767358e-05,-1.1999638088612516e-05,1.0
-8.320868,-1.5187487474479291e-05,-1.658804386438748e-05,-1.3333348214762437e-05,-1.8928449749231197e-05,-1.1957677711802022e-05,1.0
-8.152965,-1.513347366828705e-05,-1.6529104562101003e-05,-1.328490289410907e-05,-1.8862598168356363e-05,-1.1914782429163224e-05,1.0
-7.987916,-1.5080178672420397e-05,-1.647096153626938e-05,-1.3237040386357951e-05,-1.879764108312663e-05,-1.1872456649064978e-05,1.0
-7.816406,-1.5024584785544615e-05,-1.6410324177595596e-05,-1.3187042258316191e-05,-1.872990251020068e-05,-1.1828303255314595e-05,1.0
-7.651836,-1.4971033003496396e-05,-1.6351929050442392e-05,-1.3138807057426292e-05,-1.8664673795662886e-05,-1.1785769751675982e-05,1.0
