bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-20.792906,-4.6174671159094035e-05,-5.635220805786694e-05,-4.2744499218088996e-05,-6.07596616559942e-05,-4.27371762950248e-05,1.0
-9.821749,-4.037494162361649e-05,-5.0684118376540285e-05,-3.764981805629514e-05,-5.455480791265431e-05,-3.7363324881112804e-05,1.0
-9.653394,-4.0274451208321236e-05,-5.057350416305735e-05,-3.7561308561532765e-05,-5.444580332307029e-05,-3.727005512035536e-05,1.0
-9.48856,-4.0175645983104255e-05,-5.046471218250904e-05,-3.747427063835194e-05,-5.433857410441894e-05,-3.717834822277219e-05,1.0
-9.317886,-4.0072901067620066e-05,-5.035154779112356e-05,-3.738374882866554e-05,-5.422701381808276e-05,-3.7082983353739327e-05,1.0
-9.150979,-3.997198702428553e-05,-5.024036559158316e-05,-3.7294826745147215e-05,-5.4117386253750356e-05,-3.698931653043208e-05,1.0
-8.986415,-3.987206192535339e-05,-5.013023932521371e-05,-3.7206763026258966e-05,-5.4008778919840115e-05,-3.689656633172427e-05,1.0
-8.821676,-3.977160049754917e-05,-5.001948814060584e-05,-3.711821350309516e-05,-5.389953421592345e-05,-3.680331700000978e-05,1.0
-8.649858,-3.966635850659751e-05,-4.990343025317224e-05,-3.7025436085603994e-05,-5.3785032258592764e-05,-3.67056288739941e-05,1.0
-8.484933,-3.95648882401791e-05,-4.9791496259898706e-05,-3.6935969907703595e-05,-5.3674576807919795e-05,-3.6611440357579e-05,1.0
-8.319833,-3.946286334817595e-05,-4.967891525025473e-05,-3.684600104391052e-05,-5.356346093842648e-05,-3.6516735622812394e-05,1.0
-8.155403,-3.9360802926406246e-05,-4.956625962198591e-05,-3.675598708966103e-05,-5.345224932772307e-05,-3.642199649569803e-05,1.0
-7.98472,-3.925438121822675e-05,-4.9448752117082195e-05,-3.6662111922167114e-05,-5.333622441741858e-05,-3.632320742029224e-05,1.0
-7.816826,-3.914921569551297e-05,-4.9332593598601575e-05,-3.656933005266839e-05,-5.322150770871514e-05,-3.6225582898277904e-05,1.0
-7.653071,-3.904617604857497e-05,-4.921874637662714e-05,-3.647840942458518e-05,-5.310905061630182e-05,-3.612993031689748e-05,1.0
-7.482649,-3.893844605055006e-05,-4.909967778074018e-05,-3.63833349142529e-05,-5.299141148637261e-05,-3.602992204250862e-05,1.0
-7.319844,-3.883505362090226e-05,-4.898536561749456e-05,-3.629207377400906e-05,-5.287844812936927e-05,-3.5933938880701215e-05,1.0
-7.143939,-3.872281101093744e-05,-4.886122667495793e-05,-3.619298457435611e-05,-5.275574772841952e-05,-3.582973801666284e-05,1.0
-6.984543,-3.8620620674722704e-05,-4.874816738040548e-05,-3.610275485130424e-05,-5.264397476544431e-05,-3.573486762887631e-05,1.0
-6.816223,-3.8512205562402644e-05,-4.862818148063872e-05,-3.6007013445742244e-05,-5.252532909785663e-05,-3.563421667403435e-05,1.0
-6.644069,-3.8400779321684515e-05,-4.850482029397572e-05,-3.5908596261039216e-05,-5.240331902701777e-05,-3.553076841760176e-05,1.0
-6.48195,-3.8295341155795296e-05,-4.838804850133229e-05,-3.581545244662507e-05,-5.228780105489925e-05,-3.5432877784907e-05,1.0
-6.312897,-3.8184862831762966e-05,-4.8265652848442264e-05,-3.571783984587892e-05,-5.216669330006785e-05,-3.533030597659119e-05,1.0
-6.148097,-3.807663605707822e-05,-4.814570988193382e-05,-3.5622200339944455e-05,-5.20479862228458e-05,-3.522982277320679e-05,1.0
-5.978817,-3.7964917673665665e-05,-4.802185385124582e-05,-3.552345838743611e-05,-5.192537909993856e-05,-3.5126095885448956e-05,1.0
-5.814216,-3.785574639301154e-05,-4.790077885732306e-05,-3.542695101429591e-05,-5.1805498076626075e-05,-3.502473201684078e-05,1.0
-5.64643,-3.7743906674625983e-05,-4.777670045848963e-05,-3.5328067597571066e-05,-5.1682615594040855e-05,-3.4920888593655665e-05,1.0
-5.485286,-3.7635959018816096e-05,-4.765689765480201e-05,-3.5232608845660124e-05,-5.1563940834976537e-05,-3.482065706654197e-05,1.0
-5.316048,-3.752201731799695e-05,-4.753039721464443e-05,-3.513183186523904e-05,-5.143860298237812e-05,-3.471485791176785e-05,1.0
-5.144486,-3.740590483360164e-05,-4.740143869743177e-05,-3.502911618769545e-05,-5.131079939137069e-05,-3.460704092503979e-05,1.0
-4.976011,-3.729127964249925e-05,-4.727408430372869e-05,-3.492769759632187e-05,-5.118455548434652e-05,-3.4500602793343966e-05,1.0
-4.811562,-3.717881048619157e-05,-4.714907913853665e-05,-3.482816859753755e-05,-5.1060611163362325e-05,-3.439616457289644e-05,1.0
-4.646389,-3.706525842648887e-05,-4.7022823750560465e-05,-3.4727663102151586e-05,-5.093539781290557e-05,-3.429071861048744e-05,1.0
-4.474642,-3.6946553648484346e-05,-4.689078894909163e-05,-3.462257730147407e-05,-5.0804421020682595e-05,-3.418048541373524e-05,1.0
-4.308224,-3.683090760056886e-05,-4.676210679258254e-05,-3.4520179955872505e-05,-5.067673869095148e-05,-3.407309031731123e-05,1.0
-4.142449,-3.6715088719330104e-05,-4.6633183118442175e-05,-3.441761036721889e-05,-5.05487856136831e-05,-3.396553237901699e-05,1.0
-3.978741,-3.6600098532869515e-05,-4.650513302416156e-05,-3.431575558372607e-05,-5.042166861630796e-05,-3.385874168455276e-05,1.0
-3.81266,-3.648280781570831e-05,-4.637447076563525e-05,-3.421184339078157e-05,-5.029192661436973e-05,-3.374981206770309e-05,1.0
-3.644215,-3.636523882110956e-05,-4.624115943941239e-05,-3.410584572854554e-05,-5.015952090549376e-05,-3.363871525395376e-05,1.0
-3.482712,-3.625668955729729e-05,-4.611258484650784e-05,-3.4003634696548275e-05,-5.003178778249511e-05,-3.353160541466618e-05,1.0
-3.307973,-3.613855465265755e-05,-4.597262525331429e-05,-3.38923959070368e-05,-4.9892708359019685e-05,-3.341505546554072e-05,1.0
-3.141435,-3.602528721062134e-05,-4.583840193289154e-05,-3.378573864303322e-05,-4.975929394397723e-05,-3.330332573615791e-05,1.0
-2.975026,-3.591143751905375e-05,-4.57034585300745e-05,-3.367853132130737e-05,-4.962512892780926e-05,-3.319103951261669e-05,1.0
-2.812928,-3.5799883623531537e-05,-4.557120690913997e-05,-3.357348410061067e-05,-4.949360613231071e-05,-3.3081034947544e-05,1.0
-2.64209,-3.568160615916422e-05,-4.5430952371556736e-05,-3.346210357472746e-05,-4.935408757761993e-05,-3.2964419029122766e-05,1.0
-2.473647,-3.556426361330099e-05,-4.529177396382469e-05,-3.3351601497862524e-05,-4.921560177221682e-05,-3.284874408655638e-05,1.0
-2.309012,-3.54488689680286e-05,-4.5154874255949476e-05,-3.3242931857739374e-05,-4.907934651884025e-05,-3.2735008037753843e-05,1.0
-2.136709,-3.53273415964801e-05,-4.501066484527303e-05,-3.3128484831680105e-05,-4.8935776342309556e-05,-3.261524746843006e-05,1.0
-1.972541,-3.521081909927056e-05,-4.487236148846047e-05,-3.3018749085112605e-05,-4.87980476965392e-05,-3.250043837023627e-05,1.0
-1.802284,-3.508920707897154e-05,-4.4727982748895995e-05,-3.2904218141248055e-05,-4.865422870561186e-05,-3.238063483674518e-05,1.0
-1.638784,-3.4971673839296476e-05,-4.4588412766787276e-05,-3.279352642071301e-05,-4.8515160634079896e-05,-3.22648691171453e-05,1.0
-1.469284,-3.4849041378547444e-05,-4.444275216012846e-05,-3.267803012164749e-05,-4.836998258785535e-05,-3.2144101529128735e-05,1.0
-1.306586,-3.473056507305431e-05,-4.4301993773342556e-05,-3.2566445994430216e-05,-4.8229650332324215e-05,-3.202744697584667e-05,1.0
-1.138688,-3.460750329971544e-05,-4.415575161518947e-05,-3.2450540916510716e-05,-4.80838088993913e-05,-3.190629839764489e-05,1.0
-0.970459,-3.4483371402091185e-05,-4.400820056417815e-05,-3.233362562063751e-05,-4.793661859717228e-05,-3.178411798190912e-05,1.0
-0.802643,-3.435870477194736e-05,-4.38599761625343e-05,-3.221620430718648e-05,-4.778871235061975e-05,-3.166143316441283e-05,1.0
-0.639112,-3.4236400873764246e-05,-4.371452409060371e-05,-3.210100607896055e-05,-4.7643529199219525e-05,-3.154109490789945e-05,1.0
-0.472228,-3.4110739828984476e-05,-4.356504129157277e-05,-3.198264332383663e-05,-4.74942779113056e-05,-3.141747556440893e-05,1.0
-0.300269,-3.3980343891378607e-05,-4.340988493518748e-05,-3.185981805213173e-05,-4.7339313550291344e-05,-3.1289221987558264e-05,1.0
-0.137023,-3.385568176076074e-05,-4.326151190735014e-05,-3.17423911676866e-05,-4.7191077901805045e-05,-3.116663065031464e-05,1.0
0.0401,-3.37194427148576e-05,-4.309931597321293e-05,-3.161405643445903e-05,-4.7028980214007447e-05,-3.1032680057091725e-05,1.0
0.201884,-3.359409469453228e-05,-4.295004528595017e-05,-3.1495978202866896e-05,-4.687975179950507e-05,-3.090946097791356e-05,1.0
0.37074,-3.345825648015129e-05,-4.2793086432389297e-05,-3.137184907090433e-05,-4.672278739669451e-05,-3.0779954691644564e-05,1.0
0.534499,-3.332387530340656e-05,-4.263970949752451e-05,-3.125058313877274e-05,-4.656935530377614e-05,-3.0653462562055295e-05,1.0
0.700103,-3.318700620935686e-05,-4.248342496363063e-05,-3.1127049411177395e-05,-4.6412963766618366e-05,-3.052463233440808e-05,1.0
0.874053,-3.304216461413317e-05,-4.2317961920599775e-05,-3.0996294876871706e-05,-4.6247331292194774e-05,-3.0388301948172396e-05,1.0
1.033619,-3.290831332412502e-05,-4.216498494605748e-05,-3.0875438692992474e-05,-4.60941460565679e-05,-3.02623197419329e-05,1.0
1.20449,-3.276391163348452e-05,-4.199987542878927e-05,-3.074503143083748e-05,-4.592875584614417e-05,-3.012641131188404e-05,1.0
1.366954,-3.2625571282769036e-05,-4.184162349274862e-05,-3.062007363392085e-05,-4.577018013390157e-05,-2.9996211478328226e-05,1.0
1.544014,-3.2473620658685415e-05,-4.1667719627518856e-05,-3.048279443536953e-05,-4.559585836853409e-05,-2.9853206440238843e-05,1.0
1.705991,-3.233351302985195e-05,-4.1507292692813306e-05,-3.0356188860292143e-05,-4.543498796857178e-05,-2.972135100287554e-05,1.0
1.874148,-3.218692388024456e-05,-4.1339364670778185e-05,-3.0223699636405798e-05,-4.526653586528762e-05,-2.9583399661249656e-05,1.0
2.039175,-3.204191534354518e-05,-4.1173166893925966e-05,-3.0092611918300457e-05,-4.5099758796263496e-05,-2.944693961461153e-05,1.0
2.204099,-3.1895837713356276e-05,-4.100566249059767e-05,-2.9960530346754432e-05,-4.493160922148063e-05,-2.9309477272237953e-05,1.0
2.375709,-3.1742581444790355e-05,-4.0829838307017104e-05,-2.98219282000424e-05,-4.47550412440853e-05,-2.9165263662343524e-05,1.0
2.543234,-3.159171047299346e-05,-4.06566620193725e-05,-2.9685453334377895e-05,-4.4581065347409855e-05,-2.9023298521047464e-05,1.0
2.704817,-3.144498321706074e-05,-4.048815726374009e-05,-2.9552698115968833e-05,-4.441171836514564e-05,-2.888523613820771e-05,1.0
2.875454,-3.128871890495079e-05,-4.0308607504782754e-05,-2.9411282705686606e-05,-4.423120112045367e-05,-2.8738203764440398e-05,1.0
3.040481,-3.1136278289476635e-05,-4.013335885344735e-05,-2.9273296333134808e-05,-4.405493807218585e-05,-2.859477293246418e-05,1.0
3.206064,-3.098199644990968e-05,-3.995590010378463e-05,-2.9133611614447222e-05,-4.387638117896823e-05,-2.8449613367919025e-05,1.0
3.377502,-3.0820825893491596e-05,-3.977041688935003e-05,-2.898765564323602e-05,-4.368967340863611e-05,-2.829797623008171e-05,1.0
3.542469,-3.066433011229461e-05,-3.9590214433707816e-05,-2.884589936948375e-05,-4.350820568500616e-05,-2.8150740984764195e-05,1.0
3.704806,-3.0508949002790922e-05,-3.941119825189501e-05,-2.8705119622077174e-05,-4.332785837679111e-05,-2.800455788237362e-05,1.0
3.875925,-3.034364472121209e-05,-3.922064248500544e-05,-2.8555312657282456e-05,-4.313580394197743e-05,-2.784904264926074e-05,1.0
4.040693,-3.0182968406141407e-05,-3.903531530973934e-05,-2.8409663416599334e-05,-4.294893787466286e-05,-2.7697884771391456e-05,1.0
4.214393,-3.001194073923323e-05,-3.8837802921831196e-05,-2.8254591226673997e-05,-4.27498276178797e-05,-2.753699233685412e-05,1.0
4.378641,-2.9848631396753982e-05,-3.86467562294825e-05,-2.8106478803047352e-05,-4.2559503772352634e-05,-2.7383364129253417e-05,1.0
4.544336,-2.9682279189614222e-05,-3.84520472398008e-05,-2.7955567694775516e-05,-4.236543216714442e-05,-2.7226876592049358e-05,1.0
4.708743,-2.9515587235452144e-05,-3.825683608782821e-05,-2.780430860562324e-05,-4.2170758730109866e-05,-2.7070072478735243e-05,1.0
4.880132,-2.934003937111955e-05,-3.805114008701265e-05,-2.764497012260698e-05,-4.1965518814988145e-05,-2.6904940852415072e-05,1.0
5.044314,-2.917012728409301e-05,-3.785193587346502e-05,-2.7490704284987913e-05,-4.176664745793821e-05,-2.6745113417853982e-05,1.0
5.209168,-2.8997754278281826e-05,-3.764973333560169e-05,-2.7334160807731564e-05,-4.1564672495142015e-05,-2.658297375193389e-05,1.0
5.377695,-2.8819662258249897e-05,-3.744070162728953e-05,-2.717237727394476e-05,-4.1355758406399645e-05,-2.6415457147761175e-05,1.0
5.545413,-2.864048696813976e-05,-3.723027409068075e-05,-2.7009561827133673e-05,-4.1145327593807394e-05,-2.6246923973894004e-05,1.0
