bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000278,-0.0005250137648886067,-0.0005373318851633963,-0.0005167445126954225,-0.0005410932019834454,-0.0005117339541159041,1.0
-9.824039,-0.00039843910820411017,-0.0004024551154881324,-0.0003951186596861894,-0.000405049715924923,-0.00039117109427613865,1.0
-9.655797,-0.0003965051962765506,-0.00040038514181303366,-0.00039327269629974894,-0.00040301500318438353,-0.00038935594188473793,1.0
-9.490778,-0.0003946083155543115,-0.00039835482147560674,-0.00039146207864469034,-0.00040101926571735173,-0.00038757553045996315,1.0
-9.319492,-0.0003926393772061782,-0.00039624739348778436,-0.0003895826785676277,-0.00039894773076454125,-0.0003857274683008823,1.0
-9.15456,-0.00039074345799953146,-0.0003942181409347061,-0.000387772975916181,-0.00039695303650256846,-0.0003839479243779702,1.0
-8.986567,-0.00038881232764905696,-0.0003921512255371665,-0.00038592966333592273,-0.00039492131707819726,-0.00038213530851568796,1.0
-8.821673,-0.00038691679647103307,-0.0003901290598251043,-0.0003841203272900486,-0.0003929270707955697,-0.0003803560841231767,1.0
-8.65005,-0.00038494388337091364,-0.00038803684400334304,-0.00038223712614120876,-0.00039085143585889005,-0.0003785042002338336,1.0
-8.48498,-0.00038304626962518053,-0.00038602514182464883,-0.0003804257987748402,-0.0003888550459945369,-0.0003767229697083983,1.0
-8.320065,-0.0003811386147956326,-0.0003840815045412469,-0.000378616134696383,-0.0003868605217804681,-0.00037494334589017835,1.0
-8.152116,-0.0003791450337381775,-0.00038210208401955276,-0.00037677313700493946,-0.0003848292924795795,-0.0003731309129623061,1.0
-7.987185,-0.0003771872614937095,-0.0003801582053359978,-0.0003749874937397992,-0.00038283455224761523,-0.0003713509749074359,1.0
-7.815563,-0.0003751500474030949,-0.00037813543196711094,-0.00037313175310093905,-0.0003807588745435232,-0.00036949873684754593,1.0
-7.650959,-0.0003731961193569563,-0.00037619533695748753,-0.0003713462904484231,-0.0003787680598244113,-0.0003677221445545675,1.0
-7.482746,-0.0003711993284698479,-0.0003742126644343763,-0.00036952160902467394,-0.0003767335777509358,-0.0003659064977368809,1.0
-7.31808,-0.0003692446175842633,-0.000372271755454473,-0.0003677353191548782,-0.0003747419761251038,-0.00036412902693518215,1.0
