bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000296,-0.0005249755823563384,-0.0005333087225855562,-0.0005174597817927133,-0.0005392890436364044,-0.0005033031961738757,1.0
-9.823482,-0.0004005466943463396,-0.000402294458652141,-0.00039816462856295424,-0.00040592357829191797,-0.0003931653411015123,1.0
-9.655432,-0.00039870623826970624,-0.00040032456990978855,-0.00039635386709432533,-0.00040391834483679667,-0.00039150839262320206,1.0
-9.490338,-0.0003968981466883825,-0.0003983893295411669,-0.00039455065399623143,-0.0004019458628007097,-0.0003898804896374664,1.0
-9.31899,-0.00039502154982870455,-0.0003963807766755099,-0.0003926790858953687,-0.00039988498741078257,-0.000388190808401584,1.0
-9.154084,-0.00039321549383026534,-0.00039444773460965406,-0.0003908778291586315,-0.0003979015922785392,-0.00038656452124474544,1.0
-8.986105,-0.0003913757675122503,-0.00039247866728106426,-0.0003890429494796446,-0.000395881236340529,-0.00038488494995193054,1.0
-8.821259,-0.00038957033855712585,-0.000390546321293721,-0.00038724223328194106,-0.00039389856170767153,-0.0003831966763547527,1.0
-8.649575,-0.0003876900003231062,-0.00038853381497217784,-0.0003853667452442397,-0.00039183364273954145,-0.00038143835772825723,1.0
-8.484435,-0.0003858813121493673,-0.000386598013074614,-0.00038356267020300404,-0.0003898474304361971,-0.00037974704464239085,1.0
-8.31953,-0.0003840751768092449,-0.000384664960016611,-0.0003817610816123397,-0.0003878640435498571,-0.00037805812209287874,1.0
-8.151617,-0.0003822360683939642,-0.0003826966399037545,-0.00037992653422958147,-0.00038584447689923965,-0.00037633837207918207,1.0
-7.986625,-0.0003804289245246623,-0.000380762551979204,-0.00037812215862108886,-0.00038386004091257744,-0.00037464851753383794,1.0
-7.814842,-0.0003785473655130652,-0.0003787488486833195,-0.0003762279017880153,-0.0003817939246214336,-0.00037288908209016236,1.0
-7.650388,-0.00037674604237219653,-0.00037691095317421425,-0.0003744143506443459,-0.00037981595570936655,-0.0003712046843401815,1.0
-7.482089,-0.0003748481617974083,-0.0003750319775376489,-0.00037255828160531035,-0.00037779173847291546,-0.0003694808714420877,1.0
-7.317486,-0.00037291858890708724,-0.0003731941800038086,-0.00037074283277874486,-0.0003758119721749739,-0.0003677948796700721,1.0
-7.145944,-0.00037090765493238146,-0.0003712788060463334,-0.00036885070229067006,-0.00037374874324993347,-0.0003660377700966253,1.0
-6.983983,-0.0003690090183150547,-0.00036947031220977116,-0.0003670640974118207,-0.0003718007461727501,-0.0003643787526062599,1.0
-6.819064,-0.00036707568518838104,-0.0003676395120320174,-0.0003652446774166415,-0.00036981716716924187,-0.0003626893857019006,1.0
-6.647467,-0.00036509886995279763,-0.00036575959365489527,-0.0003633513876605985,-0.0003678238192367154,-0.0003609315465666989,1.0
-6.482792,-0.0003632071244994853,-0.00036395541579467165,-0.0003615342503152623,-0.00036595673958222794,-0.00035924455304284046,1.0
-6.314481,-0.00036127357569351495,-0.0003621113086654081,-0.0003596767438735138,-0.00036404831659978454,-0.00035744146977914273,1.0
-6.149397,-0.00035937705846641847,-0.0003603024489061154,-0.00035785460107519966,-0.00036213993862894967,-0.0003556675103165314,1.0
-5.97811,-0.0003574092353049623,-0.00035842549177520226,-0.0003559636732622959,-0.0003601123500166536,-0.0003538266905781003,1.0
-5.813357,-0.0003555503942803057,-0.00035662000555656745,-0.0003541445624067477,-0.00035816205731756067,-0.0003520558875556511,1.0
-5.645266,-0.00035370609158036896,-0.00035477776832792556,-0.00035229851223378,-0.00035617219665503636,-0.00035024894647994634,1.0
-5.480246,-0.00035189526061147773,-0.00035296902722407403,-0.0003503924813905088,-0.00035421862855106775,-0.00034847476429766545,1.0
-5.315167,-0.0003500835184853933,-0.000351159443084363,-0.000348485709296609,-0.0003522642913024749,-0.000346699656051333,1.0
-5.143583,-0.00034820010295624336,-0.00034927832399881276,-0.00034650373412863057,-0.00035023285937087515,-0.0003448542481433232,1.0
-4.97887,-0.0003463917868506961,-0.0003474723017798977,-0.0003446010431515825,-0.00034828268556154167,-0.0003430823950068863,1.0
-4.810698,-0.00034454514337760886,-0.0003456280549944401,-0.0003426583092651034,-0.0003462914502891454,-0.0003412728959132535,1.0
-4.645759,-0.00034273363967827087,-0.0003438189790441158,-0.00034075282166863503,-0.0003443383784907634,-0.00033949775258236407,1.0
-4.474005,-0.00034088873147179255,-0.0003419347844275617,-0.00033879561400346295,-0.0003423044722837213,-0.00033764875343592857,1.0
-4.309461,-0.00033918484362472745,-0.0003401293035623059,-0.00033691159510132956,-0.00034035578789513366,-0.000335876793709399,1.0
-4.141432,-0.0003374435752002506,-0.0003382851704290787,-0.0003349641148372608,-0.0003384408395903058,-0.0003340667239970073,1.0
-3.976544,-0.00033561408630747064,-0.00033647500254527457,-0.00033305286434416544,-0.00033662449053757496,-0.00033228978942306076,1.0
-3.811507,-0.00033373434768726345,-0.0003346627132003671,-0.0003311396813976468,-0.0003348059946184075,-0.00033051052652606814,1.0
-3.643256,-0.0003318173584497966,-0.00033281449219661676,-0.000329188995782364,-0.00033295144183591855,-0.00032874365230940467,1.0
-3.478196,-0.00032989878379538566,-0.00033100068391198154,-0.0003272750486846825,-0.00033113139580354155,-0.0003269405174888842,1.0
-3.306874,-0.0003279079300257435,-0.00032911730858990024,-0.00032535653354367366,-0.00032924153405118275,-0.0003249986858479309,1.0
-3.142037,-0.00032601134019262355,-0.0003273043567162326,-0.0003235909603010998,-0.0003274994810096963,-0.0003231777825370262,1.0
-2.973582,-0.0003240724460636008,-0.0003254507438595955,-0.0003217445551902444,-0.00032577362263724375,-0.000321315807932763,1.0
-2.808655,-0.00032217350012590296,-0.00032363486962469127,-0.00031992304714978566,-0.00032408094343653004,-0.0003194266121245542,1.0
-2.637183,-0.00032019839867718876,-0.0003217457876328408,-0.00031801827665385693,-0.00032231805279022834,-0.00031741082500813745,1.0
