bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000351,-0.0009727472692937201,-0.0009815684339422846,-0.0009669182996290452,-0.000987171865076992,-0.0009631239376605349,1.0
-9.824279,-0.0007245157805446186,-0.0007270100768827922,-0.0007228097183650256,-0.0007296773670827093,-0.0007210621233345528,1.0
-9.656072,-0.0007207523879207234,-0.0007231669457387496,-0.000719118007760109,-0.0007258004317104064,-0.0007173999916649119,1.0
-9.491242,-0.000717063447377711,-0.0007194001646473456,-0.0007154992612076879,-0.0007220004434656308,-0.0007138101626135939,1.0
-9.319562,-0.0007132199348787198,-0.0007154757751243859,-0.0007117286096349739,-0.0007180416140948787,-0.000710069571973457,1.0
-9.154713,-0.0007095279895155441,-0.0007117066136636172,-0.0007081066720137873,-0.0007142392281792999,-0.0007064763984227477,1.0
-8.986787,-0.0007057658643818025,-0.0007078660115682294,-0.0007044156567310281,-0.0007103648938741157,-0.000702814655596164,1.0
-8.82169,-0.0007020655736289385,-0.0007040886666327318,-0.0007007844756001771,-0.0007065546818279753,-0.0006992128512006794,1.0
-8.650146,-0.000698219275642014,-0.0007001576110982565,-0.000696997829377284,-0.0007025944760224677,-0.0006954687533518817,1.0
-8.484995,-0.0006945147544666901,-0.0006963718362619111,-0.0006933505318154606,-0.0006987806697157102,-0.0006918623113018989,1.0
-8.320182,-0.0006908160655586321,-0.0006925927107666523,-0.0006897090066700714,-0.0006949732952448275,-0.0006882613790074426,1.0
-8.152253,-0.0006870458098720281,-0.0006887407161330709,-0.0006859968596748152,-0.0006910926587027462,-0.0006845905174284212,1.0
-7.987154,-0.0006833371323399516,-0.0006849523613724976,-0.0006823452153660465,-0.0006872758968397241,-0.0006809792393945406,1.0
-7.815486,-0.0006794788998741526,-0.0006810117554939198,-0.0006785462968931705,-0.0006833057041879067,-0.0006772221073967707,1.0
-7.651024,-0.00067578065637849,-0.0006772350165675169,-0.0006749046166822993,-0.0006795006007008582,-0.0006736204410169566,1.0
-7.482657,-0.0006719922297678531,-0.0006733670827765426,-0.0006711741859436504,-0.0006756033040773058,-0.0006699306290318128,1.0
