parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,11.270112423713709,11.270112423713709,0.0,11.270112423713709,11.270112423713709,11.270112423713709,11.270112423713709
Vp,17.65029930444311,17.652004958488146,0.023257584910056178,17.627468855842388,17.67167187777809,17.61327878040471,17.70537945079669
Ie_sat,0.001579480214296533,0.001580164690044794,9.333224917669325e-06,0.001570318398373432,0.0015880569876277355,0.0015646239478889679,0.0016015837730453974
ne,7374595578007610.0,7347267940587498.0,66804130031017.51,7276925474782247.0,7411000597411759.0,7234452910178947.0,7415246632486717.0
ni,,,,,,,
Te,3.3743308881346654,3.384987832295971,0.03300913627579964,3.357624515890337,3.4194542057149837,3.341057041153693,3.4411817306637564
p,1.0231243675666093,1.0328605850648491,0.034047438416760806,1.0053168453024295,1.06721181156559,1.0001496740370734,1.111812937896197
I1,-2.2203309975260186e-05,-2.2253425611978022e-05,4.125646858414704e-07,-2.2768714223711182e-05,-2.1815624893770525e-05,-2.3068884941225462e-05,-2.1615122802785304e-05
I2,-0.00011484900673220874,-0.00011380973854830112,9.322406854092964e-06,-0.00012462002182837164,-0.00010202895545010428,-0.00012766537789145327,-9.58592134885443e-05
log10_sigma_I,-5.165286958124943,-5.168154624208912,0.027565881784817333,-5.190918996173473,-5.144665223611991,-5.227021829602915,-5.123290410857049
sigma_I,6.834599207855694e-06,6.802996004931851e-06,4.33638217845363e-07,6.442894260150015e-06,7.166956629881038e-06,5.928955222232037e-06,7.530653528887957e-06
