bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000351,-2.1365458332837445e-05,-2.7555488152248915e-05,-1.7861765180697894e-05,-2.7963399983264578e-05,-1.2715021292022132e-05,1.0
-9.824279,-1.8035788594492993e-05,-2.3275240696343604e-05,-1.490397447329202e-05,-2.3597270721681524e-05,-1.070048156063214e-05,1.0
-9.656072,-1.798068292084212e-05,-2.3204790261131592e-05,-1.4854958006638684e-05,-2.3525368197900337e-05,-1.0667254226129533e-05,1.0
-9.491242,-1.7926491800064805e-05,-2.3135546109208878e-05,-1.480676812633825e-05,-2.3454695367173997e-05,-1.0634592969295612e-05,1.0
-9.319562,-1.7869842908376853e-05,-2.3063203276686502e-05,-1.4756408167330403e-05,-2.3380858368707218e-05,-1.0600466986375681e-05,1.0
-9.154713,-1.781524578708572e-05,-2.2993524701772633e-05,-1.470788962552889e-05,-2.3309739140136734e-05,-1.0567594735244667e-05,1.0
-8.986787,-1.7759421343166507e-05,-2.2922327763918574e-05,-1.4658300251403756e-05,-2.3237068605044532e-05,-1.0534002861734444e-05,1.0
-8.82169,-1.7704327779383156e-05,-2.285211401713237e-05,-1.4609382113271954e-05,-2.3165400061299663e-05,-1.050087158444542e-05,1.0
-8.650146,-1.7646857218773734e-05,-2.2778929171870485e-05,-1.4558379514030835e-05,-2.309069720588071e-05,-1.0466334651912438e-05,1.0
-8.484995,-1.75913064238364e-05,-2.2708248895889474e-05,-1.450910816935744e-05,-2.3018549252366135e-05,-1.0432975959196894e-05,1.0
-8.320182,-1.753564629693019e-05,-2.26374932704621e-05,-1.4459770195117681e-05,-2.294632277739833e-05,-1.039957788903026e-05,1.0
-8.152253,-1.7478698488479385e-05,-2.2565171727105428e-05,-1.4409325569960558e-05,-2.2872496154426972e-05,-1.0365436465607104e-05,1.0
-7.987154,-1.7422472632934133e-05,-2.2493842292383782e-05,-1.4359558201524506e-05,-2.2799680608742345e-05,-1.0331759120691981e-05,1.0
-7.815486,-1.7363752243847826e-05,-2.2419434120709277e-05,-1.4307626992117957e-05,-2.2723720388583004e-05,-1.0296623144076915e-05,1.0
-7.651024,-1.730724344531818e-05,-2.2347916971664783e-05,-1.4257698155188652e-05,-2.2650709750220352e-05,-1.0262847428517285e-05,1.0
-7.482657,-1.7249128112305958e-05,-2.2274463849723107e-05,-1.4206401919904031e-05,-2.257572091318891e-05,-1.022815174125713e-05,1.0
-7.317932,-1.7192002310410625e-05,-2.2202364436445707e-05,-1.4156035290473698e-05,-2.250211229865298e-05,-1.0194089719804885e-05,1.0
-7.146485,-1.713225531009602e-05,-2.2127073328011815e-05,-1.4103422181898518e-05,-2.2425243268753313e-05,-1.0158513125049417e-05,1.0
-6.984602,-1.707555959206177e-05,-2.205574634748092e-05,-1.405356313566473e-05,-2.235241962617949e-05,-1.0124802695395063e-05,1.0
-6.819645,-1.7017496657536932e-05,-2.198282687244218e-05,-1.4002574577853287e-05,-2.22779682250301e-05,-1.009033227119652e-05,1.0
-6.648039,-1.6956771275120337e-05,-2.1906710604180614e-05,-1.394933287714405e-05,-2.2200250856578597e-05,-1.0054341412923946e-05,1.0
-6.483415,-1.6898194708020252e-05,-2.1833441837466156e-05,-1.3898065572889917e-05,-2.212543892267248e-05,-1.001968793246225e-05,1.0
-6.314946,-1.6837912321977365e-05,-2.1758206351261467e-05,-1.3845404190342171e-05,-2.2048616820558754e-05,-9.984092891049683e-06,1.0
-6.149992,-1.6778541251055803e-05,-2.168428768452348e-05,-1.3793646622551895e-05,-2.1973137287213937e-05,-9.949109564620198e-06,1.0
-5.978604,-1.6716475679993134e-05,-2.1607217971104e-05,-1.3739663593627446e-05,-2.189443801385075e-05,-9.912620816832467e-06,1.0
-5.813864,-1.6656441206114135e-05,-2.1532877727250805e-05,-1.3687573705877772e-05,-2.1818523813951436e-05,-9.87740930039844e-06,1.0
-5.64564,-1.6594737460716907e-05,-2.145669950999087e-05,-1.3634176684250345e-05,-2.1740730555430256e-05,-9.841310560704455e-06,1.0
-5.480702,-1.6533830358979288e-05,-2.1381745815048674e-05,-1.3581618725272996e-05,-2.1664185611730156e-05,-9.805772186375157e-06,1.0
-5.315722,-1.6472483579654196e-05,-2.1306509256775173e-05,-1.3528842976753683e-05,-2.1587349612561695e-05,-9.770079802486908e-06,1.0
-5.144032,-1.6408169053413405e-05,-2.1227929565648473e-05,-1.3473701092210513e-05,-2.150709704369592e-05,-9.732773646395019e-06,1.0
-4.979477,-1.634605373404677e-05,-2.115234147465724e-05,-1.3420637970716818e-05,-2.142989745602855e-05,-9.696861307790916e-06,1.0
-4.811145,-1.6282008015789924e-05,-2.1074737911353557e-05,-1.3366138770342274e-05,-2.1350637046423487e-05,-9.659957716169865e-06,1.0
-4.646178,-1.6218721937902647e-05,-2.09984074089529e-05,-1.3312512392501303e-05,-2.127267449732838e-05,-9.62362374623799e-06,1.0
-4.474621,-1.615233278229598e-05,-2.0918732270220293e-05,-1.3256513496639782e-05,-2.1191293250993344e-05,-9.585654714582793e-06,1.0
-4.310002,-1.608804574122685e-05,-2.0841992949142694e-05,-1.3202555790513915e-05,-2.111290819744555e-05,-9.54903498454778e-06,1.0
-4.142085,-1.602185181546329e-05,-2.0763424023642527e-05,-1.3147288758590316e-05,-2.103265173940195e-05,-9.511490871216981e-06,1.0
-3.977115,-1.595617491258669e-05,-2.068594340234578e-05,-1.3092764309618004e-05,-2.095350438968045e-05,-9.474399147276526e-06,1.0
-3.812067,-1.588979169401423e-05,-2.0608134637670143e-05,-1.3037985710434992e-05,-2.0874019235992506e-05,-9.437085589827678e-06,1.0
-3.643685,-1.582133286569169e-05,-2.0528450209535726e-05,-1.2981862176721411e-05,-2.0792615270733647e-05,-9.398784079808806e-06,1.0
-3.478718,-1.5753496148387362e-05,-2.0450080773030197e-05,-1.2926640388353607e-05,-2.0712551936537074e-05,-9.361025347855636e-06,1.0
-3.307541,-1.5682251313036276e-05,-2.0368442434176158e-05,-1.2869089111670203e-05,-2.062914611823971e-05,-9.321579056999942e-06,1.0
