bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000351,-2.5099399427918924e-05,-2.9155376308466224e-05,-2.21895144507094e-05,-3.288133352553223e-05,-2.1798068824794127e-05,1.0
-9.824279,-2.173405827983595e-05,-2.504734884350153e-05,-1.887882798032407e-05,-2.827080398782604e-05,-1.8492190522291457e-05,1.0
-9.656072,-2.16773075299887e-05,-2.4973170206786023e-05,-1.882285772690062e-05,-2.8191113811379946e-05,-1.843630501576162e-05,1.0
-9.491242,-2.162148049046812e-05,-2.490020750072646e-05,-1.8767791799499842e-05,-2.8112731281624937e-05,-1.8381322363440818e-05,1.0
-9.319562,-2.156310405458609e-05,-2.482392190816981e-05,-1.871020401121869e-05,-2.8030780543044804e-05,-1.832382154107702e-05,1.0
-9.154713,-2.1506827822340666e-05,-2.4750389526209697e-05,-1.86546809322358e-05,-2.7951788987960642e-05,-1.826838217714511e-05,1.0
-8.986787,-2.1443580837548063e-05,-2.4675197365199606e-05,-1.8597890586378866e-05,-2.787101602025166e-05,-1.8211677307681524e-05,1.0
-8.82169,-2.137680571340111e-05,-2.460098628616966e-05,-1.8541827240011143e-05,-2.7791298583985917e-05,-1.8155698180865706e-05,1.0
-8.650146,-2.1307152898010307e-05,-2.452357395898962e-05,-1.8483330568040157e-05,-2.7708144160589116e-05,-1.8097289195778215e-05,1.0
-8.484995,-2.123983289078382e-05,-2.444875132105765e-05,-1.842677620627642e-05,-2.762777331347531e-05,-1.804081941117335e-05,1.0
-8.320182,-2.117239062892046e-05,-2.4373789857232905e-05,-1.837010241803871e-05,-2.754725517588765e-05,-1.7984230167547937e-05,1.0
-8.152253,-2.1103403149658782e-05,-2.4297107858454533e-05,-1.831211270705201e-05,-2.7464890922363336e-05,-1.7926326728966372e-05,1.0
-7.987154,-2.1035309499379295e-05,-2.4221416378697977e-05,-1.825485693480594e-05,-2.7383592591210137e-05,-1.7869155887066433e-05,1.0
-7.815486,-2.0964220701806844e-05,-2.4142392385188313e-05,-1.8195064160981704e-05,-2.7298717084022778e-05,-1.7809451523180852e-05,1.0
-7.651024,-2.0895839538476904e-05,-2.4066375218621107e-05,-1.8137530761926345e-05,-2.7217073233534194e-05,-1.7752002901807164e-05,1.0
-7.482657,-2.0825551292802737e-05,-2.3988234912130822e-05,-1.807837427621581e-05,-2.7133151392539614e-05,-1.769293326846897e-05,1.0
-7.317932,-2.0756502769707244e-05,-2.391146977675976e-05,-1.8020242751879288e-05,-2.7050708812369466e-05,-1.763488675981279e-05,1.0
-7.146485,-2.0684338239295148e-05,-2.3831237191316185e-05,-1.795946823120241e-05,-2.6964544892011057e-05,-1.757420074776941e-05,1.0
-6.984602,-2.061591678702029e-05,-2.3755163148365527e-05,-1.790182732818625e-05,-2.6882849429354083e-05,-1.7516643418423334e-05,1.0
-6.819645,-2.054591045424566e-05,-2.3677323941454103e-05,-1.7842832312972405e-05,-2.679926094917268e-05,-1.745773354561831e-05,1.0
-6.648039,-2.047277274354577e-05,-2.3595999743720552e-05,-1.7781177841330053e-05,-2.671193294567599e-05,-1.7396167605597862e-05,1.0
-6.483415,-2.0402310460874987e-05,-2.3517647317642646e-05,-1.7721758666444475e-05,-2.6627798964774346e-05,-1.733683329615873e-05,1.0
-6.314946,-2.0329894320870257e-05,-2.3437119070671982e-05,-1.7660671180452122e-05,-2.6541331620383784e-05,-1.727583256787734e-05,1.0
-6.149992,-2.02586834484055e-05,-2.3357927983368713e-05,-1.7600579830954034e-05,-2.6456303114390123e-05,-1.72158260527587e-05,1.0
-5.978604,-2.018437069330959e-05,-2.3275284119803703e-05,-1.7537849031473773e-05,-2.6367570648090993e-05,-1.715318325010663e-05,1.0
-5.813864,-2.011262507465594e-05,-2.3195492029445237e-05,-1.7477263865713068e-05,-2.628190337312908e-05,-1.709268249934426e-05,1.0
-5.64564,-2.0039039104991434e-05,-2.3113649981218862e-05,-1.7415102616190913e-05,-2.6194038684952282e-05,-1.7030607250057386e-05,1.0
-5.480702,-1.996656964473465e-05,-2.303304655766487e-05,-1.735386258038668e-05,-2.6107507316650267e-05,-1.6969451308451527e-05,1.0
-5.315722,-1.9893759886194703e-05,-2.2952061510778008e-05,-1.729231287203076e-05,-2.602056990193243e-05,-1.6907985460700858e-05,1.0
-5.144032,-1.9817642673494978e-05,-2.2867394308287275e-05,-1.722794333337567e-05,-2.5929683708143444e-05,-1.6843702887923657e-05,1.0
-4.979477,-1.9744353064139532e-05,-2.2785869129893187e-05,-1.716594175062528e-05,-2.584217431137468e-05,-1.6781784329898867e-05,1.0
-4.811145,-1.9669036891788955e-05,-2.2702086422673255e-05,-1.7102201784167015e-05,-2.5752245861362214e-05,-1.671812892561882e-05,1.0
