bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000235,-1.8852006113684932e-05,-2.972706772502848e-05,-1.2442791186821791e-05,-3.288904998987015e-05,-9.761565611010184e-06,1.0
-9.824697,-1.5656507775125346e-05,-2.4668771054817012e-05,-1.0308950130886013e-05,-2.738000018829551e-05,-8.015700645376012e-06,1.0
-9.656737,-1.5606597454185174e-05,-2.458481159096907e-05,-1.0272103184268607e-05,-2.7288718437277738e-05,-7.986472714534186e-06,1.0
-9.491549,-1.5557321789967875e-05,-2.450195717307621e-05,-1.023560672201313e-05,-2.7198644258431312e-05,-7.957614765158824e-06,1.0
-9.320312,-1.5506039045404632e-05,-2.4415771922878566e-05,-1.019749223198413e-05,-2.7104955555550847e-05,-7.92758041139723e-06,1.0
-9.155296,-1.545641926971565e-05,-2.433242893017226e-05,-1.0160478567650854e-05,-2.7014362978133413e-05,-7.898520080221149e-06,1.0
-8.987243,-1.540567411829276e-05,-2.4247257646594984e-05,-1.0122467420696955e-05,-2.6921789658918887e-05,-7.868804118364971e-06,1.0
-8.822443,-1.5355700847291485e-05,-2.4163443472487833e-05,-1.0084880744478124e-05,-2.6830697953515318e-05,-7.839543159969795e-06,1.0
-8.650835,-1.53034349669947e-05,-2.4075856771338533e-05,-1.004539676031645e-05,-2.6735513180531334e-05,-7.808944728203443e-06,1.0
-8.485763,-1.5252933091571683e-05,-2.3991304245870913e-05,-1.0007065882143637e-05,-2.6643632676500398e-05,-7.779385378500516e-06,1.0
-8.320636,-1.5202178542067367e-05,-2.390642435375562e-05,-9.968342810101702e-06,-2.6551403302906625e-05,-7.749689896317217e-06,1.0
-8.152733,-1.515032628599151e-05,-2.3819807388941542e-05,-9.928578008703712e-06,-2.6457293617301816e-05,-7.719362968769236e-06,1.0
-7.987727,-1.5099119900608748e-05,-2.373437694663767e-05,-9.889094802274097e-06,-2.636448025964559e-05,-7.689425804893485e-06,1.0
-7.816158,-1.5045602813123084e-05,-2.3645221248252857e-05,-9.847579434636376e-06,-2.6267627378130686e-05,-7.658155555498292e-06,1.0
-7.651423,-1.49939387170863e-05,-2.355929933219797e-05,-9.807240061022572e-06,-2.6174294955550033e-05,-7.627991048782157e-06,1.0
-7.483246,-1.4940908884454639e-05,-2.347125768742421e-05,-9.765567435958734e-06,-2.6078667692544032e-05,-7.597051838160458e-06,1.0
-7.318519,-1.4888674730323734e-05,-2.338470079893072e-05,-9.724242154349763e-06,-2.598466079886376e-05,-7.566602606202464e-06,1.0
-7.147177,-1.4834017356828845e-05,-2.329432675622543e-05,-9.680669609018851e-06,-2.588651642818145e-05,-7.5347744812921e-06,1.0
-6.985103,-1.4781991521266877e-05,-2.3208517226928278e-05,-9.638866971199018e-06,-2.5793336884129186e-05,-7.504516569664802e-06,1.0
-6.820083,-1.4728690045289963e-05,-2.3120820744015586e-05,-9.595707793309645e-06,-2.5698116314714262e-05,-7.4735551119834055e-06,1.0
-6.648565,-1.4672917089781548e-05,-2.3029317099017016e-05,-9.550164190994519e-06,-2.5598770651204785e-05,-7.441205671348375e-06,1.0
-6.483935,-1.4619000313996862e-05,-2.2941144872397474e-05,-9.505720016676802e-06,-2.5503050423903727e-05,-7.409989038386452e-06,1.0
-6.315534,-1.456343906340301e-05,-2.2850600978462914e-05,-9.459492090139936e-06,-2.540476429224873e-05,-7.377883836446163e-06,1.0
-6.150573,-1.4508597024472114e-05,-2.276155744912026e-05,-9.413423702756338e-06,-2.5308115602623e-05,-7.346258108533838e-06,1.0
-5.979055,-1.4451112810564254e-05,-2.2668603650640488e-05,-9.364642202296531e-06,-2.520723206941975e-05,-7.313184784452448e-06,1.0
-5.814312,-1.439541620446146e-05,-2.2578961249914183e-05,-9.316835756993405e-06,-2.5109951622795863e-05,-7.281229641535328e-06,1.0
-5.646239,-1.433808138138578e-05,-2.2487138625087937e-05,-9.267082442528383e-06,-2.501031465784724e-05,-7.2484327791984415e-06,1.0
-5.481241,-1.4281270827504689e-05,-2.239662976412072e-05,-9.217224408023419e-06,-2.491211275248943e-05,-7.216037232659978e-06,1.0
-5.316211,-1.4223899579196322e-05,-2.230573599136916e-05,-9.166271797018104e-06,-2.4813502812359075e-05,-7.183431824653907e-06,1.0
-5.144527,-1.4163556883169725e-05,-2.2210782623232506e-05,-9.112627997375753e-06,-2.4710499038500857e-05,-7.1492842440088484e-06,1.0
-4.979907,-1.4105050758866365e-05,-2.211935334634213e-05,-9.069584616765988e-06,-2.461132829043906e-05,-7.1163175727783985e-06,1.0
-4.811636,-1.4044556781614203e-05,-2.2025504072896044e-05,-9.024586730662741e-06,-2.4509543125623613e-05,-7.082385789482462e-06,1.0
-4.646537,-1.3984479568984913e-05,-2.193303362309342e-05,-8.979260282516228e-06,-2.440926389199003e-05,-7.048854635512512e-06,1.0
-4.474973,-1.3921186648230542e-05,-2.1836527305484225e-05,-8.930874683807227e-06,-2.4304619243422588e-05,-7.0137490271170756e-06,1.0
-4.31031,-1.385959315281768e-05,-2.174350002957337e-05,-8.883149497478949e-06,-2.4203758049505076e-05,-6.979795840820138e-06,1.0
-4.142355,-1.3795861215093474e-05,-2.1648201094710725e-05,-8.833053983269786e-06,-2.4100445262813385e-05,-6.944883785764068e-06,1.0
-3.977365,-1.3732292054825861e-05,-2.1554174265716553e-05,-8.782325916567251e-06,-2.3998522968548298e-05,-6.910305300792077e-06,1.0
-3.812369,-1.3667635724371423e-05,-2.145973201418458e-05,-8.72979959125815e-06,-2.389616192348723e-05,-6.875434215307763e-06,1.0
-3.644047,-1.3600544270702474e-05,-2.1362955768706807e-05,-8.674297696004426e-06,-2.3791283349325045e-05,-6.8395460786190235e-06,1.0
-3.479068,-1.3533594628846764e-05,-2.1267674236327835e-05,-8.61792766946715e-06,-2.3688036813156897e-05,-6.804049123332672e-06,1.0
-3.307838,-1.3462730340314158e-05,-2.1168328963061203e-05,-8.557185617390852e-06,-2.3580399871919693e-05,-6.766850750720847e-06,1.0
-3.142891,-1.339299107294045e-05,-2.107218610017273e-05,-8.496316207478312e-06,-2.3476245467512185e-05,-6.730651366862477e-06,1.0
-2.974529,-1.3320278108881511e-05,-2.0973598235378547e-05,-8.431312160476316e-06,-2.3369455613529085e-05,-6.693322183767216e-06,1.0
-2.809299,-1.324730080247902e-05,-2.0876391715091886e-05,-8.364653149388981e-06,-2.326417537785142e-05,-6.65629388937159e-06,1.0
-2.638103,-1.3169801348467449e-05,-2.077519558186529e-05,-8.292407871752831e-06,-2.3154588439816465e-05,-6.617495465104338e-06,1.0
-2.473509,-1.3093294432232159e-05,-2.067743500067108e-05,-8.219640892632793e-06,-2.3048735935564723e-05,-6.57975734749408e-06,1.0
-2.308481,-1.3014567589683649e-05,-2.0578950396888526e-05,-8.143144577799595e-06,-2.294211359983767e-05,-6.54145880170319e-06,1.0
