bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000607,-0.0007446087514586949,-0.0007839657521442379,-0.0007201886763906408,-0.0008110970703711727,-0.0007057768062707337,1.0
-9.824518,-0.0005198283716511858,-0.0005361521555461135,-0.000512502927263822,-0.000549764662903266,-0.0005078570149680191,1.0
-9.655268,-0.0005164489185255526,-0.0005326122463740148,-0.0005091184171999107,-0.0005458012868634842,-0.0005048423206035215,1.0
-9.490798,-0.0005131630188528934,-0.0005291706568442772,-0.0005058290146937095,-0.0005419491271263728,-0.0005019110273155529,1.0
-9.319905,-0.0005097465877602125,-0.0005255928180482229,-0.0005024106006681793,-0.0005379457654681428,-0.0004988633515227771,1.0
-9.154963,-0.0005064470069314172,-0.0005221374310679678,-0.0004991105381318739,-0.0005340810096338223,-0.00049591961556969,1.0
-8.987119,-0.0005030869808092303,-0.0005186190048136917,-0.0004957517254540624,-0.0005301472886950116,-0.0004929218322037577,1.0
-8.82201,-0.0004997791146290888,-0.0005151556876570449,-0.0004924468962009759,-0.0005262766260118552,-0.0004899705660947971,1.0
-8.650618,-0.0004963424764756169,-0.0005115581017116989,-0.0004890154392566386,-0.0005222575549359835,-0.0004869043227427229,1.0
-8.485548,-0.0004930297837445535,-0.000508090254594542,-0.00048570962114439646,-0.0005183855606911332,-0.0004839484181136926,1.0
-8.320951,-0.0004897235682915279,-0.0005046295294599615,-0.00048241212969399425,-0.0005145232705011125,-0.0004809979583889149,1.0
-8.152939,-0.00048634513703012396,-0.0005010939871861274,-0.00047904503156544735,-0.0005105793286284147,-0.0004779828449135299,1.0
-7.987851,-0.0004830219142599846,-0.000497616801868797,-0.0004758209688661066,-0.0005067024918587106,-0.00047494158086781743,1.0
-7.815532,-0.0004795492301018884,-0.0004939831662276983,-0.00047271470143508195,-0.0005026540917619018,-0.00047153460833073693,1.0
-7.651787,-0.00047624536291804233,-0.0004905266026315248,-0.0004697591937680373,-0.0004988050444092524,-0.0004682950918682846,1.0
-7.48402,-0.000472855467161484,-0.00048698115478545327,-0.00046663449781703375,-0.0004948593333116393,-0.0004649735966439935,1.0
-7.318838,-0.0004695131212568884,-0.00048348608911997695,-0.0004632076146499464,-0.0004909722195214508,-0.000461700818754749,1.0
-7.147948,-0.00046605019152214404,-0.0004798647599859285,-0.00045965732191776776,-0.0004869482831342539,-0.00045831218705474924,1.0
-6.985595,-0.0004627551029040137,-0.0004764195852588265,-0.0004561975327181674,-0.0004831224317485465,-0.0004550899831672949,1.0
-6.820594,-0.0004594001956056113,-0.000472913097146288,-0.0004526798521040425,-0.0004792312751112746,-0.0004518120215261277,1.0
-6.649007,-0.0004559047381158701,-0.00046926062908163085,-0.00044906239138373837,-0.0004751815091251935,-0.00044835379262132884,1.0
-6.48479,-0.0004525530263822823,-0.00046575830539935276,-0.0004457198657771034,-0.0004713022685707419,-0.0004449091683713194,1.0
-6.316916,-0.00044911970805964476,-0.0004621714774261464,-0.00044229920896624643,-0.00046733238755670037,-0.0004413854077775086,1.0
-6.151741,-0.00044573361285454676,-0.00045863549385178904,-0.0004389295809099627,-0.00046342215740368536,-0.00043791589018581735,1.0
-5.978767,-0.0004421788217683935,-0.00045492427966740024,-0.0004353962981190034,-0.0004593226064405442,-0.0004342795490070357,1.0
-5.815126,-0.00043880742482029216,-0.0004514047400893718,-0.0004320484418249987,-0.0004554394534740227,-0.00043083624845967973,1.0
-5.64676,-0.0004353293515908331,-0.00044777502714459785,-0.00042859830014457643,-0.0004514380678241924,-0.00042729028556877895,1.0
-5.48302,-0.00043193674923861603,-0.00044423619517395136,-0.00042523730670294903,-0.0004475409342062053,-0.00042405489037399555,1.0
-5.317944,-0.00042850611676904516,-0.00044065830660151086,-0.0004218516364839685,-0.00044360590875089975,-0.00042093893581515333,1.0
-5.145318,-0.0004249066029574813,-0.0004369049747989145,-0.00041832737202789685,-0.00043992821216343344,-0.00041766667934782167,1.0
-4.981376,-0.0004215326480421628,-0.00043332956998540554,-0.0004149724421412144,-0.0004365935759376762,-0.0004143928829642475,1.0
-4.813667,-0.0004180636344360126,-0.00042966028334897146,-0.0004115457672581735,-0.00043313868628113393,-0.0004107813225439652,1.0
-4.647001,-0.0004147579771225354,-0.000425999708450234,-0.00040817014424725934,-0.0004288776474447327,-0.0004071834278848447,1.0
-4.476842,-0.0004111638640312984,-0.0004222478776389547,-0.00040471237867070124,-0.00042452030789397524,-0.00040350035901328177,1.0
-4.310641,-0.00040793307616193865,-0.00041856896910895505,-0.000401322830046363,-0.0004202571843364974,-0.000399892631300002,1.0
-4.143813,-0.0004047198583618167,-0.00041486099010655265,-0.00039790643105857486,-0.0004162156490873282,-0.00039625901418062525,1.0
-3.977855,-0.0004014397288014165,-0.0004111536258128798,-0.0003944932404245086,-0.00041241925076349127,-0.00039263209219314235,1.0
-3.814956,-0.00039785427871749966,-0.00040749341903222904,-0.00039112827933462084,-0.00040866708356575467,-0.0003890595054632311,1.0
-3.645361,-0.00039384659327866697,-0.00040361729634748957,-0.0003876083948132316,-0.0004047341033781322,-0.00038532605977397203,1.0
-3.481251,-0.00039015733678145214,-0.0003998973000639479,-0.0003841849363996512,-0.00040090204270922685,-0.00038169857294268356,1.0
-3.308608,-0.0003863926078917551,-0.00039597450697822264,-0.0003805622221437297,-0.0003968585537001933,-0.000377863456039443,1.0
-3.144454,-0.00038277426444896924,-0.00039220476994386203,-0.00037709595005858745,-0.00039317553402374266,-0.00037419961258044993,1.0
-2.976245,-0.00037904752630694755,-0.00038828084600237657,-0.0003735216333142883,-0.0003894805239922102,-0.00037042635423130486,1.0
-2.810767,-0.00037559811966410766,-0.0003843934193951627,-0.00036998170372876,-0.0003858157802559569,-0.00036669439119085714,1.0
-2.640523,-0.00037202532587420295,-0.0003803616836731481,-0.0003662678939077007,-0.00038201594779949496,-0.00036283208672821516,1.0
-2.474443,-0.0003685131094289081,-0.00037639837276380296,-0.0003625713190261803,-0.00037827849006003667,-0.00035903866446442624,1.0
-2.310322,-0.0003650132181608261,-0.00037245009422582205,-0.0003588885540530592,-0.0003745503661274855,-0.0003552656164228413,1.0
-2.142024,-0.0003613944178997451,-0.00036836522782640835,-0.0003550805043487077,-0.00037069002990755925,-0.0003513697947064622,1.0
-1.97709,-0.0003578167353729359,-0.00036432356159350044,-0.0003513161991733221,-0.00036687061838301796,-0.0003475234234728762,1.0
-1.805723,-0.000354064719758648,-0.00036008485245355695,-0.0003473689563325685,-0.0003628622756531292,-0.0003434931547193366,1.0
-1.64087,-0.00035041656596582655,-0.00035596722637426813,-0.0003435329023532076,-0.0003589590934517076,-0.000339581532068095,1.0
-1.472594,-0.00034665006325056467,-0.0003517169395287324,-0.000339572389631071,-0.0003549298723849421,-0.00033555281024488277,1.0
-1.30768,-0.00034291743371525065,-0.0003476367128905166,-0.00033564790371919774,-0.0003509344389393304,-0.00033169325135780885,1.0
-1.136192,-0.00033898964268578885,-0.0003433441833621948,-0.0003315622037047639,-0.000346726508216062,-0.0003276518415712636,1.0
-0.97151,-0.0003351699561556352,-0.00033917170084754356,-0.00032761111875369075,-0.00034262776380471834,-0.0003237311824188619,1.0
-0.807682,-0.00033101126624108477,-0.0003349642878068629,-0.000323373606521643,-0.0003384961114011866,-0.00031979392842332413,1.0
-0.639577,-0.00032644577670659056,-0.00033058786908267564,-0.00031888475011095216,-0.00033419764821792205,-0.0003157138100929744,1.0
-0.47358,-0.00032173427303985077,-0.00032620673855965956,-0.0003143160176377167,-0.0003298853850833612,-0.0003116356399007822,1.0
-0.304796,-0.000316876594530337,-0.00032164535521138354,-0.0003096689427360936,-0.00032542803175198776,-0.0003074399479570055,1.0
