parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,6.345242047143454,6.345242047143454,0.0,6.345242047143454,6.345242047143454,6.345242047143454,6.345242047143454
Vp,12.300755575556042,12.350331061801729,0.15333974998840297,12.238035074943824,12.558312907027942,12.11211678162407,12.609386210643553
Ie_sat,0.000770384427134738,0.0007674956807092093,8.639707377222513e-06,0.0007552220786590303,0.0007738257206431286,0.000753307832253499,0.0007780084697558145
ne,3845838391413413.0,3827048189135381.0,133768858053805.98,3683654970584864.0,3962972783200176.0,3590595282151172.0,4043699325775205.5
ni,,,,,,,
Te,3.9048978633673865,3.8727152419813864,0.11451603951519483,3.760454006741986,3.981508606944228,3.6157434968194773,3.9919676465791065
p,1.6615520277544598,1.693003413424588,0.22400049374655676,1.478813375974534,1.963997235110484,1.2314292995909124,1.986106069066135
I1,-1.997338148988526e-05,-2.0223992038623293e-05,1.7783921130783494e-06,-2.2203742524347168e-05,-1.8401229723811526e-05,-2.3377874510942567e-05,-1.7688774671036866e-05
I2,-7.79955703262003e-05,-7.556163646904148e-05,2.8600787611404716e-05,-0.00010075307748188406,-4.363093949048166e-05,-0.00011661660247544067,-2.239223137289547e-05
log10_sigma_I,-4.324944351943018,-4.321672820534002,0.047252479933476685,-4.356716976486502,-4.2675005958877765,-4.395116721735641,-4.250562538582089
sigma_I,4.733066343805851e-05,4.795422789597544e-05,5.2008294797798126e-06,4.3982815178901825e-05,5.4017443804073015e-05,4.0261817412633545e-05,5.6161810601870715e-05
