bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000607,-1.0173836285543937e-05,-1.337125484301169e-05,-9.558942724852884e-06,-1.4354941179612336e-05,-8.196326101934661e-06,1.0
-9.824518,-8.338343449162455e-06,-1.0777754596288675e-05,-7.826223216791596e-06,-1.1678772127806824e-05,-6.697648173945466e-06,1.0
-9.655268,-8.307326669268327e-06,-1.0733662368325585e-05,-7.797013116888453e-06,-1.1633513206938162e-05,-6.672360787304548e-06,1.0
-9.490798,-8.277058572320922e-06,-1.0690641153269866e-05,-7.768520808336059e-06,-1.1589363169373697e-05,-6.6476944209835336e-06,1.0
-9.319905,-8.245473341452334e-06,-1.0645755639235454e-05,-7.73880229328453e-06,-1.154331006874383e-05,-6.621966429794133e-06,1.0
-9.154963,-8.21485235305721e-06,-1.0602252924680473e-05,-7.710007334109061e-06,-1.1498685747920168e-05,-6.597037800184194e-06,1.0
-8.987119,-8.18355267400757e-06,-1.0557800779842036e-05,-7.680591760423059e-06,-1.1453097818094677e-05,-6.571572101848634e-06,1.0
-8.82201,-8.152620195336288e-06,-1.0513889572557568e-05,-7.651541521654392e-06,-1.1408074990517993e-05,-6.546422772352552e-06,1.0
-8.650618,-8.120355543499735e-06,-1.0468112503609078e-05,-7.621264213053574e-06,-1.1361150144001072e-05,-6.5202117465861475e-06,1.0
-8.485548,-8.089126537470169e-06,-1.0423833894068958e-05,-7.591984526637971e-06,-1.1315772217596975e-05,-6.4948648255165665e-06,1.0
-8.320951,-8.057828966058917e-06,-1.0379494046526769e-05,-7.5626701281165506e-06,-1.1270342394840056e-05,-6.4694888998044095e-06,1.0
-8.152939,-8.025714935054787e-06,-1.0334038004137814e-05,-7.532622994184651e-06,-1.1223780360415014e-05,-6.4434796840300364e-06,1.0
-7.987851,-7.993984161637525e-06,-1.0289177411416805e-05,-7.502973690007783e-06,-1.1177839741328722e-05,-6.417816432980013e-06,1.0
-7.815532,-7.96067439584295e-06,-1.0242142254205909e-05,-7.471890541068795e-06,-1.1129684604380475e-05,-6.390913840527154e-06,1.0
-7.651787,-7.928827755666515e-06,-1.0197246333546737e-05,-7.442222950468504e-06,-1.1083731632692778e-05,-6.365238844756575e-06,1.0
-7.48402,-7.896000544610859e-06,-1.015104166636964e-05,-7.411690923361917e-06,-1.1036451485779876e-05,-6.338818282744995e-06,1.0
-7.318838,-7.863460732810508e-06,-1.0105342481678902e-05,-7.381491497173704e-06,-1.098970110249156e-05,-6.312688868326908e-06,1.0
-7.147948,-7.829569773462377e-06,-1.0057845543788244e-05,-7.350100451103728e-06,-1.0941124976108835e-05,-6.285532161080687e-06,1.0
-6.985595,-7.797128169068295e-06,-1.0012512603498765e-05,-7.3201336450616195e-06,-1.0894774885512326e-05,-6.259611985327119e-06,1.0
-6.820594,-7.76391813409045e-06,-9.966228943157413e-06,-7.287481387510099e-06,-1.0847465881203774e-05,-6.233145899576166e-06,1.0
-6.649007,-7.729087398272078e-06,-9.917868712354915e-06,-7.253244356366556e-06,-1.0798048673014958e-05,-6.205487174563569e-06,1.0
-6.48479,-7.695472734769126e-06,-9.871363705751332e-06,-7.220321928963104e-06,-1.0750541274823047e-05,-6.178882824293366e-06,1.0
-6.316916,-7.660782398757626e-06,-9.823595422434862e-06,-7.177287504855737e-06,-1.0701757895415273e-05,-6.1515446337925974e-06,1.0
-6.151741,-7.626325715658093e-06,-9.776367246451346e-06,-7.1293852646125435e-06,-1.0653540769508435e-05,-6.124502750565448e-06,1.0
-5.978767,-7.58984667661046e-06,-9.726663196042376e-06,-7.077247677483608e-06,-1.0602811898931155e-05,-6.096022908614971e-06,1.0
-5.815126,-7.554955351477002e-06,-9.679405921141198e-06,-7.0258263043450705e-06,-1.0554595658732843e-05,-6.068923645713424e-06,1.0
-5.64676,-7.518614977502844e-06,-9.63054196263509e-06,-6.970437717711663e-06,-1.0504756151982081e-05,-6.040872018019124e-06,1.0
-5.48302,-7.482826146693546e-06,-9.582781436064327e-06,-6.914240335407472e-06,-1.0456058076216555e-05,-6.013421067947446e-06,1.0
-5.317944,-7.416209583900507e-06,-9.534388849083702e-06,-6.854620328752727e-06,-1.0406731868017871e-05,-5.985559962836976e-06,1.0
-5.145318,-7.337205626909408e-06,-9.483518575782465e-06,-6.789140513257689e-06,-1.0354898167302354e-05,-5.956220660229246e-06,1.0
