bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000607,-2.054996870868608e-05,-2.2036726042832555e-05,-1.9505067024266068e-05,-2.2661723708881914e-05,-1.8456666141802825e-05,1.0
-9.824518,-1.6894635690185405e-05,-1.794016879098537e-05,-1.5957501765694786e-05,-1.8536508545150062e-05,-1.5157394010791766e-05,1.0
-9.655268,-1.683191011591577e-05,-1.787731481285448e-05,-1.589584826413158e-05,-1.846566150146585e-05,-1.5099895580633193e-05,1.0
-9.490798,-1.6770688032034995e-05,-1.781595385639752e-05,-1.583564199899683e-05,-1.8396509798339117e-05,-1.504374101416963e-05,1.0
-9.319905,-1.670679164982754e-05,-1.7751898202718325e-05,-1.5772773269565232e-05,-1.8324334387489336e-05,-1.4985096967467396e-05,1.0
-9.154963,-1.664484292884832e-05,-1.7689781028949763e-05,-1.5711788805265846e-05,-1.82543559815922e-05,-1.4928204487656319e-05,1.0
-8.987119,-1.658152095901873e-05,-1.7626272528409962e-05,-1.564941947716863e-05,-1.818282319829734e-05,-1.4870013839413404e-05,1.0
-8.82201,-1.6518948393111853e-05,-1.7563501333180225e-05,-1.558775515842063e-05,-1.8112133819633128e-05,-1.4812474738896894e-05,1.0
-8.650618,-1.6453694536119524e-05,-1.7498025120323306e-05,-1.5523413005722683e-05,-1.8038411907418092e-05,-1.4752430306462815e-05,1.0
-8.485548,-1.6390554774374277e-05,-1.743465535353052e-05,-1.5461120557615584e-05,-1.7967075035888065e-05,-1.4694292170305794e-05,1.0
-8.320951,-1.6327306011198218e-05,-1.7371161476397703e-05,-1.539868581218291e-05,-1.7895611586510236e-05,-1.4636014772527123e-05,1.0
-8.152939,-1.6262442440697246e-05,-1.7306031172148996e-05,-1.533462049764681e-05,-1.7822319965620022e-05,-1.4576208622902857e-05,1.0
-7.987851,-1.6198406020852078e-05,-1.724171609183729e-05,-1.5271335435272742e-05,-1.774995928572998e-05,-1.4517124091650999e-05,1.0
-7.815532,-1.613124138317759e-05,-1.7174242741134832e-05,-1.5204919194708662e-05,-1.767405972487653e-05,-1.4455108940961823e-05,1.0
-7.651787,-1.6067108373668235e-05,-1.710979917080127e-05,-1.5141752982717693e-05,-1.7601582142317993e-05,-1.439585017217153e-05,1.0
-7.48402,-1.6001082159546268e-05,-1.704343704494988e-05,-1.5077107070534217e-05,-1.752696093733336e-05,-1.4334797891542256e-05,1.0
-7.318838,-1.5935754552348655e-05,-1.6977760845552997e-05,-1.5013107616207544e-05,-1.7453125114787048e-05,-1.427434695725261e-05,1.0
-7.147948,-1.5867831927550092e-05,-1.6909458575861187e-05,-1.494652582914077e-05,-1.7376351813576177e-05,-1.421144709430956e-05,1.0
-6.985595,-1.580297994857291e-05,-1.6844227667372215e-05,-1.4882915489161687e-05,-1.730304491894352e-05,-1.4151344963744778e-05,1.0
-6.820594,-1.5736743656714184e-05,-1.67775876917958e-05,-1.4817907963287889e-05,-1.7228168744216163e-05,-1.4089913131730546e-05,1.0
