bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-20.999603,-0.0007050994276099571,-0.0007343981860382296,-0.0006684055866838276,-0.0007579644196466959,-0.0006393390257129569,1.0
-9.824414,-0.0005019689702242129,-0.0005163531863337853,-0.0004866636977948742,-0.0005255771744538154,-0.0004785090735050377,1.0
-9.654933,-0.0004987421005863674,-0.0005133324401611427,-0.0004839035203089282,-0.0005220470613594672,-0.00047605051570222826,1.0
-9.490502,-0.0004956109996390276,-0.0005104004850927673,-0.00048122507929912386,-0.0005186209905145569,-0.0004736632105586977,1.0
-9.318692,-0.000492338952401915,-0.0005073355443006811,-0.0004784258466681444,-0.0005150398870281357,-0.0004711666512691747,1.0
-9.154216,-0.0004893001491110929,-0.000503923022109696,-0.00047574546856287374,-0.0005116104021158203,-0.0004687744848520006,1.0
-8.98793,-0.00048632241429012214,-0.0005004685180523164,-0.0004730347936597342,-0.0005081418239899471,-0.00046635364524660796,1.0
-8.822032,-0.0004833505415513959,-0.0004970214755635721,-0.0004703296369788354,-0.0005048519843851724,-0.00046393560768806324,1.0
-8.650489,-0.0004802761963133139,-0.0004934564287657215,-0.0004675315128514457,-0.0005014958910124828,-0.00046143235125063747,1.0
-8.485585,-0.0004772216780195033,-0.0004901036523354531,-0.0004648407032733573,-0.0004982661526176056,-0.00045902301863123504,1.0
-8.320689,-0.0004741344786422687,-0.00048702657689290887,-0.00046214888525981707,-0.0004950325236052667,-0.00045661066839341986,1.0
-8.15271,-0.00047098571681249016,-0.0004838901127470026,-0.000459405413818089,-0.0004917343937984469,-0.00045414947268041585,1.0
-7.987838,-0.000467891219582965,-0.00048088203938736454,-0.0004567113591396782,-0.0004884930469569502,-0.0004517299524550482,1.0
-7.817072,-0.00046479544419415016,-0.00047780091897739804,-0.0004539194699183746,-0.0004851311116905979,-0.00044921970698345853,1.0
-7.651528,-0.0004618301892894266,-0.0004748109901091149,-0.00045121130055540795,-0.0004818669881375456,-0.00044678191654614604,1.0
