parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,6.457817245887588,6.457817245887588,0.0,6.457817245887588,6.457817245887588,6.457817245887588,6.457817245887588
Vp,12.305995395314717,12.349358788475332,0.15622132699842764,12.222587213943136,12.511562631709928,12.116161472152067,12.674874270418748
Ie_sat,0.0008175411306806319,0.0008352589116258091,3.6167226896128535e-05,0.0008050251050397495,0.0008834145478171187,0.0007970283610308871,0.0008982151867371189
ne,4008245947967853.0,4042474250317131.0,121620591297900.03,3932290019207665.5,4187238137422327.5,3836927113322519.0,4256475929356146.5
ni,,,,,,,
Te,3.864704321021092,3.8704889615633435,0.06750414582372566,3.796135094845231,3.960306499187849,3.7846727967325324,3.9972582714164298
p,1.8221382691591579,1.7351454704099378,0.21347288684511875,1.493305039704666,1.9222792230140644,1.2525611929738751,1.9598560621995889
I1,-1.761780246670137e-05,-1.7640588798483606e-05,1.739254985319346e-06,-1.923404865836379e-05,-1.6260018287773243e-05,-2.1012202935950086e-05,-1.4368315096500892e-05
I2,-0.00011453335892269711,-0.00010945238227683483,2.851283640829661e-05,-0.00012910563312682388,-8.298568578547771e-05,-0.00016232162535709677,-5.748121771034677e-05
log10_sigma_I,-4.420430302489259,-4.407815703189031,0.034701752063720046,-4.430387721932922,-4.370985629417022,-4.4435484898982835,-4.342030636201495
sigma_I,3.7981289343244366e-05,3.922819575778426e-05,3.3625354888290165e-06,3.712036843043728e-05,4.256125126149608e-05,3.601340667324045e-05,4.5579135496978084e-05
